MANDT,BUKRS,BELNR,GJAHR,BLART,BLDAT,BUDAT,MONAT,CPUDT,USNAM,TCODE,BKTXT,WAERS,KURSF,BSTAT,XNETB,GLVOR,AWTYP,AWKEY,HWAER,CPUTM
100,1000,5000000000,2024,RE,2024-05-21,2024-05-21,05,2024-05-21,FINANCE02,MIRO,Invoice for PO 4500000000,USD,1.00,,,RFBU,RMRP,51000000002024,USD,111912
100,1000,5000000001,2024,RE,2024-05-26,2024-05-26,05,2024-05-26,FINANCE01,MIRO,Invoice for PO 4500000001,USD,1.00,,,RFBU,RMRP,51000000012024,USD,090941
100,1000,5000000002,2024,RE,2024-06-24,2024-06-24,06,2024-06-24,FINANCE01,MIRO,Invoice for PO 4500000002,USD,1.00,,,RFBU,RMRP,51000000022024,USD,143101
100,1000,5000000003,2024,RE,2024-06-24,2024-06-24,06,2024-06-24,FINANCE02,MIRO,Invoice for PO 4500000003,USD,1.00,,,RFBU,RMRP,51000000032024,USD,141604
100,1000,5000000003,2024,RE,2024-06-29,2024-06-29,06,2024-06-29,FINANCE02,MIRO,Invoice for PO 4500000003,USD,1.00,,,RFBU,RMRP,51000000032024,USD,141604
100,1000,5000000004,2024,RE,2024-09-15,2024-09-15,09,2024-09-15,FINANCE01,MIRO,Invoice for PO 4500000004,USD,1.00,,,RFBU,RMRP,51000000042024,USD,150018
100,1000,5000000005,2024,RE,2024-04-24,2024-04-24,04,2024-04-24,FINANCE02,MIRO,Invoice for PO 4500000005,USD,1.00,,,RFBU,RMRP,51000000052024,USD,090045
100,1000,5000000006,2024,RE,2024-06-19,2024-06-19,06,2024-06-19,FINANCE01,MIRO,Invoice for PO 4500000006,USD,1.00,,,RFBU,RMRP,51000000062024,USD,080318
100,1000,5000000007,2024,RE,2024-07-27,2024-07-27,07,2024-07-27,FINANCE01,MIRO,Invoice for PO 4500000007,USD,1.00,,,RFBU,RMRP,51000000072024,USD,130434
100,1000,5000000008,2024,RE,2024-04-26,2024-04-26,04,2024-04-26,FINANCE01,MIRO,Invoice for PO 4500000008,USD,1.00,,,RFBU,RMRP,51000000082024,USD,105059
100,1000,5000000009,2024,RE,2024-08-21,2024-08-21,08,2024-08-21,FINANCE01,MIRO,Invoice for PO 4500000009,USD,1.00,,,RFBU,RMRP,51000000092024,USD,115429
100,1000,5000000010,2024,RE,2024-10-03,2024-10-03,10,2024-10-03,FINANCE02,MIRO,Invoice for PO 4500000010,USD,1.00,,,RFBU,RMRP,51000000102024,USD,100719
100,1000,5000000010,2024,RE,2024-10-17,2024-10-17,10,2024-10-17,FINANCE02,MIRO,Invoice for PO 4500000010,USD,1.00,,,RFBU,RMRP,51000000102024,USD,100719
100,1000,5000000011,2024,RE,2024-07-31,2024-07-31,07,2024-07-31,FINANCE01,MIRO,Invoice for PO 4500000011,USD,1.00,,,RFBU,RMRP,51000000112024,USD,122001
100,1000,5000000012,2024,RE,2024-03-27,2024-03-27,03,2024-03-27,FINANCE02,MIRO,Invoice for PO 4500000012,USD,1.00,,,RFBU,RMRP,51000000122024,USD,080815
100,1000,5000000013,2024,RE,2024-11-01,2024-11-01,11,2024-11-01,FINANCE01,MIRO,Invoice for PO 4500000013,USD,1.00,,,RFBU,RMRP,51000000132024,USD,150849
100,1000,5000000014,2024,RE,2024-10-07,2024-10-07,10,2024-10-07,FINANCE01,MIRO,Invoice for PO 4500000014,USD,1.00,,,RFBU,RMRP,51000000142024,USD,130741
100,1000,5000000015,2024,RE,2024-05-01,2024-05-01,05,2024-05-01,FINANCE01,MIRO,Invoice for PO 4500000015,USD,1.00,,,RFBU,RMRP,51000000152024,USD,175155
100,1000,5000000016,2024,RE,2024-08-10,2024-08-10,08,2024-08-10,FINANCE02,MIRO,Invoice for PO 4500000016,USD,1.00,,,RFBU,RMRP,51000000162024,USD,093239
100,1000,5000000016,2024,RE,2024-08-01,2024-08-01,08,2024-08-01,FINANCE02,MIRO,Invoice for PO 4500000016,USD,1.00,,,RFBU,RMRP,51000000162024,USD,093239
100,1000,5000000017,2024,RE,2024-06-21,2024-06-21,06,2024-06-21,FINANCE01,MIRO,Invoice for PO 4500000017,USD,1.00,,,RFBU,RMRP,51000000172024,USD,154625
100,1000,5000000018,2024,RE,2024-05-30,2024-05-30,05,2024-05-30,FINANCE01,MIRO,Invoice for PO 4500000018,USD,1.00,,,RFBU,RMRP,51000000182024,USD,141701
100,1000,5000000019,2024,RE,2024-09-11,2024-09-11,09,2024-09-11,FINANCE02,MIRO,Invoice for PO 4500000019,USD,1.00,,,RFBU,RMRP,51000000192024,USD,173528
100,1000,5000000020,2024,RE,2024-08-15,2024-08-15,08,2024-08-15,FINANCE01,MIRO,Invoice for PO 4500000020,USD,1.00,,,RFBU,RMRP,51000000202024,USD,171115
100,1000,5000000021,2024,RE,2024-08-26,2024-08-26,08,2024-08-26,FINANCE02,MIRO,Invoice for PO 4500000021,USD,1.00,,,RFBU,RMRP,51000000212024,USD,142920
100,1000,5000000022,2024,RE,2024-04-19,2024-04-19,04,2024-04-19,FINANCE02,MIRO,Invoice for PO 4500000022,USD,1.00,,,RFBU,RMRP,51000000222024,USD,085833
100,1000,5000000023,2024,RE,2024-06-09,2024-06-09,06,2024-06-09,FINANCE01,MIRO,Invoice for PO 4500000023,USD,1.00,,,RFBU,RMRP,51000000232024,USD,120048
100,1000,5000000024,2024,RE,2024-03-12,2024-03-12,03,2024-03-12,FINANCE01,MIRO,Invoice for PO 4500000024,USD,1.00,,,RFBU,RMRP,51000000242024,USD,150348
100,1000,5000000025,2024,RE,2024-09-02,2024-09-02,09,2024-09-02,FINANCE02,MIRO,Invoice for PO 4500000025,USD,1.00,,,RFBU,RMRP,51000000252024,USD,130452
100,1000,5000000026,2024,RE,2024-09-15,2024-09-15,09,2024-09-15,FINANCE01,MIRO,Invoice for PO 4500000026,USD,1.00,,,RFBU,RMRP,51000000262024,USD,132416
100,1000,5000000027,2024,RE,2024-08-19,2024-08-19,08,2024-08-19,FINANCE01,MIRO,Invoice for PO 4500000027,USD,1.00,,,RFBU,RMRP,51000000272024,USD,132720
100,1000,5000000027,2024,RE,2024-08-16,2024-08-16,08,2024-08-16,FINANCE01,MIRO,Invoice for PO 4500000027,USD,1.00,,,RFBU,RMRP,51000000272024,USD,132720
100,1000,5000000028,2024,RE,2024-07-15,2024-07-15,07,2024-07-15,FINANCE01,MIRO,Invoice for PO 4500000028,USD,1.00,,,RFBU,RMRP,51000000282024,USD,095237
100,1000,5000000029,2024,RE,2024-05-29,2024-05-29,05,2024-05-29,FINANCE02,MIRO,Invoice for PO 4500000029,USD,1.00,,,RFBU,RMRP,51000000292024,USD,111708
100,1000,5000000030,2024,RE,2024-06-24,2024-06-24,06,2024-06-24,FINANCE01,MIRO,Invoice for PO 4500000030,USD,1.00,,,RFBU,RMRP,51000000302024,USD,083520
100,1000,5000000030,2024,RE,2024-06-29,2024-06-29,06,2024-06-29,FINANCE02,MIRO,Invoice for PO 4500000030,USD,1.00,,,RFBU,RMRP,51000000302024,USD,104047
