MANDT,BUKRS,BELNR,GJAHR,BLART,BLDAT,BUDAT,MONAT,CPUDT,USNAM,TCODE,WAERS,KURSF,BSTAT,GLVOR,AWTYP,AWKEY,HWAER,CPUTM
100,1000,6000000002,2024,RV,2024-03-15,2024-03-15,03,2024-03-15,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000002,USD,120245
100,1000,6000000003,2024,RV,2024-07-24,2024-07-24,07,2024-07-24,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000003,USD,155807
100,1000,6000000004,2024,RV,2024-03-12,2024-03-12,03,2024-03-12,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000004,USD,175525
100,1000,6000000006,2024,RV,2024-05-26,2024-05-26,05,2024-05-26,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000006,USD,105833
100,1000,6000000007,2024,RV,2024-06-28,2024-06-28,06,2024-06-28,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000007,USD,135344
100,1000,6000000008,2024,RV,2024-03-07,2024-03-07,03,2024-03-07,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000008,USD,161804
100,1000,6000000009,2024,RV,2024-08-28,2024-08-28,08,2024-08-28,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000009,USD,114551
100,1000,6000000010,2024,RV,2024-03-18,2024-03-18,03,2024-03-18,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000010,USD,174617
100,1000,6000000011,2024,RV,2024-03-27,2024-03-27,03,2024-03-27,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000011,USD,094047
100,1000,6000000012,2024,RV,2024-05-09,2024-05-09,05,2024-05-09,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000012,USD,100045
100,1000,6000000013,2024,RV,2024-06-29,2024-06-29,06,2024-06-29,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000013,USD,160541
100,1000,6000000014,2024,RV,2024-06-10,2024-06-10,06,2024-06-10,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000014,USD,112705
100,1000,6000000015,2024,RV,2024-02-27,2024-02-27,02,2024-02-27,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000015,USD,151534
100,1000,6000000016,2024,RV,2024-03-22,2024-03-22,03,2024-03-22,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000016,USD,141234
100,1000,6000000017,2024,RV,2024-09-19,2024-09-19,09,2024-09-19,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000017,USD,151727
