MANDT,BUKRS,BELNR,GJAHR,BUZEI,KOART,KUNNR,LIFNR,HKONT,SHKZG,DMBTR,WRBTR,WAERS,ZFBDT,ZTERM,AUGDT,AUGBL,AUGGJ,BSCHL
100,1000,6000000002,2024,0001,D,C00008,,0000130000,S,403526.69,403526.69,USD,2024-03-15,N030,2024-06-04,CL6000000002,2024,01
100,1000,6000000002,2024,0002,S,,,0000800000,H,403526.69,403526.69,USD,,,,,,50
100,1000,6000000003,2024,0001,D,C00008,,0000130000,S,42316.55,42316.55,USD,2024-07-24,2/10N30,2024-09-25,CL6000000003,2024,01
100,1000,6000000003,2024,0002,S,,,0000800000,H,42316.55,42316.55,USD,,,,,,50
100,1000,6000000004,2024,0001,D,C00003,,0000130000,S,72091.8,72091.8,USD,2024-03-12,N060,,,,01
100,1000,6000000004,2024,0002,S,,,0000800000,H,72091.8,72091.8,USD,,,,,,50
100,1000,6000000006,2024,0001,D,C00004,,0000130000,S,77687.13,77687.13,USD,2024-05-26,N060,2024-07-05,CL6000000006,2024,01
100,1000,6000000006,2024,0002,S,,,0000800000,H,77687.13,77687.13,USD,,,,,,50
100,1000,6000000007,2024,0001,D,C00008,,0000130000,S,186298.6,186298.6,USD,2024-06-28,N030,2024-07-26,CL6000000007,2024,01
100,1000,6000000007,2024,0002,S,,,0000800000,H,186298.6,186298.6,USD,,,,,,50
100,1000,6000000008,2024,0001,D,C00004,,0000130000,S,169624.8,169624.8,USD,2024-03-07,2/10N30,2024-04-08,CL6000000008,2024,01
100,1000,6000000008,2024,0002,S,,,0000800000,H,169624.8,169624.8,USD,,,,,,50
100,1000,6000000009,2024,0001,D,C00010,,0000130000,S,270718.0,270718.0,USD,2024-08-28,N030,2024-10-21,CL6000000009,2024,01
100,1000,6000000009,2024,0002,S,,,0000800000,H,270718.0,270718.0,USD,,,,,,50
100,1000,6000000010,2024,0001,D,C00009,,0000130000,S,140895.01,140895.01,USD,2024-03-18,N060,2024-04-12,CL6000000010,2024,01
100,1000,6000000010,2024,0002,S,,,0000800000,H,140895.01,140895.01,USD,,,,,,50
100,1000,6000000011,2024,0001,D,C00008,,0000130000,S,91515.06,91515.06,USD,2024-03-27,2/10N30,2024-04-12,CL6000000011,2024,01
100,1000,6000000011,2024,0002,S,,,0000800000,H,91515.06,91515.06,USD,,,,,,50
100,1000,6000000012,2024,0001,D,C00014,,0000130000,S,11578.41,11578.41,USD,2024-05-09,N030,,,,01
100,1000,6000000012,2024,0002,S,,,0000800000,H,11578.41,11578.41,USD,,,,,,50
