MANDT,BUKRS,KUNNR,UMSKS,UMSKZ,AUGDT,AUGBL,ZUONR,GJAHR,BELNR,BUZEI,BUDAT,BLDAT,ZFBDT,SHKZG,DMBTR,WRBTR,WAERS,ZTERM,HKONT
100,1000,C00003,,,,,,2024,6000000004,0001,2024-03-12,2024-03-12,2024-03-12,S,72091.8,72091.8,USD,N060,0000130000
100,1000,C00014,,,,,,2024,6000000012,0001,2024-05-09,2024-05-09,2024-05-09,S,11578.41,11578.41,USD,N030,0000130000
100,1000,C00009,,,,,,2024,6000000015,0001,2024-02-27,2024-02-27,2024-02-27,S,7748.1,7748.1,USD,N030,0000130000
100,1000,C00012,,,,,,2024,6000000016,0001,2024-03-22,2024-03-22,2024-03-22,S,149340.4,149340.4,USD,N060,0000130000
100,1000,C00013,,,,,,2024,6000000027,0001,2024-05-23,2024-05-23,2024-05-23,S,16855.36,16855.36,USD,N014,0000130000
100,1000,C00001,,,,,,2024,6000000031,0001,2024-10-05,2024-10-05,2024-10-05,S,120549.2,120549.2,USD,N060,0000130000
100,1000,C00012,,,,,,2024,6000000041,0001,2024-08-16,2024-08-16,2024-08-16,S,32255.52,32255.52,USD,N014,0000130000
100,1000,C00013,,,,,,2024,6000000044,0001,2024-08-14,2024-08-14,2024-08-14,S,44496.15,44496.15,USD,2/10N30,0000130000
100,1000,C00012,,,,,,2024,6000000046,0001,2024-06-28,2024-06-28,2024-06-28,S,49379.9,49379.9,USD,N030,0000130000
100,1000,C00013,,,,,,2024,6000000048,0001,2024-10-17,2024-10-17,2024-10-17,S,212345.72,212345.72,USD,N030,0000130000
100,1000,C00001,,,,,,2024,6000000053,0001,2024-04-26,2024-04-26,2024-04-26,S,325296.03,325296.03,USD,N014,0000130000
100,1000,C00005,,,,,,2024,6000000064,0001,2024-04-28,2024-04-28,2024-04-28,S,13755.96,13755.96,USD,N060,0000130000
100,1000,C00002,,,,,,2024,6000000066,0001,2024-05-15,2024-05-15,2024-05-15,S,122494.64,122494.64,USD,2/10N30,0000130000
100,1000,C00008,,,,,,2024,6000000067,0001,2024-07-11,2024-07-11,2024-07-11,S,91403.8,91403.8,USD,N060,0000130000
100,1000,C00003,,,,,,2024,6000000072,0001,2024-06-07,2024-06-07,2024-06-07,S,154268.64,154268.64,USD,N060,0000130000
100,1000,C00006,,,,,,2024,6000000078,0001,2024-09-16,2024-09-16,2024-09-16,S,70915.2,70915.2,USD,N060,0000130000
100,1000,C00012,,,,,,2024,6000000081,0001,2024-01-28,2024-01-28,2024-01-28,S,43066.45,43066.45,USD,N060,0000130000
100,1000,C00004,,,,,,2024,6000000083,0001,2024-09-25,2024-09-25,2024-09-25,S,124620.08,124620.08,USD,N060,0000130000
100,1000,C00006,,,,,,2024,6000000084,0001,2024-03-12,2024-03-12,2024-03-12,S,223204.83,223204.83,USD,N060,0000130000
100,1000,C00004,,,,,,2024,6000000086,0001,2024-10-07,2024-10-07,2024-10-07,S,299628.9,299628.9,USD,2/10N30,0000130000
100,1000,C00004,,,,,,2024,6000000102,0001,2024-07-19,2024-07-19,2024-07-19,S,233025.98,233025.98,USD,2/10N30,0000130000
