MANDT,CHANGENR,USERNAME,UDATE,UTIME,OBJECTCLAS,OBJECTID,TCODE,PLANCL,MANDANT
100,CH9000000000,BUYER02,2024-04-16,09:56:00,EINKBELEG,4500000001,ME22N,,100
100,CH9000000001,FINANCE01,2024-05-03,17:38:00,EINKBEHR,5100000001,MIRO,,100
100,CH9000000002,BUYER02,2024-03-02,10:50:00,EINKBELEG,4500000005,ME22N,,100
100,CH9000000003,BUYER03,2024-05-24,11:23:00,EINKBELEG,4500000007,ME22N,,100
100,CH9000000004,BUYER03,2024-02-25,12:44:00,EINKBELEG,4500000022,ME22N,,100
100,CH9000000005,BUYER01,2024-02-02,15:22:00,EINKBELEG,4500000024,ME22N,,100
100,CH9000000006,BUYER02,2024-06-30,14:03:00,EINKBELEG,4500000025,ME22N,,100
100,CH9000000007,BUYER01,2024-05-09,15:04:00,EINKBELEG,4500000032,ME22N,,100
100,CH9000000008,BUYER03,2024-08-14,16:35:00,EINKBELEG,4500000038,ME22N,,100
100,CH9000000009,BUYER03,2024-08-18,11:51:00,EINKBELEG,4500000039,ME22N,,100
100,CH9000000010,BUYER01,2024-05-26,14:26:00,EINKBELEG,4500000040,ME22N,,100
100,CH9000000011,BUYER03,2024-06-16,11:32:00,EINKBELEG,4500000042,ME22N,,100
100,CH9000000012,BUYER02,2024-02-16,17:30:00,EINKBELEG,4500000046,ME22N,,100
100,CH9000000013,FINANCE02,2024-02-14,16:25:00,EINKBEHR,5100000054,MIRO,,100
100,CH9000000014,BUYER01,2024-08-26,10:04:00,EINKBELEG,4500000056,ME22N,,100
100,CH9000000015,FINANCE02,2024-02-05,16:07:00,EINKBEHR,5100000057,MIRO,,100
100,CH9000000016,BUYER02,2024-06-07,16:14:00,EINKBELEG,4500000058,ME22N,,100
100,CH9000000017,BUYER02,2024-05-12,11:48:00,EINKBELEG,4500000070,ME22N,,100
100,CH9000000018,BUYER03,2024-05-04,10:00:00,EINKBELEG,4500000071,ME22N,,100
100,CH9000000019,BUYER02,2024-07-15,17:23:00,EINKBELEG,4500000073,ME22N,,100
100,CH9000000020,BUYER01,2024-01-29,12:56:00,EINKBELEG,4500000078,ME22N,,100
100,CH9000000021,FINANCE01,2024-02-07,14:19:00,EINKBEHR,5100000078,MIRO,,100
100,CH9000000022,FINANCE01,2024-08-17,11:51:00,EINKBEHR,5100000080,MIRO,,100
100,CH9000000023,BUYER03,2024-04-22,13:19:00,EINKBELEG,4500000081,ME22N,,100
100,CH9000000024,FINANCE02,2024-09-25,12:48:00,EINKBEHR,5100000082,MIRO,,100
100,CH9000000025,BUYER01,2024-01-26,09:27:00,EINKBELEG,4500000086,ME22N,,100
