MANDT,CHANGENR,OBJECTCLAS,OBJECTID,CHANGENR2,TABNAME,TABKEY,FNAME,DATATYPE,VALUE_NEW,VALUE_OLD,CHNGIND,TEXT_NEW,TEXT_OLD,MANDANT
100,9000000000,EINKBELEG,4500000001,9000000000,EKPO,100450000000100010,NETPR,DEC,275.68,248.11,U,,,100
100,9000000001,EINKBEHR,5100000001,9000000001,RBKP,10051000000012024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000002,EINKBELEG,4500000005,9000000002,EKPO,100450000000500010,NETPR,DEC,314.12,282.71,U,,,100
100,9000000003,EINKBELEG,4500000007,9000000003,EKPO,100450000000700010,NETPR,DEC,302.32,272.09,U,,,100
100,9000000004,EINKBELEG,4500000022,9000000004,EKPO,100450000002200010,NETPR,DEC,49.78,44.8,U,,,100
100,9000000005,EINKBELEG,4500000024,9000000005,EKPO,100450000002400010,NETPR,DEC,54.75,49.27,U,,,100
100,9000000006,EINKBELEG,4500000025,9000000006,EKPO,100450000002500010,NETPR,DEC,473.14,425.83,U,,,100
100,9000000007,EINKBELEG,4500000032,9000000007,EKPO,100450000003200010,NETPR,DEC,314.24,282.82,U,,,100
100,9000000008,EINKBELEG,4500000038,9000000008,EKPO,100450000003800010,NETPR,DEC,328.95,296.06,U,,,100
100,9000000009,EINKBELEG,4500000039,9000000009,EKPO,100450000003900010,NETPR,DEC,304.2,273.78,U,,,100
100,9000000010,EINKBELEG,4500000040,9000000010,EKPO,100450000004000010,NETPR,DEC,161.4,145.26,U,,,100
100,9000000011,EINKBELEG,4500000042,9000000011,EKPO,100450000004200010,NETPR,DEC,36.84,33.16,U,,,100
100,9000000012,EINKBELEG,4500000046,9000000012,EKPO,100450000004600010,NETPR,DEC,190.68,171.61,U,,,100
100,9000000013,EINKBEHR,5100000054,9000000013,RBKP,10051000000542024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000014,EINKBELEG,4500000056,9000000014,EKPO,100450000005600010,NETPR,DEC,456.69,411.02,U,,,100
100,9000000015,EINKBEHR,5100000057,9000000015,RBKP,10051000000572024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000016,EINKBELEG,4500000058,9000000016,EKPO,100450000005800010,NETPR,DEC,427.88,385.09,U,,,100
100,9000000017,EINKBELEG,4500000070,9000000017,EKPO,100450000007000010,NETPR,DEC,120.58,108.52,U,,,100
100,9000000018,EINKBELEG,4500000071,9000000018,EKPO,100450000007100010,NETPR,DEC,96.14,86.53,U,,,100
100,9000000019,EINKBELEG,4500000073,9000000019,EKPO,100450000007300010,NETPR,DEC,238.04,214.24,U,,,100
100,9000000020,EINKBELEG,4500000078,9000000020,EKPO,100450000007800010,NETPR,DEC,33.85,30.47,U,,,100
100,9000000021,EINKBEHR,5100000078,9000000021,RBKP,10051000000782024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000022,EINKBEHR,5100000080,9000000022,RBKP,10051000000802024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000023,EINKBELEG,4500000081,9000000023,EKPO,100450000008100010,NETPR,DEC,103.11,92.8,U,,,100
100,9000000024,EINKBEHR,5100000082,9000000024,RBKP,10051000000822024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000025,EINKBELEG,4500000086,9000000025,EKPO,100450000008600010,NETPR,DEC,297.65,267.88,U,,,100
100,9000000026,EINKBEHR,5100000091,9000000026,RBKP,10051000000912024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000027,EINKBELEG,4500000098,9000000027,EKPO,100450000009800010,NETPR,DEC,399.98,359.98,U,,,100
100,9000000028,EINKBEHR,5100000101,9000000028,RBKP,10051000001012024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000029,EINKBELEG,4500000112,9000000029,EKPO,100450000011200010,NETPR,DEC,56.83,51.15,U,,,100
100,9000000030,EINKBELEG,4500000120,9000000030,EKPO,100450000012000010,NETPR,DEC,78.92,71.03,U,,,100
100,9000000031,EINKBELEG,4500000121,9000000031,EKPO,100450000012100010,NETPR,DEC,416.12,374.51,U,,,100
100,9000000032,EINKBELEG,4500000124,9000000032,EKPO,100450000012400010,NETPR,DEC,212.85,191.56,U,,,100
100,9000000033,EINKBELEG,4500000126,9000000033,EKPO,100450000012600010,NETPR,DEC,290.29,261.26,U,,,100
100,9000000034,EINKBELEG,4500000127,9000000034,EKPO,100450000012700010,NETPR,DEC,37.54,33.79,U,,,100
100,9000000035,EINKBELEG,4500000128,9000000035,EKPO,100450000012800010,NETPR,DEC,54.29,48.86,U,,,100
100,9000000036,EINKBELEG,4500000134,9000000036,EKPO,100450000013400010,NETPR,DEC,249.89,224.9,U,,,100
100,9000000037,EINKBEHR,5100000134,9000000037,RBKP,10051000001342024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000038,EINKBELEG,4500000135,9000000038,EKPO,100450000013500010,NETPR,DEC,160.0,144.0,U,,,100
100,9000000039,EINKBEHR,5100000136,9000000039,RBKP,10051000001362024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000040,EINKBELEG,4500000138,9000000040,EKPO,100450000013800010,NETPR,DEC,364.55,328.1,U,,,100
100,9000000041,EINKBELEG,4500000143,9000000041,EKPO,100450000014300010,NETPR,DEC,332.01,298.81,U,,,100
100,9000000042,EINKBEHR,5100000150,9000000042,RBKP,10051000001502024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000043,EINKBELEG,4500000151,9000000043,EKPO,100450000015100010,NETPR,DEC,378.8,340.92,U,,,100
100,9000000044,EINKBELEG,4500000152,9000000044,EKPO,100450000015200010,NETPR,DEC,50.35,45.32,U,,,100
100,9000000045,EINKBEHR,5100000152,9000000045,RBKP,10051000001522024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000046,EINKBELEG,4500000169,9000000046,EKPO,100450000016900010,NETPR,DEC,389.07,350.16,U,,,100
100,9000000047,EINKBEHR,5100000174,9000000047,RBKP,10051000001742024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000048,EINKBELEG,4500000185,9000000048,EKPO,100450000018500010,NETPR,DEC,468.75,421.88,U,,,100
100,9000000049,EINKBELEG,4500000189,9000000049,EKPO,100450000018900010,NETPR,DEC,280.22,252.2,U,,,100
100,9000000050,EINKBEHR,5100000191,9000000050,RBKP,10051000001912024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000051,EINKBELEG,4500000194,9000000051,EKPO,100450000019400010,NETPR,DEC,461.72,415.55,U,,,100
100,9000000052,EINKBELEG,4500000195,9000000052,EKPO,100450000019500010,NETPR,DEC,378.89,341.0,U,,,100
100,9000000053,EINKBELEG,4500000197,9000000053,EKPO,100450000019700010,NETPR,DEC,410.9,369.81,U,,,100
100,9000000054,EINKBELEG,4500000202,9000000054,EKPO,100450000020200010,NETPR,DEC,467.18,420.46,U,,,100
100,9000000055,EINKBELEG,4500000204,9000000055,EKPO,100450000020400010,NETPR,DEC,384.62,346.16,U,,,100
100,9000000056,EINKBELEG,4500000207,9000000056,EKPO,100450000020700010,NETPR,DEC,151.5,136.35,U,,,100
100,9000000057,EINKBELEG,4500000213,9000000057,EKPO,100450000021300010,NETPR,DEC,357.82,322.04,U,,,100
100,9000000058,EINKBELEG,4500000216,9000000058,EKPO,100450000021600010,NETPR,DEC,403.96,363.56,U,,,100
100,9000000059,EINKBELEG,4500000219,9000000059,EKPO,100450000021900010,NETPR,DEC,490.3,441.27,U,,,100
