MANDT,BANFN,BNFPO,BSART,BSTYP,BSAKZ,LOEKZ,STATU,ESTKZ,FRGKZ,FRGZU,FRGST,EKGRP,ERNAM,ERDAT,AFNAM,TXZ01,MATNR,WERKS,LGORT,MENGE,MEINS,LFDAT,BADAT,LIFNR,EKORG,EBELN,EBELP,FRGRL,BWTAR,PSTYP,KNTTP
100,1000000000,00010,NB,B,,,N,B,R,,,100,BUYER03,2024-03-30,BUYER03,PR for material MAT00008,MAT00008,P003,SL01,115.0,EA,2024-05-18,2024-03-30,,1000,4500000000,00010,,,0,
100,1000000001,00010,NB,B,,,N,B,R,,,102,BUYER03,2024-04-11,BUYER03,PR for material MAT00005,MAT00005,P003,SL03,294.0,EA,2024-05-11,2024-04-11,,1000,4500000001,00010,,,0,
100,1000000002,00010,NB,B,,,N,B,R,,,102,BUYER03,2024-04-18,BUYER03,PR for material MAT00009,MAT00009,P001,SL02,127.0,EA,2024-06-22,2024-04-18,,1000,4500000002,00010,,,0,
100,1000000004,00010,NB,B,,,N,B,R,,,101,BUYER03,2024-08-10,BUYER03,PR for material MAT00018,MAT00018,P002,SL01,47.0,EA,2024-08-29,2024-08-10,,1000,4500000004,00010,,,0,
100,1000000005,00010,NB,B,,,N,B,R,,,101,BUYER01,2024-02-26,BUYER01,PR for material MAT00022,MAT00022,P002,SL01,209.0,EA,2024-04-18,2024-02-26,,1000,4500000005,00010,,,0,
100,1000000006,00010,NB,B,,,N,B,R,,,101,BUYER01,2024-04-16,BUYER01,PR for material MAT00008,MAT00008,P002,SL01,160.0,EA,2024-06-05,2024-04-16,,1000,4500000006,00010,,,0,
100,1000000007,00010,NB,B,,,N,B,R,,,102,BUYER03,2024-05-17,BUYER03,PR for material MAT00004,MAT00004,P003,SL02,29.0,EA,2024-07-09,2024-05-17,,1000,4500000007,00010,,,0,
100,1000000008,00010,NB,B,,,N,B,R,,,103,BUYER01,2024-03-08,BUYER01,PR for material MAT00022,MAT00022,P003,SL02,162.0,EA,2024-04-16,2024-03-08,,1000,4500000008,00010,,,0,
100,1000000009,00010,NB,B,,,N,B,R,,,101,BUYER02,2024-06-17,BUYER02,PR for material MAT00019,MAT00019,P002,SL01,341.0,EA,2024-08-02,2024-06-17,,1000,4500000009,00010,,,0,
100,1000000010,00010,NB,B,,,N,B,R,,,103,BUYER01,2024-08-04,BUYER01,PR for material MAT00015,MAT00015,P001,SL02,362.0,EA,2024-09-29,2024-08-04,,1000,4500000010,00010,,,0,
100,1000000010,00020,NB,B,,,N,B,R,,,101,BUYER01,2024-08-04,BUYER01,PR for material MAT00015,MAT00015,P001,SL02,362.0,EA,2024-09-29,2024-08-04,,1000,4500000010,00020,,,0,
100,1000000011,00010,NB,B,,,N,B,R,,,100,BUYER02,2024-05-25,BUYER02,PR for material MAT00021,MAT00021,P002,SL02,317.0,EA,2024-07-18,2024-05-25,,1000,4500000011,00010,,,0,
100,1000000014,00010,NB,B,,,N,B,R,,,103,BUYER01,2024-08-24,BUYER01,PR for material MAT00007,MAT00007,P002,SL02,441.0,EA,2024-10-01,2024-08-24,,1000,4500000014,00010,,,0,
100,1000000017,00010,NB,B,,,N,B,R,,,103,BUYER02,2024-05-09,BUYER02,PR for material MAT00011,MAT00011,P003,SL03,442.0,EA,2024-06-04,2024-05-09,,1000,4500000017,00010,,,0,
100,1000000018,00010,NB,B,,,N,B,R,,,101,BUYER03,2024-04-11,BUYER03,PR for material MAT00017,MAT00017,P002,SL03,209.0,EA,2024-05-11,2024-04-11,,1000,4500000018,00010,,,0,
100,1000000019,00010,NB,B,,,N,B,R,,,100,BUYER02,2024-06-22,BUYER02,PR for material MAT00014,MAT00014,P003,SL03,143.0,EA,2024-08-22,2024-06-22,,1000,4500000019,00010,,,0,
100,1000000020,00010,NB,B,,,N,B,R,,,100,BUYER02,2024-07-07,BUYER02,PR for material MAT00008,MAT00008,P001,SL01,357.0,EA,2024-08-11,2024-07-07,,1000,4500000020,00010,,,0,
100,1000000021,00010,NB,B,,,N,B,R,,,101,BUYER01,2024-07-28,BUYER01,PR for material MAT00003,MAT00003,P002,SL02,318.0,EA,2024-08-19,2024-07-28,,1000,4500000021,00010,,,0,
100,1000000023,00010,NB,B,,,N,B,R,,,102,BUYER02,2024-04-15,BUYER02,PR for material MAT00009,MAT00009,P001,SL03,120.0,EA,2024-05-10,2024-04-15,,1000,4500000023,00010,,,0,
100,1000000024,00010,NB,B,,,N,B,R,,,100,BUYER03,2024-01-25,BUYER03,PR for material MAT00003,MAT00003,P003,SL02,133.0,EA,2024-03-03,2024-01-25,,1000,4500000024,00010,,,0,
100,1000000025,00010,NB,B,,,N,B,R,,,100,BUYER02,2024-06-21,BUYER02,PR for material MAT00006,MAT00006,P002,SL03,151.0,EA,2024-08-22,2024-06-21,,1000,4500000025,00010,,,0,
100,1000000026,00010,NB,B,,,N,B,R,,,102,BUYER03,2024-08-18,BUYER03,PR for material MAT00021,MAT00021,P002,SL03,141.0,EA,2024-09-11,2024-08-18,,1000,4500000026,00010,,,0,
100,1000000027,00010,NB,B,,,N,B,R,,,103,BUYER01,2024-06-02,BUYER01,PR for material MAT00016,MAT00016,P002,SL01,214.0,EA,2024-08-05,2024-06-02,,1000,4500000027,00010,,,0,
100,1000000027,00020,NB,B,,,N,B,R,,,101,BUYER01,2024-06-02,BUYER01,PR for material MAT00016,MAT00016,P002,SL01,214.0,EA,2024-08-05,2024-06-02,,1000,4500000027,00020,,,0,
100,1000000028,00010,NB,B,,,N,B,R,,,102,BUYER03,2024-05-06,BUYER03,PR for material MAT00007,MAT00007,P002,SL02,429.0,EA,2024-06-18,2024-05-06,,1000,4500000028,00010,,,0,
100,1000000029,00010,NB,B,,,N,B,R,,,102,BUYER02,2024-03-18,BUYER02,PR for material MAT00001,MAT00001,P001,SL03,47.0,EA,2024-05-16,2024-03-18,,1000,4500000029,00010,,,0,
