MANDT,EBELN,EBELP,ZEKKN,VGABE,GJAHR,BELNR,BUZEI,BEWTP,BWART,BUDAT,MENGE,BPMNG,DMBTR,WRBTR,WAERS,WESBS,BPWES,SHKZG,ELIKZ,CPUDT,MATNR,WERKS,ERNAM
100,4500000000,00010,0,6,2024,5100000000,0001,U,,2024-05-21,115.0,115.0,23748.65,23748.65,USD,0,0,H,,2024-05-21,MAT00008,P003,FINANCE02
100,4500000001,00010,0,1,2024,5000000001,0001,E,101,2024-05-08,294.0,294.0,81049.92,81049.92,USD,294.0,294.0,S,,2024-05-08,MAT00005,P003,FINANCE02
100,4500000001,00010,0,6,2024,5100000001,0001,U,,2024-05-26,294.0,294.0,81049.92,81049.92,USD,0,0,H,,2024-05-26,MAT00005,P003,FINANCE01
100,4500000002,00010,0,1,2024,5000000003,0001,E,101,2024-06-21,127.0,127.0,25900.38,25900.38,USD,127.0,127.0,S,,2024-06-21,MAT00009,P001,BUYER02
100,4500000002,00010,0,6,2024,5100000002,0001,U,,2024-06-24,127.0,127.0,25900.38,25900.38,USD,0,0,H,,2024-06-24,MAT00009,P001,FINANCE02
100,4500000003,00010,0,1,2024,5000000005,0001,E,101,2024-06-18,410.0,410.0,64247.0,64247.0,USD,410.0,410.0,S,,2024-06-18,MAT00015,P002,SALEUSER2
100,4500000003,00010,0,6,2024,5100000003,0001,U,,2024-06-24,410.0,410.0,64247.0,64247.0,USD,0,0,H,,2024-06-24,MAT00015,P002,FINANCE01
100,4500000003,00020,0,1,2024,5000000007,0001,E,101,2024-06-18,139.0,139.0,47626.96,47626.96,USD,139.0,139.0,S,,2024-06-18,MAT00004,P002,WHOUSE02
100,4500000003,00020,0,6,2024,5100000003,0001,U,,2024-06-29,139.0,139.0,47626.96,47626.96,USD,0,0,H,,2024-06-29,MAT00004,P002,FINANCE01
100,4500000004,00010,0,1,2024,5000000009,0001,E,101,2024-08-26,47.0,47.0,20807.84,20807.84,USD,47.0,47.0,S,,2024-08-26,MAT00018,P002,FINANCE02
100,4500000004,00010,0,6,2024,5100000004,0001,U,,2024-09-15,47.0,47.0,20807.84,20807.84,USD,0,0,H,,2024-09-15,MAT00018,P002,FINANCE01
100,4500000005,00010,0,1,2024,5000000011,0001,E,101,2024-04-21,209.0,209.0,65651.08,65651.08,USD,209.0,209.0,S,,2024-04-21,MAT00022,P002,BUYER03
100,4500000005,00010,0,6,2024,5100000005,0001,U,,2024-04-24,209.0,209.0,77614.24,77614.24,USD,0,0,H,,2024-04-24,MAT00022,P002,FINANCE01
100,4500000006,00010,0,1,2024,5000000013,0001,E,101,2024-06-04,160.0,160.0,63955.2,63955.2,USD,160.0,160.0,S,,2024-06-04,MAT00008,P002,SALEUSER1
100,4500000006,00010,0,6,2024,5100000006,0001,U,,2024-06-19,160.0,160.0,63955.2,63955.2,USD,0,0,H,,2024-06-19,MAT00008,P002,FINANCE02
100,4500000007,00010,0,1,2024,5000000015,0001,E,101,2024-07-08,29.0,29.0,8767.28,8767.28,USD,29.0,29.0,S,,2024-07-08,MAT00004,P003,FINANCE02
100,4500000007,00010,0,6,2024,5100000007,0001,U,,2024-07-27,29.0,29.0,8767.28,8767.28,USD,0,0,H,,2024-07-27,MAT00004,P003,FINANCE01
100,4500000008,00010,0,1,2024,5000000017,0001,E,101,2024-04-17,162.0,162.0,34037.82,34037.82,USD,162.0,162.0,S,,2024-04-17,MAT00022,P003,BUYER03
100,4500000008,00010,0,6,2024,5100000008,0001,U,,2024-04-26,162.0,162.0,34037.82,34037.82,USD,0,0,H,,2024-04-26,MAT00022,P003,FINANCE02
100,4500000009,00010,0,6,2024,5100000009,0001,U,,2024-08-21,341.0,341.0,88823.68,88823.68,USD,0,0,H,,2024-08-21,MAT00019,P002,FINANCE02
