MANDT,EBELN,EBELP,ETENR,EINDT,SLFDT,LPEIN,MENGE,AMENG,WEMNG,WAMNG,BANFN,BNFPO,FIXKZ,GLMNG,DABMG
100,4500000000,00010,0001,2024-05-18,2024-05-18,T,115.0,0,0,0,1000000000,00010,X,115.0,0
100,4500000001,00010,0001,2024-05-11,2024-05-11,T,294.0,0,294.0,294.0,1000000001,00010,X,294.0,0
100,4500000002,00010,0001,2024-06-22,2024-06-22,T,127.0,0,127.0,127.0,1000000002,00010,X,127.0,0
100,4500000003,00010,0001,2024-06-16,2024-06-16,T,410.0,0,410.0,410.0,,00010,X,410.0,0
100,4500000003,00020,0001,2024-06-16,2024-06-16,T,139.0,0,139.0,139.0,,00020,X,139.0,0
100,4500000004,00010,0001,2024-08-29,2024-08-29,T,47.0,0,47.0,47.0,1000000004,00010,X,47.0,0
100,4500000005,00010,0001,2024-04-18,2024-04-18,T,209.0,0,209.0,209.0,1000000005,00010,X,209.0,0
100,4500000006,00010,0001,2024-06-05,2024-06-05,T,160.0,0,160.0,160.0,1000000006,00010,X,160.0,0
100,4500000007,00010,0001,2024-07-09,2024-07-09,T,29.0,0,29.0,29.0,1000000007,00010,X,29.0,0
100,4500000008,00010,0001,2024-04-16,2024-04-16,T,162.0,0,162.0,162.0,1000000008,00010,X,162.0,0
100,4500000009,00010,0001,2024-08-02,2024-08-02,T,341.0,0,0,0,1000000009,00010,X,341.0,0
100,4500000010,00010,0001,2024-09-29,2024-09-29,T,362.0,0,362.0,362.0,1000000010,00010,X,362.0,0
100,4500000010,00020,0001,2024-09-29,2024-09-29,T,29.0,0,29.0,29.0,1000000010,00020,X,29.0,0
100,4500000011,00010,0001,2024-07-18,2024-07-18,T,317.0,0,317.0,317.0,1000000011,00010,X,317.0,0
100,4500000012,00010,0001,2024-03-10,2024-03-10,T,296.0,0,296.0,296.0,,00010,X,296.0,0
100,4500000013,00010,0001,2024-10-10,2024-10-10,T,343.0,0,343.0,343.0,,00010,X,343.0,0
100,4500000014,00010,0001,2024-10-01,2024-10-01,T,441.0,0,441.0,441.0,1000000014,00010,X,441.0,0
100,4500000015,00010,0001,2024-04-27,2024-04-27,T,238.0,0,238.0,238.0,,00010,X,238.0,0
100,4500000016,00010,0001,2024-07-01,2024-07-01,T,405.0,0,405.0,405.0,,00010,X,405.0,0
100,4500000016,00020,0001,2024-07-01,2024-07-01,T,26.0,0,26.0,26.0,,00020,X,26.0,0
100,4500000017,00010,0001,2024-06-04,2024-06-04,T,442.0,0,442.0,442.0,1000000017,00010,X,442.0,0
100,4500000018,00010,0001,2024-05-11,2024-05-11,T,209.0,0,209.0,209.0,1000000018,00010,X,209.0,0
100,4500000019,00010,0001,2024-08-22,2024-08-22,T,143.0,0,143.0,143.0,1000000019,00010,X,143.0,0
100,4500000020,00010,0001,2024-08-11,2024-08-11,T,357.0,0,357.0,357.0,1000000020,00010,X,357.0,0
100,4500000021,00010,0001,2024-08-19,2024-08-19,T,318.0,0,318.0,318.0,1000000021,00010,X,318.0,0
100,4500000022,00010,0001,2024-04-16,2024-04-16,T,140.0,0,140.0,140.0,,00010,X,140.0,0
100,4500000023,00010,0001,2024-05-10,2024-05-10,T,120.0,0,120.0,120.0,1000000023,00010,X,120.0,0
100,4500000024,00010,0001,2024-03-03,2024-03-03,T,133.0,0,133.0,133.0,1000000024,00010,X,133.0,0
100,4500000025,00010,0001,2024-08-22,2024-08-22,T,151.0,0,151.0,151.0,1000000025,00010,X,151.0,0
100,4500000026,00010,0001,2024-09-11,2024-09-11,T,141.0,0,141.0,141.0,1000000026,00010,X,141.0,0
100,4500000027,00010,0001,2024-08-05,2024-08-05,T,214.0,0,214.0,214.0,1000000027,00010,X,214.0,0
100,4500000027,00020,0001,2024-08-05,2024-08-05,T,71.0,0,71.0,71.0,1000000027,00020,X,71.0,0
100,4500000028,00010,0001,2024-06-18,2024-06-18,T,429.0,0,429.0,429.0,1000000028,00010,X,429.0,0
100,4500000029,00010,0001,2024-05-16,2024-05-16,T,47.0,0,0,0,1000000029,00010,X,47.0,0
100,4500000030,00010,0001,2024-06-21,2024-06-21,T,489.0,0,489.0,489.0,1000000030,00010,X,489.0,0
100,4500000030,00020,0001,2024-06-21,2024-06-21,T,53.0,0,53.0,53.0,1000000030,00020,X,53.0,0
100,4500000031,00010,0001,2024-06-03,2024-06-03,T,238.0,0,238.0,238.0,1000000031,00010,X,238.0,0
100,4500000031,00020,0001,2024-06-03,2024-06-03,T,26.0,0,26.0,26.0,1000000031,00020,X,26.0,0
100,4500000032,00010,0001,2024-06-11,2024-06-11,T,322.0,0,322.0,322.0,1000000032,00010,X,322.0,0
100,4500000032,00020,0001,2024-06-11,2024-06-11,T,158.0,0,158.0,158.0,1000000032,00020,X,158.0,0
100,4500000033,00010,0001,2024-08-19,2024-08-19,T,140.0,0,140.0,140.0,1000000033,00010,X,140.0,0
100,4500000034,00010,0001,2024-07-23,2024-07-23,T,78.0,0,78.0,78.0,1000000034,00010,X,78.0,0
100,4500000034,00020,0001,2024-07-23,2024-07-23,T,87.0,0,87.0,87.0,1000000034,00020,X,87.0,0
100,4500000035,00010,0001,2024-08-15,2024-08-15,T,103.0,0,0,0,1000000035,00010,X,103.0,0
100,4500000036,00010,0001,2024-07-21,2024-07-21,T,451.0,0,451.0,451.0,1000000036,00010,X,451.0,0
100,4500000036,00020,0001,2024-07-21,2024-07-21,T,15.0,0,15.0,15.0,1000000036,00020,X,15.0,0
100,4500000037,00010,0001,2024-03-05,2024-03-05,T,207.0,0,207.0,207.0,1000000037,00010,X,207.0,0
100,4500000038,00010,0001,2024-10-10,2024-10-10,T,428.0,0,428.0,428.0,1000000038,00010,X,428.0,0
100,4500000038,00020,0001,2024-10-10,2024-10-10,T,78.0,0,78.0,78.0,1000000038,00020,X,78.0,0
