MANDT,EBELN,EBELP,LOEKZ,STATU,AEDAT,TXZ01,MATNR,EMATN,BUKRS,WERKS,LGORT,MATKL,MENGE,MEINS,BPRME,NETPR,PEINH,NETWR,BRTWR,WEBAZ,MWSKZ,ELIKZ,EREKZ,PSTYP,KNTTP,WEPOS,REPOS,WEBRE,BSTYP,BANFN,BNFPO
100,4500000000,00010,,,2024-04-03,Material MAT00008,MAT00008,MAT00008,1000,P003,SL01,MG04,115.0,EA,EA,206.51,1,23748.65,26123.51,14,I1,,,0,,X,X,X,F,1000000000,00010
100,4500000001,00010,,,2024-04-14,Material MAT00005,MAT00005,MAT00005,1000,P003,SL03,MG01,294.0,EA,EA,275.68,1,81049.92,89154.91,14,I1,,,0,,X,X,X,F,1000000001,00010
100,4500000002,00010,,,2024-04-24,Material MAT00009,MAT00009,MAT00009,1000,P001,SL02,MG03,127.0,EA,EA,203.94,1,25900.38,28490.42,14,I1,,,0,,X,X,X,F,1000000002,00010
100,4500000003,00010,,,2024-06-02,Material MAT00015,MAT00015,MAT00015,1000,P002,SL02,MG02,410.0,EA,EA,156.7,1,64247.0,70671.7,14,I1,,,0,,X,X,X,F,,
100,4500000003,00020,,,2024-06-02,Material MAT00004,MAT00004,MAT00004,1000,P002,SL02,MG05,139.0,EA,EA,342.64,1,47626.96,52389.66,14,I1,,,0,,X,X,X,F,,
100,4500000004,00010,,,2024-08-15,Material MAT00018,MAT00018,MAT00018,1000,P002,SL01,MG03,47.0,EA,EA,442.72,1,20807.84,22888.62,14,I1,,,0,,X,X,X,F,1000000004,00010
100,4500000005,00010,,,2024-02-29,Material MAT00022,MAT00022,MAT00022,1000,P002,SL01,MG02,209.0,EA,EA,314.12,1,65651.08,72216.19,14,I1,,,0,,X,X,X,F,1000000005,00010
100,4500000006,00010,,,2024-04-23,Material MAT00008,MAT00008,MAT00008,1000,P002,SL01,MG01,160.0,EA,EA,399.72,1,63955.2,70350.72,14,I1,,,0,,X,X,X,F,1000000006,00010
100,4500000007,00010,,,2024-05-19,Material MAT00004,MAT00004,MAT00004,1000,P003,SL02,MG04,29.0,EA,EA,302.32,1,8767.28,9644.01,14,I1,,,0,,X,X,X,F,1000000007,00010
100,4500000008,00010,,,2024-03-14,Material MAT00022,MAT00022,MAT00022,1000,P003,SL02,MG05,162.0,EA,EA,210.11,1,34037.82,37441.6,14,I1,,,0,,X,X,X,F,1000000008,00010
100,4500000009,00010,,,2024-06-21,Material MAT00019,MAT00019,MAT00019,1000,P002,SL01,MG03,341.0,EA,EA,260.48,1,88823.68,97706.05,14,I1,,,0,,X,X,X,F,1000000009,00010
100,4500000010,00010,,,2024-08-10,Material MAT00015,MAT00015,MAT00015,1000,P001,SL02,MG06,362.0,EA,EA,198.15,1,71730.3,78903.33,14,I1,,,0,,X,X,X,F,1000000010,00010
