MANDT,OBJNR,STAT,INACT,CHGNR,UDATE,UTIME,USNAM,STSMA,VORGNG,VORZUSTAND,CDTCODE
100,OR1000000000000010,E0001,,1,2024-04-02,16:33:35,SALEUSER1,,,,VA01
100,OR1000000000000010,E0002,,2,2024-04-28,13:37:32,WHOUSE01,,,,VL01N
100,OR1000000000000010,E0003,,3,2024-04-28,10:58:37,WHOUSE01,,,,VL02N
100,OR1000000001000010,E0001,,4,2024-03-27,11:29:16,SALEUSER3,,,,VA01
100,OR1000000001000010,E0002,,5,2024-04-12,17:17:46,WHOUSE02,,,,VL01N
100,OR1000000001000010,E0003,,6,2024-04-12,11:29:43,WHOUSE02,,,,VL02N
100,OR1000000002000010,E0001,,7,2024-02-23,08:30:31,SALEUSER3,,,,VA01
100,OR1000000002000010,I0001,,8,2024-02-24,11:19:16,SALEUSER2,,,,VA02
100,OR1000000002000010,I0001,X,9,2024-02-29,06:51:06,SALEUSER1,,,,VA02
100,OR1000000002000010,E0002,,10,2024-03-10,07:30:35,WHOUSE01,,,,VL01N
100,OR1000000002000010,E0003,,11,2024-03-10,08:45:51,WHOUSE01,,,,VL02N
100,OR1000000002000010,E0004,,12,2024-03-15,08:32:09,FINANCE02,,,,VF01
100,OR1000000002000020,E0001,,13,2024-02-23,06:12:57,SALEUSER3,,,,VA01
100,OR1000000002000020,I0001,,14,2024-02-24,09:30:35,SALEUSER2,,,,VA02
100,OR1000000002000020,I0001,X,15,2024-03-02,15:38:58,FINANCE01,,,,VA02
100,OR1000000002000020,E0002,,16,2024-03-10,07:00:22,WHOUSE02,,,,VL01N
100,OR1000000002000020,E0003,,17,2024-03-11,13:18:19,WHOUSE02,,,,VL02N
100,OR1000000002000020,E0004,,18,2024-03-15,10:43:25,FINANCE01,,,,VF01
100,OR1000000003000010,E0001,,19,2024-06-20,13:57:03,SALEUSER2,,,,VA01
100,OR1000000003000010,E0002,,20,2024-07-22,13:28:46,WHOUSE02,,,,VL01N
100,OR1000000003000010,E0003,,21,2024-07-22,06:42:36,WHOUSE02,,,,VL02N
100,OR1000000003000010,E0004,,22,2024-07-24,12:28:46,FINANCE02,,,,VF01
100,OR1000000003000010,E0005,,23,2024-07-26,15:18:08,AUTOCLR,,,,VF02
100,OR1000000004000010,E0001,,24,2024-02-22,13:16:27,SALEUSER3,,,,VA01
100,OR1000000004000010,E0002,,25,2024-03-10,07:09:04,WHOUSE02,,,,VL01N
100,OR1000000004000010,E0003,,26,2024-03-12,14:11:49,WHOUSE02,,,,VL02N
100,OR1000000004000010,E0004,,27,2024-03-12,17:47:51,FINANCE02,,,,VF01
100,OR1000000004000010,E0005,,28,2024-03-14,09:24:01,FINANCE01,,,,VF02
100,OR1000000005000010,E0001,,29,2024-05-03,15:17:57,SALEUSER1,,,,VA01
100,OR1000000005000010,I0002,,30,2024-05-04,08:51:10,SALEUSER1,,,,VA02
100,OR1000000005000010,E0002,,31,2024-05-20,07:46:55,WHOUSE02,,,,VL01N
100,OR1000000005000010,E0003,,32,2024-05-22,14:30:46,WHOUSE01,,,,VL02N
100,OR1000000006000010,E0001,,33,2024-05-11,06:49:06,SALEUSER3,,,,VA01
100,OR1000000006000010,E0002,,34,2024-05-21,08:01:37,WHOUSE01,,,,VL01N
100,OR1000000006000010,E0003,,35,2024-05-21,11:07:41,WHOUSE02,,,,VL02N
