MANDT,KUNNR,NAME1,ORT01,LAND1,REGIO,PSTLZ,KTOKD,ERDAT,SPRAS,SPERR,LOEVM,STCD1,VBUND,STRAS,ERNAM,FAKSD,LIFSD
100,C00001,AutoTech Motors,Detroit,US,MI,48201,D001,2020-02-27,E,,,,,500 Motor Drive,FINANCE01,,
100,C00002,BuildRight Construction,Chicago,US,IL,60601,D001,2020-08-22,E,,,,,200 Construction Blvd,SALEUSER2,,
100,C00003,MediDevice Corp,Boston,US,MA,02101,D001,2020-02-02,E,,,,,75 Medical Center Dr,FINANCE01,,
100,C00004,ElectraCo Systems,San Jose,US,CA,95101,D001,2020-11-19,E,,,,,3000 Silicon Ave,SALEUSER1,,01
100,C00005,FoodPro Packaging,Atlanta,US,GA,30301,D002,2021-02-14,E,,,,,800 Packaging Way,FINANCE01,,
100,C00006,AeroFrame Industries,Seattle,US,WA,98101,D001,2020-10-01,E,,,,,1200 Aerospace Pkwy,SALEUSER1,,
100,C00007,SmartFactory GmbH,Munich,DE,,80331,D003,2020-03-08,E,,,,,45 Industriestrasse,SALEUSER2,,
100,C00008,Nordic Assemblies,Stockholm,SE,,11120,D003,2020-08-04,E,,,,,12 Fabriken Gatan,SALEUSER2,,01
100,C00009,CanadaParts Inc,Toronto,CA,ON,M5H,D002,2021-08-03,E,,,,,300 Bay Street,SALEUSER2,,
100,C00010,SteelBridge Corp,Pittsburgh,US,PA,15201,D001,2020-11-18,E,,,,,900 Steel Mill Rd,FINANCE01,,
100,C00011,FlexMold Ltd,Cincinnati,US,OH,45201,D001,2020-08-05,E,,,,,150 Mold Factory Ln,FINANCE01,,
100,C00012,PharmaLine Inc,New Jersey,US,NJ,07001,D001,2021-11-02,E,,,,,500 Pharma Blvd,SALEUSER1,,
100,C00013,GreenEnergy Co,Denver,US,CO,80201,D001,2021-05-26,E,,,,,200 Green Energy Ave,SALEUSER2,,
100,C00014,RoboLine Systems,Austin,US,TX,73301,D001,2021-02-09,E,,,,,700 Robot Way,FINANCE01,,
100,C00015,PackStar USA,Phoenix,US,AZ,85001,D002,2021-10-20,E,,,,,400 Pack Star Dr,SALEUSER1,,
