MANDT,KUNNR,BUKRS,AKONT,ZTERM,ZWELS,REPRF,LNRZE,ERDAT
100,C00001,1000,0000130000,N030,T,,,2020-02-27
100,C00002,1000,0000130000,N030,T,,,2020-08-22
100,C00003,1000,0000130000,N030,T,,,2020-02-02
100,C00004,1000,0000130000,N030,T,,,2020-11-19
100,C00005,1000,0000130000,N030,T,,,2021-02-14
100,C00006,1000,0000130000,N030,T,,,2020-10-01
100,C00007,1000,0000130000,N030,T,,,2020-03-08
100,C00008,1000,0000130000,N030,T,,,2020-08-04
100,C00009,1000,0000130000,N030,T,,,2021-08-03
100,C00010,1000,0000130000,N030,T,,,2020-11-18
100,C00011,1000,0000130000,N030,T,,,2020-08-05
100,C00012,1000,0000130000,N030,T,,,2021-11-02
100,C00013,1000,0000130000,N030,T,,,2021-05-26
100,C00014,1000,0000130000,N030,T,,,2021-02-09
100,C00015,1000,0000130000,N030,T,,,2021-10-20
