MANDT,LIFNR,NAME1,ORT01,LAND1,REGIO,PSTLZ,KTOKK,ERDAT,STCD1,SPRAS,SPERR,LOEVM
100,V0001,Apex Steel Corp,Chicago,US,IL,60601,VN01,2021-09-15,,E,,
100,V0002,PlastiCo Industries,Detroit,US,MI,48201,VN01,2021-10-12,,E,,
100,V0003,ElectroParts Ltd,Houston,US,TX,77001,VN01,2020-06-24,,E,,
100,V0004,ChemSource Inc,Philadelphia,US,PA,19101,VN02,2021-06-30,,E,,
100,V0005,PackRight Solutions,Atlanta,US,GA,30301,VN02,2020-09-07,,E,,
100,V0006,MetalWorks GmbH,Frankfurt,DE,,60311,VN03,2020-06-16,,E,,
100,V0007,PrecisionCast AG,Zurich,CH,,8001,VN03,2021-04-18,,E,,
100,V0008,EastPlas Co,Shanghai,CN,,200001,VN04,2021-01-23,,E,,
100,V0009,GlobalChem SA,Paris,FR,,75001,VN03,2020-10-03,,E,,
100,V0010,Swift Logistics,Memphis,US,TN,38101,VN01,2021-10-17,,E,,
100,V0011,AlloyPro Corp,Pittsburgh,US,PA,15201,VN01,2021-12-05,,E,,
100,V0012,NanoChem Ltd,Boston,US,MA,02101,VN02,2021-07-24,,E,,
100,V0013,RoboComp Inc,San Jose,US,CA,95101,VN01,2020-08-12,,E,,
100,V0014,UniPack Corp,Dallas,US,TX,75201,VN02,2021-12-02,,E,,
100,V0015,IronForge LLC,Cleveland,US,OH,44101,VN01,2020-11-28,,E,,
