MANDT,LIFNR,BUKRS,AKONT,ZTERM,ZWELS,DUEFL,REPRF,LNRZA,ABRPE
100,V0001,1000,0000160000,N030,C,,,,
100,V0002,1000,0000160000,N030,C,,,,
100,V0003,1000,0000160000,N030,C,,,,
100,V0004,1000,0000160000,N030,C,,,,
100,V0005,1000,0000160000,N030,C,,,,
100,V0006,1000,0000160000,N030,C,,,,
100,V0007,1000,0000160000,N030,C,,,,
100,V0008,1000,0000160000,N030,C,,,,
100,V0009,1000,0000160000,N030,C,,,,
100,V0010,1000,0000160000,N030,C,,,,
100,V0011,1000,0000160000,N030,C,,,,
100,V0012,1000,0000160000,N030,C,,,,
100,V0013,1000,0000160000,N030,C,,,,
100,V0014,1000,0000160000,N030,C,,,,
100,V0015,1000,0000160000,N030,C,,,,
