MANDT,VBELN,ERDAT,ERZET,ERNAM,LFART,KUNNR,KUNAG,WADAT,WADAT_IST,LFDAT,KODAT,VSTEL,ROUTE,LGNUM,TRATY,TRAID,TPADR,VBTYP,KOUHR,PODAT,NTGEW,BTGEW,GEWEI,VOLUM,VOLEH,POTIM
100,8000000000,2024-04-02,09:00:00,WHOUSE01,LF,C00008,C00008,2024-05-01,2024-04-28,2024-05-01,2024-05-01,SP03,R0002,,,,,J,12:34:50,2024-04-03,4167.14,5271.0,KG,13.224,M3,19:46:23
100,8000000001,2024-03-27,09:00:00,WHOUSE01,LF,C00001,C00001,2024-04-13,2024-04-12,2024-04-13,2024-04-13,SP03,R0002,,,,,J,15:44:17,2024-03-28,930.55,1471.85,KG,3.434,M3,15:16:36
100,8000000002,2024-02-23,09:00:00,WHOUSE02,LF,C00008,C00008,2024-03-08,2024-03-10,2024-03-08,2024-03-08,SP03,R0004,,,,,J,14:28:39,2024-02-24,3815.08,2478.77,KG,39.521,M3,17:35:56
100,8000000003,2024-06-20,09:00:00,WHOUSE02,LF,C00008,C00008,2024-06-28,2024-07-22,2024-06-28,2024-06-28,SP02,R0003,,,,,J,09:37:58,2024-06-21,4033.98,4278.55,KG,9.357,M3,23:21:40
100,8000000004,2024-02-22,09:00:00,WHOUSE02,LF,C00003,C00003,2024-03-13,2024-03-10,2024-03-13,2024-03-13,SP01,R0003,,,,,J,06:30:58,2024-02-23,1216.34,4354.55,KG,20.721,M3,21:20:33
100,8000000005,2024-05-03,09:00:00,WHOUSE02,LF,C00003,C00003,2024-05-20,2024-05-20,2024-05-20,2024-05-20,SP01,R0001,,,,,J,15:29:13,2024-05-04,3080.45,1527.84,KG,28.027,M3,04:42:43
100,8000000006,2024-05-11,09:00:00,WHOUSE02,LF,C00004,C00004,2024-05-23,2024-05-21,2024-05-23,2024-05-23,SP02,R0002,,,,,J,13:28:54,2024-05-12,2196.16,797.24,KG,11.689,M3,22:37:33
100,8000000007,2024-06-14,09:00:00,WHOUSE02,LF,C00008,C00008,2024-06-27,2024-06-25,2024-06-27,2024-06-27,SP01,R0004,,,,,J,07:26:54,2024-06-15,722.37,4664.58,KG,7.455,M3,21:17:51
100,8000000008,2024-02-14,09:00:00,WHOUSE01,LF,C00004,C00004,2024-03-04,2024-03-03,2024-03-04,2024-03-04,SP03,R0002,,,,,J,08:32:09,2024-02-15,2989.04,335.91,KG,6.747,M3,19:49:57
100,8000000009,2024-08-15,09:00:00,WHOUSE02,LF,C00010,C00010,2024-08-24,2024-08-24,2024-08-24,2024-08-24,SP03,R0001,,,,,J,15:06:49,2024-08-16,214.85,1365.26,KG,35.104,M3,07:14:52
