MANDT,VBELN,POSNR,MATNR,ARKTX,LFIMG,MEINS,LGMNG,WERKS,LGORT,VGBEL,VGPOS,VGTYP,ERNAM,ERDAT,ERZET,VRKME,NTGEW,GEWEI,VOLUM,VOLEH
100,8000000000,10,MAT00028,Material MAT00028,165.0,EA,165.0,P002,SL02,1000000000,10,C,WHOUSE01,2024-04-28,08:21:35,L,241.48,KG,0.302,M3
100,8000000001,10,MAT00030,Material MAT00030,62.0,EA,62.0,P003,SL02,1000000001,10,C,WHOUSE01,2024-04-12,11:10:45,ST,213.55,KG,1.826,M3
100,8000000002,10,MAT00026,Material MAT00026,89.0,EA,89.0,P003,SL03,1000000002,10,C,WHOUSE02,2024-03-10,17:14:15,PC,336.33,KG,1.56,M3
100,8000000002,20,MAT00029,Material MAT00029,148.0,EA,148.0,P003,SL03,1000000002,20,C,WHOUSE02,2024-03-10,16:07:41,L,343.15,KG,9.552,M3
100,8000000003,10,MAT00023,Material MAT00023,31.0,EA,31.0,P001,SL01,1000000003,10,C,WHOUSE02,2024-07-22,17:16:04,PC,73.71,KG,9.097,M3
100,8000000004,10,MAT00028,Material MAT00028,180.0,EA,180.0,P002,SL01,1000000004,10,C,WHOUSE02,2024-03-10,15:53:18,KG,95.95,KG,2.149,M3
100,8000000005,10,MAT00026,Material MAT00026,75.0,EA,75.0,P003,SL01,1000000005,10,C,WHOUSE02,2024-05-20,12:22:08,M,264.72,KG,4.125,M3
100,8000000006,10,MAT00022,Material MAT00022,16.0,EA,16.0,P001,SL02,1000000006,10,C,WHOUSE02,2024-05-21,17:34:35,M,286.18,KG,1.72,M3
100,8000000006,20,MAT00023,Material MAT00023,49.0,EA,49.0,P001,SL02,1000000006,20,C,WHOUSE02,2024-05-21,16:41:21,PC,490.26,KG,1.017,M3
100,8000000007,10,MAT00032,Material MAT00032,116.0,EA,116.0,P001,SL03,1000000007,10,C,WHOUSE02,2024-06-25,10:12:04,EA,375.46,KG,4.277,M3
100,8000000007,20,MAT00024,Material MAT00024,60.0,EA,60.0,P001,SL03,1000000007,20,C,WHOUSE02,2024-06-25,14:13:00,KG,126.71,KG,3.276,M3
100,8000000008,10,MAT00031,Material MAT00031,108.0,EA,108.0,P001,SL01,1000000008,10,C,WHOUSE01,2024-03-03,11:26:24,M,96.83,KG,8.54,M3
100,8000000009,10,MAT00023,Material MAT00023,175.0,EA,175.0,P001,SL03,1000000009,10,C,WHOUSE02,2024-08-24,12:22:23,KG,134.26,KG,0.763,M3
