MANDT,MATNR,MTART,MATKL,MEINS,BRGEW,GEWEI,VOLUM,VOLEH,ERNAM,ERSDA,LAEDA,VPSTA,PSTAT,LVORM,MSTAE,MSTDE,EAN11,EXTWG,SPART,PRDHA
100,MAT00001,ROH,MG01,KG,22.997,KG,0.2656,M3,SALEUSER1,2021-07-28,2022-10-03,,KP,,,,,,0,0185874
100,MAT00002,ROH,MG01,KG,13.211,KG,0.585,M3,FINANCE02,2021-02-12,2022-07-05,,KP,,,,,,0,0255777
100,MAT00003,ROH,MG01,KG,11.044,KG,0.9975,M3,FINANCE01,2021-05-20,2022-02-16,,KP,,,,,,0,0591934
100,MAT00004,ROH,MG02,KG,37.814,KG,0.8612,M3,BUYER03,2021-10-04,2022-03-23,,KP,,,,,,0,0236831
100,MAT00005,ROH,MG02,KG,39.625,KG,0.4227,M3,BUYER02,2021-01-29,2022-07-15,,KP,,,,,,0,0423338
100,MAT00006,ROH,MG04,L,29.835,KG,0.4686,M3,SALEUSER2,2021-07-20,2022-01-06,,KP,,,,,,0,0270836
100,MAT00007,ROH,MG04,L,34.046,KG,0.1154,M3,FINANCE01,2020-09-30,2022-11-25,,KP,,,,,,0,0410449
100,MAT00008,ROH,MG01,M,17.075,KG,0.2942,M3,BUYER03,2021-04-09,2022-01-02,,KP,,,,,,0,0241144
100,MAT00009,ROH,MG03,EA,47.695,KG,0.876,M3,SALEUSER2,2021-05-27,2022-04-02,,KP,,,,,,0,0351669
100,MAT00010,ROH,MG03,EA,25.433,KG,0.1073,M3,SALEUSER2,2021-10-16,2022-09-17,,KP,,,,,,0,0522510
100,MAT00011,ROH,MG01,EA,30.488,KG,0.1537,M3,BUYER03,2021-07-06,2022-09-29,,KP,,,,,,0,0399122
100,MAT00012,ROH,MG01,EA,45.933,KG,0.5993,M3,WHOUSE02,2020-01-20,2022-02-27,,KP,,,,,,0,0256385
100,MAT00013,ROH,MG05,EA,46.462,KG,0.8788,M3,SALEUSER2,2020-09-02,2022-01-30,,KP,,,,,,0,0373248
100,MAT00014,ROH,MG05,EA,12.119,KG,0.5678,M3,BUYER02,2020-03-28,2022-09-06,,KP,,,,,,0,0325731
100,MAT00015,ROH,MG04,KG,40.82,KG,0.978,M3,FINANCE01,2020-05-08,2022-03-07,,KP,,,,,,0,0164425
100,MAT00016,HALB,MG01,EA,33.022,KG,0.9469,M3,BUYER03,2020-09-28,2022-09-28,,KP,,,,,,0,0134813
100,MAT00017,HALB,MG01,EA,43.634,KG,0.4237,M3,SALEUSER1,2021-07-06,2022-12-20,,KP,,,,,,0,0345128
100,MAT00018,HALB,MG02,EA,10.137,KG,0.3124,M3,SALEUSER3,2021-03-24,2022-09-22,,KP,,,,,,0,0563511
100,MAT00019,HALB,MG03,EA,22.629,KG,0.2487,M3,BUYER02,2020-12-12,2022-01-11,,KP,,,,,,0,0170873
100,MAT00020,HALB,MG03,EA,29.457,KG,0.2309,M3,SALEUSER1,2020-01-08,2022-02-06,,KP,,,,,,0,0418890
100,MAT00021,HALB,MG01,EA,35.421,KG,0.0598,M3,BUYER02,2020-02-02,2022-06-19,,KP,,,,,,0,0526816
100,MAT00022,HALB,MG02,EA,3.636,KG,0.2388,M3,WHOUSE02,2020-08-07,2022-10-04,,KP,,,,,,0,0386651
100,MAT00023,HALB,MG04,KG,6.702,KG,0.9356,M3,FINANCE02,2021-08-13,2022-08-31,,KP,,,,,,0,0579745
100,MAT00024,FERT,MG06,EA,12.226,KG,0.4735,M3,WHOUSE01,2020-07-13,2022-02-18,,KP,,,,,,0,0179654
100,MAT00025,FERT,MG06,EA,4.937,KG,0.4316,M3,WHOUSE01,2021-02-24,2022-08-28,,KP,,,,,,0,0161572
100,MAT00026,FERT,MG06,EA,43.205,KG,0.0551,M3,BUYER02,2020-03-03,2022-07-26,,KP,,,,,,0,0528199
100,MAT00027,FERT,MG06,EA,36.438,KG,0.8008,M3,BUYER02,2020-09-11,2022-04-09,,KP,,,,,,0,0320553
100,MAT00028,FERT,MG06,EA,9.591,KG,0.4492,M3,WHOUSE01,2020-07-06,2022-05-23,,KP,,,,,,0,0362629
100,MAT00029,FERT,MG06,EA,23.185,KG,0.8746,M3,BUYER02,2021-03-29,2022-10-09,,KP,,,,,,0,0138959
100,MAT00030,FERT,MG06,EA,4.986,KG,0.6525,M3,FINANCE01,2020-01-16,2022-02-17,,KP,,,,,,0,0389289
100,MAT00031,FERT,MG06,EA,46.326,KG,0.8488,M3,BUYER03,2021-02-20,2022-09-06,,KP,,,,,,0,0490485
100,MAT00032,FERT,MG06,EA,24.12,KG,0.8648,M3,BUYER01,2020-06-17,2022-07-14,,KP,,,,,,0,0379532
100,MAT00033,FERT,MG06,EA,0.208,KG,0.391,M3,WHOUSE02,2020-10-19,2022-08-05,,KP,,,,,,0,0594651
100,MAT00034,VERP,MG05,EA,34.86,KG,0.7308,M3,FINANCE01,2021-11-08,2022-09-07,,KP,,,,,,0,0541815
100,MAT00035,VERP,MG05,EA,7.824,KG,0.2974,M3,BUYER01,2021-08-16,2022-10-05,,KP,,,,,,0,0560813
100,MAT00036,VERP,MG05,EA,3.142,KG,0.3143,M3,BUYER01,2021-08-21,2022-09-02,,KP,,,,,,0,0580550
