MANDT,MATNR,WERKS,PSTAT,LVORM,BWTTY,MAABC,DISMM,DISPO,MINBE,EISBE,BSTMI,BSTMA,WEBAZ,PLIFZ,LGPRO,IPRKZ,KZECH,MTVFP,MMSTD,AUSDT,NFMAT,BESKZ,DISGR,DZEIT,LGRAD,STRGR
100,MAT00001,P001,,,,C,PD,BUYER01,40.0,20.0,12,200.0,36,36,SL01,,,2,2024-12-26,2024-12-31,,F,,23.3,99,S10
100,MAT00001,P002,,,,C,VB,BUYER01,123.0,61.5,37,615.0,7,7,SL01,,,2,2024-12-25,2024-12-31,,X,3,18.8,98,
100,MAT00001,P003,,,,C,PD,BUYER03,57.0,28.5,17,285.0,39,39,SL01,,,2,2024-12-30,2024-12-31,,E,3,22.4,97,
100,MAT00002,P001,,,,C,PD,BUYER02,121.0,60.5,36,605.0,45,45,SL01,,,2,2024-12-29,2024-12-31,,X,1,29.3,98,S10
100,MAT00002,P002,,,,B,PD,BUYER03,55.0,27.5,16,275.0,23,23,SL01,,,2,2024-12-29,2024-12-31,,F,1,20.8,97,S30
100,MAT00002,P003,,,,C,VB,BUYER01,70.0,35.0,21,350.0,32,32,SL01,,,2,2024-12-27,2024-12-31,,F,,19.0,97,
100,MAT00003,P001,,,,C,PD,BUYER01,200.0,100.0,60,1000.0,42,42,SL01,,,2,2024-12-27,2024-12-31,,F,3,24.7,97,S20
100,MAT00003,P002,,,,C,PD,BUYER01,60.0,30.0,18,300.0,35,35,SL01,,,2,2024-12-29,2024-12-31,,F,3,3.5,99,S40
100,MAT00003,P003,,,,B,VB,BUYER03,64.0,32.0,19,320.0,26,26,SL01,,,2,2024-12-25,2024-12-31,,X,2,13.7,97,S40
100,MAT00004,P001,,,,C,VB,BUYER03,197.0,98.5,59,985.0,42,42,SL01,,,2,2024-12-25,2024-12-31,,F,1,23.4,97,
100,MAT00004,P002,,,,C,PD,BUYER01,67.0,33.5,20,335.0,38,38,SL01,,,2,2024-12-27,2024-12-31,,F,1,23.2,97,S20
