MANDT,MATNR,WERKS,LGORT,LABST,UMLME,INSME,EINME,SPEME,RETME,LBKUM
100,MAT00001,P001,SL01,396.0,0,0,0,0,0,396.0
100,MAT00001,P001,SL02,412.0,0,0,0,0,0,412.0
100,MAT00001,P001,SL03,220.0,0,0,0,0,0,220.0
100,MAT00001,P002,SL01,152.0,0,0,0,0,0,152.0
100,MAT00001,P002,SL02,136.0,0,0,0,0,0,136.0
100,MAT00001,P002,SL03,219.0,0,0,0,0,0,219.0
100,MAT00001,P003,SL01,445.0,0,0,0,0,0,445.0
100,MAT00001,P003,SL02,0,0,0,0,0,0,0
100,MAT00001,P003,SL03,114.0,0,0,0,0,0,114.0
100,MAT00002,P001,SL01,430.0,0,0,0,0,0,430.0
100,MAT00002,P001,SL02,10.0,0,0,0,0,0,10.0
100,MAT00002,P001,SL03,411.0,0,0,0,0,0,411.0
100,MAT00002,P002,SL01,382.0,0,0,0,0,0,382.0
100,MAT00002,P002,SL02,259.0,0,0,0,0,0,259.0
100,MAT00002,P002,SL03,139.0,0,0,0,0,0,139.0
100,MAT00002,P003,SL01,218.0,0,0,0,0,0,218.0
100,MAT00002,P003,SL02,485.0,0,0,0,0,0,485.0
100,MAT00002,P003,SL03,204.0,0,0,0,0,0,204.0
100,MAT00003,P001,SL01,52.0,0,0,0,0,0,52.0
100,MAT00003,P001,SL02,206.0,0,0,0,0,0,206.0
100,MAT00003,P001,SL03,331.0,0,0,0,0,0,331.0
100,MAT00003,P002,SL01,0,0,0,0,0,0,0
100,MAT00003,P002,SL02,44.0,0,0,0,0,0,44.0
100,MAT00003,P002,SL03,58.0,0,0,0,0,0,58.0
100,MAT00003,P003,SL01,432.0,0,0,0,0,0,432.0
100,MAT00003,P003,SL02,1.0,0,0,0,0,0,1.0
100,MAT00003,P003,SL03,0,0,0,0,0,0,0
100,MAT00004,P001,SL01,259.0,0,0,0,0,0,259.0
100,MAT00004,P001,SL02,249.0,0,0,0,0,0,249.0
100,MAT00004,P001,SL03,26.0,0,0,0,0,0,26.0
100,MAT00004,P002,SL01,66.0,0,0,0,0,0,66.0
100,MAT00004,P002,SL02,440.0,0,0,0,0,0,440.0
100,MAT00004,P002,SL03,14.0,0,0,0,0,0,14.0
100,MAT00004,P003,SL01,400.0,0,0,0,0,0,400.0
100,MAT00004,P003,SL02,0,0,0,0,0,0,0
100,MAT00004,P003,SL03,204.0,0,0,0,0,0,204.0
100,MAT00005,P001,SL01,0,0,0,0,0,0,0
100,MAT00005,P001,SL02,474.0,0,0,0,0,0,474.0
100,MAT00005,P001,SL03,77.0,0,0,0,0,0,77.0
100,MAT00005,P002,SL01,146.0,0,0,0,0,0,146.0
100,MAT00005,P002,SL02,208.0,0,0,0,0,0,208.0
100,MAT00005,P002,SL03,236.0,0,0,0,0,0,236.0
100,MAT00005,P003,SL01,72.0,0,0,0,0,0,72.0
100,MAT00005,P003,SL02,300.0,0,0,0,0,0,300.0
100,MAT00005,P003,SL03,0,0,0,0,0,0,0
100,MAT00006,P001,SL01,386.0,0,0,0,0,0,386.0
100,MAT00006,P001,SL02,170.0,0,0,0,0,0,170.0
100,MAT00006,P001,SL03,0,0,0,0,0,0,0
100,MAT00006,P002,SL01,363.0,0,0,0,0,0,363.0
100,MAT00006,P002,SL02,290.0,0,0,0,0,0,290.0
100,MAT00006,P002,SL03,433.0,0,0,0,0,0,433.0
100,MAT00006,P003,SL01,242.0,0,0,0,0,0,242.0
100,MAT00006,P003,SL02,381.0,0,0,0,0,0,381.0
100,MAT00006,P003,SL03,466.0,0,0,0,0,0,466.0
100,MAT00007,P001,SL01,490.0,0,0,0,0,0,490.0
100,MAT00007,P001,SL02,191.0,0,0,0,0,0,191.0
100,MAT00007,P001,SL03,205.0,0,0,0,0,0,205.0
100,MAT00007,P002,SL01,236.0,0,0,0,0,0,236.0
100,MAT00007,P002,SL02,191.0,0,0,0,0,0,191.0
100,MAT00007,P002,SL03,396.0,0,0,0,0,0,396.0
100,MAT00007,P003,SL01,76.0,0,0,0,0,0,76.0
100,MAT00007,P003,SL02,63.0,0,0,0,0,0,63.0
100,MAT00007,P003,SL03,0,0,0,0,0,0,0
100,MAT00008,P001,SL01,0,0,0,0,0,0,0
100,MAT00008,P001,SL02,0,0,0,0,0,0,0
100,MAT00008,P001,SL03,72.0,0,0,0,0,0,72.0
100,MAT00008,P002,SL01,0,0,0,0,0,0,0
100,MAT00008,P002,SL02,391.0,0,0,0,0,0,391.0
100,MAT00008,P002,SL03,312.0,0,0,0,0,0,312.0
100,MAT00008,P003,SL01,40.0,0,0,0,0,0,40.0
100,MAT00008,P003,SL02,337.0,0,0,0,0,0,337.0
100,MAT00008,P003,SL03,477.0,0,0,0,0,0,477.0
100,MAT00009,P001,SL01,444.0,0,0,0,0,0,444.0
100,MAT00009,P001,SL02,271.0,0,0,0,0,0,271.0
100,MAT00009,P001,SL03,117.0,0,0,0,0,0,117.0
100,MAT00009,P002,SL01,144.0,0,0,0,0,0,144.0
100,MAT00009,P002,SL02,45.0,0,0,0,0,0,45.0
100,MAT00009,P002,SL03,380.0,0,0,0,0,0,380.0
