MANDT,MATNR,WERKS,LGORT,LFGJA,LFMON,LABST,UMLME,INSME,SPEME,LBKUM
100,MAT00001,P001,SL03,2023,01,241.0,0,0,0,241.0
100,MAT00001,P001,SL03,2023,02,418.0,0,0,0,418.0
100,MAT00001,P001,SL03,2023,03,531.0,0,0,0,531.0
100,MAT00001,P001,SL03,2023,04,586.0,0,0,0,586.0
100,MAT00001,P001,SL03,2023,05,775.0,0,0,0,775.0
100,MAT00001,P001,SL03,2023,06,929.0,0,0,0,929.0
100,MAT00001,P001,SL03,2023,07,988.0,0,0,0,988.0
100,MAT00001,P001,SL03,2023,08,1152.0,0,0,0,1152.0
100,MAT00001,P001,SL03,2023,09,1238.0,0,0,0,1238.0
100,MAT00001,P001,SL03,2023,10,1341.0,0,0,0,1341.0
100,MAT00001,P001,SL03,2023,11,1570.0,0,0,0,1570.0
100,MAT00001,P001,SL03,2023,12,1726.0,0,0,0,1726.0
100,MAT00001,P001,SL03,2024,01,1705.0,0,0,0,1705.0
100,MAT00001,P001,SL03,2024,02,1893.0,0,0,0,1893.0
100,MAT00001,P001,SL03,2024,03,2000.0,0,0,0,2000.0
100,MAT00001,P001,SL03,2024,04,2220.0,0,0,0,2220.0
100,MAT00001,P001,SL03,2024,05,2382.0,0,0,0,2382.0
100,MAT00001,P001,SL03,2024,06,2532.0,0,0,0,2532.0
100,MAT00001,P001,SL03,2024,07,2721.0,0,0,0,2721.0
100,MAT00001,P001,SL03,2024,08,2859.0,0,0,0,2859.0
100,MAT00001,P001,SL03,2024,09,3114.0,0,0,0,3114.0
100,MAT00001,P001,SL03,2024,10,3281.0,0,0,0,3281.0
100,MAT00001,P001,SL03,2024,11,3344.0,0,0,0,3344.0
100,MAT00001,P001,SL03,2024,12,3359.0,0,0,0,3359.0
100,MAT00001,P002,SL01,2023,01,467.0,0,0,0,467.0
100,MAT00001,P002,SL01,2023,02,508.0,0,0,0,508.0
100,MAT00001,P002,SL01,2023,03,532.0,0,0,0,532.0
100,MAT00001,P002,SL01,2023,04,606.0,0,0,0,606.0
100,MAT00001,P002,SL01,2023,05,612.0,0,0,0,612.0
100,MAT00001,P002,SL01,2023,06,608.0,0,0,0,608.0
100,MAT00001,P002,SL01,2023,07,607.0,0,0,0,607.0
100,MAT00001,P002,SL01,2023,08,532.0,0,0,0,532.0
100,MAT00001,P002,SL01,2023,09,494.0,0,0,0,494.0
100,MAT00001,P002,SL01,2023,10,538.0,0,0,0,538.0
100,MAT00001,P002,SL01,2023,11,537.0,0,0,0,537.0
100,MAT00001,P002,SL01,2023,12,542.0,0,0,0,542.0
100,MAT00001,P002,SL01,2024,01,481.0,0,0,0,481.0
100,MAT00001,P002,SL01,2024,02,432.0,0,0,0,432.0
100,MAT00001,P002,SL01,2024,03,527.0,0,0,0,527.0
100,MAT00001,P002,SL01,2024,04,607.0,0,0,0,607.0
100,MAT00001,P002,SL01,2024,05,599.0,0,0,0,599.0
100,MAT00001,P002,SL01,2024,06,702.0,0,0,0,702.0
100,MAT00001,P002,SL01,2024,07,736.0,0,0,0,736.0
100,MAT00001,P002,SL01,2024,08,806.0,0,0,0,806.0
100,MAT00001,P002,SL01,2024,09,757.0,0,0,0,757.0
100,MAT00001,P002,SL01,2024,10,868.0,0,0,0,868.0
100,MAT00001,P002,SL01,2024,11,879.0,0,0,0,879.0
100,MAT00001,P002,SL01,2024,12,827.0,0,0,0,827.0
100,MAT00001,P003,SL01,2023,01,238.0,0,0,0,238.0
100,MAT00001,P003,SL01,2023,02,263.0,0,0,0,263.0
100,MAT00001,P003,SL01,2023,03,190.0,0,0,0,190.0
100,MAT00001,P003,SL01,2023,04,219.0,0,0,0,219.0
100,MAT00001,P003,SL01,2023,05,173.0,0,0,0,173.0
100,MAT00001,P003,SL01,2023,06,283.0,0,0,0,283.0
100,MAT00001,P003,SL01,2023,07,314.0,0,0,0,314.0
100,MAT00001,P003,SL01,2023,08,340.0,0,0,0,340.0
100,MAT00001,P003,SL01,2023,09,303.0,0,0,0,303.0
100,MAT00001,P003,SL01,2023,10,239.0,0,0,0,239.0
100,MAT00001,P003,SL01,2023,11,191.0,0,0,0,191.0
100,MAT00001,P003,SL01,2023,12,181.0,0,0,0,181.0
100,MAT00001,P003,SL01,2024,01,136.0,0,0,0,136.0
100,MAT00001,P003,SL01,2024,02,233.0,0,0,0,233.0
100,MAT00001,P003,SL01,2024,03,213.0,0,0,0,213.0
100,MAT00001,P003,SL01,2024,04,218.0,0,0,0,218.0
