MANDT,MATNR,MEINH,UMREZ,UMREN,BRGEW,GEWEI,VOLUM,VOLEH,MESAB,MEINS
100,MAT00001,KG,1,1,0,KG,0,M3,,KG
100,MAT00002,KG,1,1,0,KG,0,M3,,KG
100,MAT00003,KG,1,1,0,KG,0,M3,,KG
100,MAT00004,KG,1,1,0,KG,0,M3,,KG
100,MAT00005,KG,1,1,0,KG,0,M3,,KG
100,MAT00006,L,1,1,0,KG,0,M3,,L
100,MAT00007,L,1,1,0,KG,0,M3,,L
100,MAT00008,M,1,1,0,KG,0,M3,,M
100,MAT00009,EA,1,1,0,KG,0,M3,,EA
100,MAT00010,EA,1,1,0,KG,0,M3,,EA
100,MAT00011,EA,1,1,0,KG,0,M3,,EA
100,MAT00012,EA,1,1,0,KG,0,M3,,EA
100,MAT00013,EA,1,1,0,KG,0,M3,,EA
100,MAT00014,EA,1,1,0,KG,0,M3,,EA
100,MAT00015,KG,1,1,0,KG,0,M3,,KG
100,MAT00016,EA,1,1,0,KG,0,M3,,EA
100,MAT00017,EA,1,1,0,KG,0,M3,,EA
100,MAT00018,EA,1,1,0,KG,0,M3,,EA
100,MAT00019,EA,1,1,0,KG,0,M3,,EA
100,MAT00020,EA,1,1,0,KG,0,M3,,EA
100,MAT00021,EA,1,1,0,KG,0,M3,,EA
100,MAT00022,EA,1,1,0,KG,0,M3,,EA
100,MAT00023,KG,1,1,0,KG,0,M3,,KG
100,MAT00024,EA,1,1,0,KG,0,M3,,EA
100,MAT00025,EA,1,1,0,KG,0,M3,,EA
100,MAT00026,EA,1,1,0,KG,0,M3,,EA
100,MAT00027,EA,1,1,0,KG,0,M3,,EA
100,MAT00028,EA,1,1,0,KG,0,M3,,EA
100,MAT00029,EA,1,1,0,KG,0,M3,,EA
100,MAT00030,EA,1,1,0,KG,0,M3,,EA
100,MAT00031,EA,1,1,0,KG,0,M3,,EA
100,MAT00032,EA,1,1,0,KG,0,M3,,EA
100,MAT00033,EA,1,1,0,KG,0,M3,,EA
100,MAT00034,EA,1,1,0,KG,0,M3,,EA
100,MAT00035,EA,1,1,0,KG,0,M3,,EA
100,MAT00036,EA,1,1,0,KG,0,M3,,EA
