MANDT,MATNR,BWKEY,BWTAR,VPRSV,VERPR,STPRS,PEINH,BKLAS,SALK3,LBKUM,LFGJA,LFMON,VKSAL
100,MAT00001,P001,,S,85.22,85.22,1,3000,20452.8,240.0,2024,12,26588.64
100,MAT00001,P002,,S,304.31,304.31,1,3000,267488.49,879.0,2024,12,347735.04
100,MAT00001,P003,,S,30.83,30.83,1,3000,15630.81,507.0,2024,12,20320.05
100,MAT00002,P001,,S,188.75,188.75,1,3000,177047.5,938.0,2024,12,230161.75
100,MAT00002,P002,,S,357.14,357.14,1,3000,192855.6,540.0,2024,12,250712.28
100,MAT00002,P003,,S,66.72,66.72,1,3000,8673.6,130.0,2024,12,11275.68
100,MAT00003,P001,,S,84.35,84.35,1,3000,40234.95,477.0,2024,12,52305.43
100,MAT00003,P002,,S,259.11,259.11,1,3000,217393.29,839.0,2024,12,282611.28
100,MAT00003,P003,,S,50.4,50.4,1,3000,46116.0,915.0,2024,12,59950.8
100,MAT00004,P001,,S,409.27,409.27,1,3000,364250.3,890.0,2024,12,473525.39
100,MAT00004,P002,,S,465.58,465.58,1,3000,206717.52,444.0,2024,12,268732.78
100,MAT00004,P003,,S,201.24,201.24,1,3000,81502.2,405.0,2024,12,105952.86
100,MAT00005,P001,,S,196.15,196.15,1,3000,25107.2,128.0,2024,12,32639.36
100,MAT00005,P002,,S,116.15,116.15,1,3000,41000.95,353.0,2024,12,53301.24
100,MAT00005,P003,,S,54.05,54.05,1,3000,39402.45,729.0,2024,12,51223.18
100,MAT00006,P001,,S,170.97,170.97,1,3000,32313.33,189.0,2024,12,42007.33
100,MAT00006,P002,,S,23.96,23.96,1,3000,22091.12,922.0,2024,12,28718.46
100,MAT00006,P003,,S,238.87,238.87,1,3000,200650.8,840.0,2024,12,260846.04
100,MAT00007,P001,,S,380.63,380.63,1,3000,188792.48,496.0,2024,12,245430.22
100,MAT00007,P002,,S,309.6,309.6,1,3000,282045.6,911.0,2024,12,366659.28
100,MAT00007,P003,,S,14.41,14.41,1,3000,3674.55,255.0,2024,12,4776.91
100,MAT00008,P001,,S,79.01,79.01,1,3000,74506.43,943.0,2024,12,96858.36
100,MAT00008,P002,,S,306.4,306.4,1,3000,138492.8,452.0,2024,12,180040.64
100,MAT00008,P003,,S,389.21,389.21,1,3000,107421.96,276.0,2024,12,139648.55
100,MAT00009,P001,,S,65.31,65.31,1,3000,18090.87,277.0,2024,12,23518.13
100,MAT00009,P002,,S,321.28,321.28,1,3000,206261.76,642.0,2024,12,268140.29
100,MAT00009,P003,,S,36.09,36.09,1,3000,30496.05,845.0,2024,12,39644.87
100,MAT00010,P001,,S,252.42,252.42,1,3000,141102.78,559.0,2024,12,183433.61
100,MAT00010,P002,,S,317.82,317.82,1,3000,189420.72,596.0,2024,12,246246.94
100,MAT00010,P003,,S,360.68,360.68,1,3000,117942.36,327.0,2024,12,153325.07
100,MAT00011,P001,,S,5.77,5.77,1,3000,2221.45,385.0,2024,12,2887.88
100,MAT00011,P002,,S,287.48,287.48,1,3000,65545.44,228.0,2024,12,85209.07
100,MAT00011,P003,,S,335.77,335.77,1,3000,183666.19,547.0,2024,12,238766.05
100,MAT00012,P001,,S,183.5,183.5,1,3000,175426.0,956.0,2024,12,228053.8
100,MAT00012,P002,,S,274.32,274.32,1,3000,218633.04,797.0,2024,12,284222.95
100,MAT00012,P003,,S,256.27,256.27,1,3000,17682.63,69.0,2024,12,22987.42
100,MAT00013,P001,,S,437.3,437.3,1,3000,39794.3,91.0,2024,12,51732.59
100,MAT00013,P002,,S,196.51,196.51,1,3000,79586.55,405.0,2024,12,103462.52
100,MAT00013,P003,,S,374.92,374.92,1,3000,145843.88,389.0,2024,12,189597.04
100,MAT00014,P001,,S,38.44,38.44,1,3000,10724.76,279.0,2024,12,13942.19
100,MAT00014,P002,,S,330.27,330.27,1,3000,48879.96,148.0,2024,12,63543.95
100,MAT00014,P003,,S,293.04,293.04,1,3000,225347.76,769.0,2024,12,292952.09
100,MAT00015,P001,,S,71.04,71.04,1,3000,27350.4,385.0,2024,12,35555.52
100,MAT00015,P002,,S,172.58,172.58,1,3000,114075.38,661.0,2024,12,148297.99
100,MAT00015,P003,,S,416.04,416.04,1,3000,291228.0,700.0,2024,12,378596.4
100,MAT00016,P001,,S,490.51,490.51,1,3000,247707.55,505.0,2024,12,322019.82
100,MAT00016,P002,,S,95.23,95.23,1,3000,16950.94,178.0,2024,12,22036.22
100,MAT00016,P003,,S,359.44,359.44,1,3000,340030.24,946.0,2024,12,442039.31
100,MAT00017,P001,,S,23.31,23.31,1,3000,5641.02,242.0,2024,12,7333.33
100,MAT00017,P002,,S,396.6,396.6,1,3000,353767.2,892.0,2024,12,459897.36
100,MAT00017,P003,,S,161.22,161.22,1,3000,55620.9,345.0,2024,12,72307.17
100,MAT00018,P001,,S,202.12,202.12,1,3000,166749.0,825.0,2024,12,216773.7
100,MAT00018,P002,,S,239.33,239.33,1,3000,20343.05,85.0,2024,12,26445.97
100,MAT00018,P003,,S,325.22,325.22,1,3000,104720.84,322.0,2024,12,136137.09
100,MAT00019,P001,,S,431.76,431.76,1,3000,41017.2,95.0,2024,12,53322.36
100,MAT00019,P002,,S,329.59,329.59,1,3000,102172.9,310.0,2024,12,132824.77
100,MAT00019,P003,,S,400.67,400.67,1,3000,186311.55,465.0,2024,12,242205.02
100,MAT00020,P001,,S,203.01,203.01,1,3000,95008.68,468.0,2024,12,123511.28
100,MAT00020,P002,,S,478.46,478.46,1,3000,177987.12,372.0,2024,12,231383.26
100,MAT00020,P003,,S,97.47,97.47,1,3000,68911.29,707.0,2024,12,89584.68
100,MAT00021,P001,,S,186.84,186.84,1,3000,150779.88,807.0,2024,12,196013.84
100,MAT00021,P002,,S,137.03,137.03,1,3000,17539.84,128.0,2024,12,22801.79
