MANDT,MATNR,BWKEY,BWTAR,LFGJA,LFMON,LBKUM,SALK3,STPRS,VPRSV,PEINH,VKSAL
100,MAT00001,P001,,2023,01,740.0,191645.2,258.98,S,1,249138.76
100,MAT00001,P001,,2023,02,701.0,181544.98,258.98,S,1,236008.47
100,MAT00001,P001,,2023,03,737.0,190868.26,258.98,S,1,248128.74
100,MAT00001,P001,,2023,04,749.0,193976.02,258.98,S,1,252168.83
100,MAT00001,P001,,2023,05,745.0,192940.1,258.98,S,1,250822.13
100,MAT00001,P001,,2023,06,748.0,193717.04,258.98,S,1,251832.15
100,MAT00001,P001,,2023,07,764.0,197860.72,258.98,S,1,257218.94
100,MAT00001,P001,,2023,08,756.0,195788.88,258.98,S,1,254525.54
100,MAT00001,P001,,2023,09,687.0,177919.26,258.98,S,1,231295.04
100,MAT00001,P001,,2023,10,711.0,184134.78,258.98,S,1,239375.21
100,MAT00001,P001,,2023,11,682.0,176624.36,258.98,S,1,229611.67
100,MAT00001,P001,,2023,12,780.0,202004.4,258.98,S,1,262605.72
100,MAT00001,P001,,2024,01,919.0,238002.62,258.98,S,1,309403.41
100,MAT00001,P001,,2024,02,1005.0,260274.9,258.98,S,1,338357.37
100,MAT00001,P001,,2024,03,987.0,255613.26,258.98,S,1,332297.24
100,MAT00001,P001,,2024,04,1006.0,260533.88,258.98,S,1,338694.04
100,MAT00001,P001,,2024,05,1091.0,282547.18,258.98,S,1,367311.33
100,MAT00001,P001,,2024,06,1048.0,271411.04,258.98,S,1,352834.35
100,MAT00001,P001,,2024,07,1148.0,297309.04,258.98,S,1,386501.75
100,MAT00001,P001,,2024,08,1059.0,274259.82,258.98,S,1,356537.77
100,MAT00001,P001,,2024,09,1201.0,311034.98,258.98,S,1,404345.47
100,MAT00001,P001,,2024,10,1240.0,321135.2,258.98,S,1,417475.76
100,MAT00001,P001,,2024,11,1333.0,345220.34,258.98,S,1,448786.44
100,MAT00001,P001,,2024,12,1383.0,358169.34,258.98,S,1,465620.14
100,MAT00001,P002,,2023,01,10.0,360.4,36.04,S,1,468.52
100,MAT00001,P002,,2023,02,104.0,3748.16,36.04,S,1,4872.61
100,MAT00001,P002,,2023,03,203.0,7316.12,36.04,S,1,9510.96
100,MAT00001,P002,,2023,04,170.0,6126.8,36.04,S,1,7964.84
100,MAT00001,P002,,2023,05,144.0,5189.76,36.04,S,1,6746.69
100,MAT00001,P002,,2023,06,272.0,9802.88,36.04,S,1,12743.74
100,MAT00001,P002,,2023,07,230.0,8289.2,36.04,S,1,10775.96
100,MAT00001,P002,,2023,08,355.0,12794.2,36.04,S,1,16632.46
100,MAT00001,P002,,2023,09,461.0,16614.44,36.04,S,1,21598.77
100,MAT00001,P002,,2023,10,463.0,16686.52,36.04,S,1,21692.48
100,MAT00001,P002,,2023,11,477.0,17191.08,36.04,S,1,22348.4
100,MAT00001,P002,,2023,12,478.0,17227.12,36.04,S,1,22395.26
100,MAT00001,P002,,2024,01,468.0,16866.72,36.04,S,1,21926.74
