MANDT,MBLNR,MJAHR,VGART,BLART,BLAUM,BLDAT,BUDAT,CPUDT,CPUTM,USNAM,TCODE,XBLNR,BKTXT
100,4900000000,2023,WE,WE,,2023-07-16,2023-07-16,2023-07-16,164500,WHOUSE01,MIGO,REF-4900000000,
100,4900000001,2023,UML,WA,,2023-12-03,2023-12-03,2023-12-03,085800,WHOUSE01,MIGO,REF-4900000001,
100,4900000002,2024,UML,WA,,2024-03-31,2024-03-31,2024-03-31,125900,WHOUSE01,MIGO,REF-4900000002,
100,4900000003,2024,UML,WA,,2024-08-19,2024-08-19,2024-08-19,142500,WHOUSE01,MIGO,REF-4900000003,
100,4900000004,2023,UML,WA,,2023-01-14,2023-01-14,2023-01-14,074700,WHOUSE02,MIGO,REF-4900000004,
100,4900000005,2023,WE,WE,,2023-05-01,2023-05-01,2023-05-01,173000,WHOUSE01,MIGO,REF-4900000005,
100,4900000006,2024,WE,WE,,2024-06-27,2024-06-27,2024-06-27,133600,WHOUSE01,MIGO,REF-4900000006,
100,4900000007,2023,WA,WA,,2023-05-30,2023-05-30,2023-05-30,071500,WHOUSE01,MIGO,REF-4900000007,
100,4900000008,2023,UML,WA,,2023-04-27,2023-04-27,2023-04-27,091500,WHOUSE02,MIGO,REF-4900000008,
100,4900000009,2023,WE,WE,,2023-03-30,2023-03-30,2023-03-30,173200,WHOUSE02,MIGO,REF-4900000009,
100,4900000010,2024,WE,WE,,2024-05-16,2024-05-16,2024-05-16,131800,WHOUSE02,MIGO,REF-4900000010,
100,4900000011,2023,WE,WE,,2023-07-13,2023-07-13,2023-07-13,070500,WHOUSE01,MIGO,REF-4900000011,
100,4900000012,2024,WE,WE,,2024-11-26,2024-11-26,2024-11-26,112900,WHOUSE02,MIGO,REF-4900000012,
100,4900000013,2023,WE,WE,,2023-07-18,2023-07-18,2023-07-18,115500,WHOUSE01,MIGO,REF-4900000013,
100,4900000014,2023,WA,WA,,2023-11-19,2023-11-19,2023-11-19,173000,WHOUSE02,MIGO,REF-4900000014,
100,4900000015,2023,WE,WE,,2023-09-19,2023-09-19,2023-09-19,115900,WHOUSE01,MIGO,REF-4900000015,
100,4900000016,2023,WE,WE,,2023-05-29,2023-05-29,2023-05-29,163900,WHOUSE01,MIGO,REF-4900000016,
100,4900000017,2024,WE,WE,,2024-08-23,2024-08-23,2024-08-23,172100,WHOUSE01,MIGO,REF-4900000017,
100,4900000018,2023,WE,WE,,2023-03-30,2023-03-30,2023-03-30,173900,WHOUSE01,MIGO,REF-4900000018,
100,4900000019,2023,WE,WE,,2023-06-02,2023-06-02,2023-06-02,130000,WHOUSE01,MIGO,REF-4900000019,
100,4900000020,2023,WE,WE,,2023-05-10,2023-05-10,2023-05-10,114000,WHOUSE01,MIGO,REF-4900000020,
100,4900000021,2023,WE,WE,,2023-03-13,2023-03-13,2023-03-13,081100,WHOUSE02,MIGO,REF-4900000021,
100,4900000022,2023,WE,WE,,2023-11-29,2023-11-29,2023-11-29,134700,WHOUSE01,MIGO,REF-4900000022,
100,4900000023,2023,WA,WA,,2023-08-05,2023-08-05,2023-08-05,174200,WHOUSE02,MIGO,REF-4900000023,
100,4900000024,2024,WE,WE,,2024-10-21,2024-10-21,2024-10-21,112200,WHOUSE01,MIGO,REF-4900000024,
100,4900000025,2024,WE,WE,,2024-11-17,2024-11-17,2024-11-17,141500,WHOUSE01,MIGO,REF-4900000025,
100,4900000026,2023,WE,WE,,2023-10-13,2023-10-13,2023-10-13,133300,WHOUSE02,MIGO,REF-4900000026,
100,4900000027,2023,UML,WA,,2023-04-15,2023-04-15,2023-04-15,143100,WHOUSE02,MIGO,REF-4900000027,
100,4900000028,2024,WE,WE,,2024-01-31,2024-01-31,2024-01-31,161900,WHOUSE02,MIGO,REF-4900000028,
100,4900000029,2024,WE,WE,,2024-11-27,2024-11-27,2024-11-27,124200,WHOUSE02,MIGO,REF-4900000029,
100,4900000030,2023,WA,WA,,2023-07-30,2023-07-30,2023-07-30,163100,WHOUSE01,MIGO,REF-4900000030,
100,4900000031,2023,WE,WE,,2023-12-05,2023-12-05,2023-12-05,123100,WHOUSE02,MIGO,REF-4900000031,
100,4900000032,2024,UML,WA,,2024-05-10,2024-05-10,2024-05-10,070300,WHOUSE01,MIGO,REF-4900000032,
100,4900000033,2024,UML,WA,,2024-01-10,2024-01-10,2024-01-10,150500,WHOUSE02,MIGO,REF-4900000033,
100,4900000034,2024,WE,WE,,2024-07-12,2024-07-12,2024-07-12,095900,WHOUSE02,MIGO,REF-4900000034,
100,4900000035,2023,WA,WA,,2023-04-18,2023-04-18,2023-04-18,115900,WHOUSE01,MIGO,REF-4900000035,
100,4900000036,2024,WE,WE,,2024-06-18,2024-06-18,2024-06-18,102600,WHOUSE02,MIGO,REF-4900000036,
100,4900000037,2023,UML,WA,,2023-06-27,2023-06-27,2023-06-27,145400,WHOUSE01,MIGO,REF-4900000037,
100,4900000038,2024,WE,WE,,2024-12-24,2024-12-24,2024-12-24,131300,WHOUSE02,MIGO,REF-4900000038,
100,4900000039,2023,WA,WA,,2023-11-13,2023-11-13,2023-11-13,104000,WHOUSE02,MIGO,REF-4900000039,
100,4900000040,2024,WE,WE,,2024-07-10,2024-07-10,2024-07-10,070700,WHOUSE01,MIGO,REF-4900000040,
100,4900000041,2024,WE,WE,,2024-03-06,2024-03-06,2024-03-06,175200,WHOUSE01,MIGO,REF-4900000041,
100,4900000042,2023,WA,WA,,2023-03-18,2023-03-18,2023-03-18,171800,WHOUSE02,MIGO,REF-4900000042,
100,4900000043,2023,WA,WA,,2023-11-09,2023-11-09,2023-11-09,105900,WHOUSE01,MIGO,REF-4900000043,
100,4900000044,2024,WE,WE,,2024-05-28,2024-05-28,2024-05-28,135900,WHOUSE01,MIGO,REF-4900000044,
100,4900000045,2023,WE,WE,,2023-11-14,2023-11-14,2023-11-14,093700,WHOUSE01,MIGO,REF-4900000045,
100,4900000046,2024,WE,WE,,2024-05-12,2024-05-12,2024-05-12,132300,WHOUSE02,MIGO,REF-4900000046,
100,4900000047,2023,WE,WE,,2023-01-21,2023-01-21,2023-01-21,115800,WHOUSE01,MIGO,REF-4900000047,
100,4900000048,2024,WE,WE,,2024-01-14,2024-01-14,2024-01-14,134800,WHOUSE01,MIGO,REF-4900000048,
100,4900000049,2024,WE,WE,,2024-03-23,2024-03-23,2024-03-23,080500,WHOUSE02,MIGO,REF-4900000049,
100,4900000050,2023,WE,WE,,2023-12-13,2023-12-13,2023-12-13,092100,WHOUSE01,MIGO,REF-4900000050,
100,4900000051,2023,WE,WE,,2023-12-28,2023-12-28,2023-12-28,092700,WHOUSE02,MIGO,REF-4900000051,
100,4900000052,2023,WE,WE,,2023-07-11,2023-07-11,2023-07-11,153700,WHOUSE02,MIGO,REF-4900000052,
100,4900000053,2024,WE,WE,,2024-08-28,2024-08-28,2024-08-28,130700,WHOUSE01,MIGO,REF-4900000053,
100,4900000054,2024,WE,WE,,2024-12-07,2024-12-07,2024-12-07,074100,WHOUSE01,MIGO,REF-4900000054,
100,4900000055,2024,WE,WE,,2024-04-28,2024-04-28,2024-04-28,161900,WHOUSE01,MIGO,REF-4900000055,
100,4900000056,2023,WE,WE,,2023-01-17,2023-01-17,2023-01-17,140700,WHOUSE02,MIGO,REF-4900000056,
100,4900000057,2024,WA,WA,,2024-01-27,2024-01-27,2024-01-27,080700,WHOUSE02,MIGO,REF-4900000057,
100,4900000058,2024,WE,WE,,2024-08-29,2024-08-29,2024-08-29,121900,WHOUSE01,MIGO,REF-4900000058,
100,4900000059,2024,UML,WA,,2024-03-27,2024-03-27,2024-03-27,110600,WHOUSE01,MIGO,REF-4900000059,
100,4900000060,2023,WE,WE,,2023-11-23,2023-11-23,2023-11-23,161500,WHOUSE02,MIGO,REF-4900000060,
100,4900000061,2024,WE,WE,,2024-01-25,2024-01-25,2024-01-25,141100,WHOUSE02,MIGO,REF-4900000061,
100,4900000062,2024,WE,WE,,2024-07-07,2024-07-07,2024-07-07,152800,WHOUSE01,MIGO,REF-4900000062,
100,4900000063,2024,WE,WE,,2024-09-20,2024-09-20,2024-09-20,101700,WHOUSE02,MIGO,REF-4900000063,
100,4900000064,2024,WE,WE,,2024-08-11,2024-08-11,2024-08-11,171800,WHOUSE02,MIGO,REF-4900000064,
100,4900000065,2024,WE,WE,,2024-03-14,2024-03-14,2024-03-14,094500,WHOUSE01,MIGO,REF-4900000065,
100,4900000066,2023,WA,WA,,2023-08-24,2023-08-24,2023-08-24,132100,WHOUSE01,MIGO,REF-4900000066,
100,4900000067,2024,WA,WA,,2024-08-31,2024-08-31,2024-08-31,130000,WHOUSE02,MIGO,REF-4900000067,
100,4900000068,2024,UML,WA,,2024-08-16,2024-08-16,2024-08-16,154700,WHOUSE02,MIGO,REF-4900000068,
100,4900000069,2024,WE,WE,,2024-06-05,2024-06-05,2024-06-05,105100,WHOUSE02,MIGO,REF-4900000069,
100,4900000070,2024,WE,WE,,2024-12-07,2024-12-07,2024-12-07,100900,WHOUSE01,MIGO,REF-4900000070,
100,4900000071,2023,WE,WE,,2023-06-14,2023-06-14,2023-06-14,161700,WHOUSE02,MIGO,REF-4900000071,
100,4900000072,2023,UML,WA,,2023-12-29,2023-12-29,2023-12-29,150900,WHOUSE02,MIGO,REF-4900000072,
100,4900000073,2023,WE,WE,,2023-01-24,2023-01-24,2023-01-24,130500,WHOUSE02,MIGO,REF-4900000073,
100,4900000074,2024,WE,WE,,2024-07-19,2024-07-19,2024-07-19,100000,WHOUSE01,MIGO,REF-4900000074,
100,4900000075,2024,WA,WA,,2024-11-23,2024-11-23,2024-11-23,173400,WHOUSE02,MIGO,REF-4900000075,
100,4900000076,2024,WE,WE,,2024-04-15,2024-04-15,2024-04-15,101800,WHOUSE01,MIGO,REF-4900000076,
100,4900000077,2023,WA,WA,,2023-02-02,2023-02-02,2023-02-02,175600,WHOUSE01,MIGO,REF-4900000077,
100,4900000078,2023,WE,WE,,2023-08-02,2023-08-02,2023-08-02,112400,WHOUSE02,MIGO,REF-4900000078,
100,4900000079,2023,WE,WE,,2023-05-08,2023-05-08,2023-05-08,124000,WHOUSE02,MIGO,REF-4900000079,
100,4900000080,2024,WE,WE,,2024-06-03,2024-06-03,2024-06-03,081300,WHOUSE01,MIGO,REF-4900000080,
100,4900000081,2024,UML,WA,,2024-06-25,2024-06-25,2024-06-25,075300,WHOUSE01,MIGO,REF-4900000081,
100,4900000082,2023,WE,WE,,2023-03-26,2023-03-26,2023-03-26,102500,WHOUSE02,MIGO,REF-4900000082,
100,4900000083,2023,UML,WA,,2023-12-08,2023-12-08,2023-12-08,162500,WHOUSE01,MIGO,REF-4900000083,
100,4900000084,2024,WE,WE,,2024-04-11,2024-04-11,2024-04-11,112300,WHOUSE01,MIGO,REF-4900000084,
100,4900000085,2024,WA,WA,,2024-08-20,2024-08-20,2024-08-20,095200,WHOUSE02,MIGO,REF-4900000085,
100,4900000086,2023,WE,WE,,2023-12-27,2023-12-27,2023-12-27,125100,WHOUSE01,MIGO,REF-4900000086,
100,4900000087,2023,WE,WE,,2023-02-02,2023-02-02,2023-02-02,070000,WHOUSE02,MIGO,REF-4900000087,
100,4900000088,2023,WE,WE,,2023-10-17,2023-10-17,2023-10-17,112300,WHOUSE01,MIGO,REF-4900000088,
100,4900000089,2024,WE,WE,,2024-07-09,2024-07-09,2024-07-09,090100,WHOUSE02,MIGO,REF-4900000089,
100,4900000090,2023,WE,WE,,2023-03-13,2023-03-13,2023-03-13,090600,WHOUSE02,MIGO,REF-4900000090,
100,4900000091,2024,UML,WA,,2024-12-21,2024-12-21,2024-12-21,121800,WHOUSE02,MIGO,REF-4900000091,
100,4900000092,2023,WE,WE,,2023-10-14,2023-10-14,2023-10-14,171500,WHOUSE01,MIGO,REF-4900000092,
100,4900000093,2023,UML,WA,,2023-09-25,2023-09-25,2023-09-25,095700,WHOUSE01,MIGO,REF-4900000093,
100,4900000094,2024,WE,WE,,2024-05-19,2024-05-19,2024-05-19,092500,WHOUSE01,MIGO,REF-4900000094,
100,4900000095,2023,WE,WE,,2023-09-26,2023-09-26,2023-09-26,141500,WHOUSE01,MIGO,REF-4900000095,
100,4900000096,2024,UML,WA,,2024-03-07,2024-03-07,2024-03-07,151600,WHOUSE01,MIGO,REF-4900000096,
100,4900000097,2024,WA,WA,,2024-03-03,2024-03-03,2024-03-03,095200,WHOUSE01,MIGO,REF-4900000097,
100,4900000098,2023,WE,WE,,2023-10-19,2023-10-19,2023-10-19,110200,WHOUSE01,MIGO,REF-4900000098,
100,4900000099,2024,WE,WE,,2024-04-17,2024-04-17,2024-04-17,152900,WHOUSE01,MIGO,REF-4900000099,
100,4900000100,2023,WE,WE,,2023-05-02,2023-05-02,2023-05-02,164900,WHOUSE02,MIGO,REF-4900000100,
100,4900000101,2024,WE,WE,,2024-07-30,2024-07-30,2024-07-30,082100,WHOUSE02,MIGO,REF-4900000101,
100,4900000102,2023,WE,WE,,2023-02-07,2023-02-07,2023-02-07,080100,WHOUSE02,MIGO,REF-4900000102,
100,4900000103,2024,WE,WE,,2024-07-16,2024-07-16,2024-07-16,113900,WHOUSE01,MIGO,REF-4900000103,
100,4900000104,2024,WE,WE,,2024-06-11,2024-06-11,2024-06-11,070600,WHOUSE02,MIGO,REF-4900000104,
