MANDT,BELNR,GJAHR,DOCLB,EBELN,EBELP,ZEKKN,MATNR,BWKEY,BUKRS,WRBTR,SHKZG,MWSKZ,MENGE,BSTME,EREKZ
100,5100000000,2024,000001,4500000000,00010,0,MAT00008,P003,1000,23748.65,S,I1,115.0,EA,
100,5100000001,2024,000001,4500000001,00010,0,MAT00005,P003,1000,81049.92,S,I1,294.0,EA,
100,5100000002,2024,000001,4500000002,00010,0,MAT00009,P001,1000,25900.38,S,I1,127.0,EA,
100,5100000003,2024,000001,4500000003,00010,0,MAT00015,P002,1000,64247.0,S,I1,410.0,EA,
100,5100000003,2024,000002,4500000003,00020,0,MAT00004,P002,1000,47626.96,S,I1,139.0,EA,
100,5100000004,2024,000001,4500000004,00010,0,MAT00018,P002,1000,20807.84,S,I1,47.0,EA,
100,5100000005,2024,000001,4500000005,00010,0,MAT00022,P002,1000,77614.24,S,I1,209.0,EA,
100,5100000006,2024,000001,4500000006,00010,0,MAT00008,P002,1000,63955.2,S,I1,160.0,EA,
100,5100000007,2024,000001,4500000007,00010,0,MAT00004,P003,1000,8767.28,S,I1,29.0,EA,
100,5100000008,2024,000001,4500000008,00010,0,MAT00022,P003,1000,34037.82,S,I1,162.0,EA,
100,5100000009,2024,000001,4500000009,00010,0,MAT00019,P002,1000,88823.68,S,I1,341.0,EA,
100,5100000010,2024,000001,4500000010,00010,0,MAT00015,P001,1000,71730.3,S,I1,362.0,EA,
100,5100000010,2024,000002,4500000010,00020,0,MAT00014,P001,1000,1798.0,S,I1,29.0,EA,
100,5100000011,2024,000001,4500000011,00010,0,MAT00021,P002,1000,45822.35,S,I1,317.0,EA,
100,5100000012,2024,000001,4500000012,00010,0,MAT00014,P002,1000,103839.76,S,I1,296.0,EA,
100,5100000013,2024,000001,4500000013,00010,0,MAT00014,P002,1000,71385.16,S,I1,343.0,EA,
100,5100000014,2024,000001,4500000014,00010,0,MAT00007,P002,1000,64540.35,S,I1,441.0,EA,
100,5100000015,2024,000001,4500000015,00010,0,MAT00008,P001,1000,32263.28,S,I1,238.0,EA,
100,5100000016,2024,000001,4500000016,00010,0,MAT00019,P003,1000,162060.75,S,I1,405.0,EA,
100,5100000016,2024,000002,4500000016,00020,0,MAT00008,P003,1000,10002.46,S,I1,26.0,EA,
100,5100000017,2024,000001,4500000017,00010,0,MAT00011,P003,1000,57234.58,S,I1,442.0,EA,
100,5100000018,2024,000001,4500000018,00010,0,MAT00017,P002,1000,58946.36,S,I1,209.0,EA,
100,5100000019,2024,000001,4500000019,00010,0,MAT00014,P003,1000,19046.17,S,I1,143.0,EA,
100,5100000020,2024,000001,4500000020,00010,0,MAT00008,P001,1000,25714.71,S,I1,357.0,EA,
100,5100000021,2024,000001,4500000021,00010,0,MAT00003,P002,1000,11533.86,S,I1,318.0,EA,
100,5100000022,2024,000001,4500000022,00010,0,MAT00020,P003,1000,6969.2,S,I1,140.0,EA,
100,5100000023,2024,000001,4500000023,00010,0,MAT00009,P001,1000,9960.0,S,I1,120.0,EA,
100,5100000024,2024,000001,4500000024,00010,0,MAT00003,P003,1000,8478.75,S,I1,133.0,EA,
100,5100000025,2024,000001,4500000025,00010,0,MAT00006,P002,1000,71444.14,S,I1,151.0,EA,
100,5100000026,2024,000001,4500000026,00010,0,MAT00021,P002,1000,10462.2,S,I1,141.0,EA,
100,5100000027,2024,000001,4500000027,00010,0,MAT00016,P002,1000,52733.88,S,I1,214.0,EA,
100,5100000027,2024,000002,4500000027,00020,0,MAT00007,P002,1000,22521.91,S,I1,71.0,EA,
100,5100000028,2024,000001,4500000028,00010,0,MAT00007,P002,1000,90639.12,S,I1,429.0,EA,
100,5100000029,2024,000001,4500000029,00010,0,MAT00001,P001,1000,18468.65,S,I1,47.0,EA,
100,5100000030,2024,000001,4500000030,00010,0,MAT00008,P001,1000,187081.62,S,I1,489.0,EA,
100,5100000030,2024,000002,4500000030,00020,0,MAT00003,P001,1000,9047.1,S,I1,53.0,EA,
100,5100000031,2024,000001,4500000031,00010,0,MAT00015,P002,1000,35923.72,S,I1,238.0,EA,
100,5100000031,2024,000002,4500000031,00020,0,MAT00008,P002,1000,4126.98,S,I1,26.0,EA,
100,5100000032,2024,000001,4500000032,00010,0,MAT00010,P003,1000,106749.44,S,I1,322.0,EA,
100,5100000032,2024,000002,4500000032,00020,0,MAT00003,P003,1000,62550.62,S,I1,158.0,EA,
100,5100000033,2024,000001,4500000033,00010,0,MAT00018,P003,1000,9878.4,S,I1,140.0,EA,
100,5100000034,2024,000001,4500000034,00010,0,MAT00023,P003,1000,36946.26,S,I1,78.0,EA,
100,5100000034,2024,000002,4500000034,00020,0,MAT00009,P003,1000,26054.76,S,I1,87.0,EA,
100,5100000035,2024,000001,4500000035,00010,0,MAT00018,P001,1000,7195.58,S,I1,103.0,EA,
100,5100000036,2024,000001,4500000036,00010,0,MAT00008,P001,1000,5136.89,S,I1,451.0,EA,
100,5100000036,2024,000002,4500000036,00020,0,MAT00005,P001,1000,4489.05,S,I1,15.0,EA,
100,5100000037,2024,000001,4500000037,00010,0,MAT00015,P003,1000,71661.33,S,I1,207.0,EA,
100,5100000038,2024,000001,4500000038,00010,0,MAT00017,P003,1000,140790.6,S,I1,428.0,EA,
100,5100000038,2024,000002,4500000038,00020,0,MAT00005,P003,1000,5423.34,S,I1,78.0,EA,
100,5100000039,2024,000001,4500000039,00010,0,MAT00022,P001,1000,147537.0,S,I1,485.0,EA,
100,5100000040,2024,000001,4500000040,00010,0,MAT00020,P003,1000,57135.6,S,I1,354.0,EA,
100,5100000041,2024,000001,4500000041,00010,0,MAT00011,P001,1000,13064.4,S,I1,380.0,EA,
100,5100000042,2024,000001,4500000042,00010,0,MAT00017,P003,1000,18125.28,S,I1,492.0,EA,
100,5100000043,2024,000001,4500000043,00010,0,MAT00002,P002,1000,126195.84,S,I1,432.0,EA,
100,5100000044,2024,000001,4500000044,00010,0,MAT00008,P001,1000,33054.12,S,I1,204.0,EA,
100,5100000045,2024,000001,4500000045,00010,0,MAT00005,P001,1000,32468.3,S,I1,85.0,EA,
100,5100000046,2024,000001,4500000046,00010,0,MAT00017,P003,1000,6098.4,S,I1,28.0,EA,
100,5100000047,2024,000001,4500000047,00010,0,MAT00011,P001,1000,176922.06,S,I1,357.0,EA,
100,5100000048,2024,000001,4500000048,00010,0,MAT00010,P002,1000,75927.3,S,I1,438.0,EA,
100,5100000048,2024,000002,4500000048,00020,0,MAT00003,P002,1000,45327.44,S,I1,136.0,EA,
100,5100000049,2024,000001,4500000049,00010,0,MAT00005,P001,1000,101911.56,S,I1,274.0,EA,
100,5100000049,2024,000002,4500000049,00020,0,MAT00013,P001,1000,52718.06,S,I1,181.0,EA,
100,5100000050,2024,000001,4500000050,00010,0,MAT00022,P002,1000,52886.62,S,I1,197.0,EA,
100,5100000050,2024,000002,4500000050,00020,0,MAT00005,P002,1000,19549.53,S,I1,93.0,EA,
100,5100000051,2024,000001,4500000051,00010,0,MAT00004,P001,1000,13326.08,S,I1,29.0,EA,
100,5100000052,2024,000001,4500000052,00010,0,MAT00008,P002,1000,101803.14,S,I1,323.0,EA,
100,5100000053,2024,000001,4500000053,00010,0,MAT00017,P001,1000,128018.52,S,I1,259.0,EA,
100,5100000054,2024,000001,4500000054,00010,0,MAT00005,P001,1000,39178.11,S,I1,409.0,EA,
100,5100000055,2024,000001,4500000055,00010,0,MAT00021,P002,1000,170656.32,S,I1,393.0,EA,
100,5100000055,2024,000002,4500000055,00020,0,MAT00015,P002,1000,18243.2,S,I1,160.0,EA,
100,5100000056,2024,000001,4500000056,00010,0,MAT00006,P003,1000,177389.22,S,I1,366.0,EA,
100,5100000057,2024,000001,4500000057,00010,0,MAT00019,P002,1000,91337.75,S,I1,475.0,EA,
100,5100000058,2024,000001,4500000058,00010,0,MAT00020,P003,1000,35929.6,S,I1,70.0,EA,
100,5100000059,2024,000001,4500000059,00010,0,MAT00001,P001,1000,117511.52,S,I1,239.0,EA,
100,5100000060,2024,000001,4500000060,00010,0,MAT00005,P002,1000,111467.52,S,I1,256.0,EA,
100,5100000061,2024,000001,4500000061,00010,0,MAT00020,P001,1000,88356.0,S,I1,300.0,EA,
100,5100000061,2024,000002,4500000061,00020,0,MAT00015,P001,1000,15617.19,S,I1,127.0,EA,
100,5100000062,2024,000001,4500000062,00010,0,MAT00011,P002,1000,14175.44,S,I1,74.0,EA,
100,5100000063,2024,000001,4500000063,00010,0,MAT00019,P001,1000,105339.25,S,I1,239.0,EA,
100,5100000064,2024,000001,4500000064,00010,0,MAT00018,P003,1000,10608.84,S,I1,76.0,EA,
100,5100000065,2024,000001,4500000065,00010,0,MAT00005,P002,1000,139969.96,S,I1,494.0,EA,
100,5100000066,2024,000001,4500000066,00010,0,MAT00011,P003,1000,58262.64,S,I1,372.0,EA,
100,5100000067,2024,000001,4500000067,00010,0,MAT00020,P003,1000,142616.7,S,I1,486.0,EA,
