MANDT,KURST,FCURR,TCURR,GDATU,FFACT,TFACT,UKURS,BKURS,GARNT
100,M,EUR,USD,79769898,1,1,1.0948,0,0
100,M,GBP,USD,79769898,1,1,1.2415,0,0
100,M,EUR,USD,79769798,1,1,1.0693,0,0
100,M,GBP,USD,79769798,1,1,1.2534,0,0
100,M,EUR,USD,79769698,1,1,1.1016,0,0
100,M,GBP,USD,79769698,1,1,1.2806,0,0
100,M,EUR,USD,79769598,1,1,1.1125,0,0
100,M,GBP,USD,79769598,1,1,1.2452,0,0
100,M,EUR,USD,79769498,1,1,1.0795,0,0
100,M,GBP,USD,79769498,1,1,1.2418,0,0
100,M,EUR,USD,79769398,1,1,1.0653,0,0
100,M,GBP,USD,79769398,1,1,1.2703,0,0
100,M,EUR,USD,79769298,1,1,1.0519,0,0
100,M,GBP,USD,79769298,1,1,1.2519,0,0
100,M,EUR,USD,79769198,1,1,1.0955,0,0
100,M,GBP,USD,79769198,1,1,1.2727,0,0
100,M,EUR,USD,79769098,1,1,1.0654,0,0
100,M,GBP,USD,79769098,1,1,1.2754,0,0
100,M,EUR,USD,79768998,1,1,1.1067,0,0
100,M,GBP,USD,79768998,1,1,1.2404,0,0
100,M,EUR,USD,79768898,1,1,1.1064,0,0
100,M,GBP,USD,79768898,1,1,1.2819,0,0
100,M,EUR,USD,79768798,1,1,1.0738,0,0
100,M,GBP,USD,79768798,1,1,1.2493,0,0
100,M,EUR,USD,79759898,1,1,1.117,0,0
100,M,GBP,USD,79759898,1,1,1.2602,0,0
100,M,EUR,USD,79759798,1,1,1.0565,0,0
100,M,GBP,USD,79759798,1,1,1.2458,0,0
100,M,EUR,USD,79759698,1,1,1.1093,0,0
100,M,GBP,USD,79759698,1,1,1.2762,0,0
100,M,EUR,USD,79759598,1,1,1.1065,0,0
100,M,GBP,USD,79759598,1,1,1.2838,0,0
100,M,EUR,USD,79759498,1,1,1.0875,0,0
100,M,GBP,USD,79759498,1,1,1.2984,0,0
100,M,EUR,USD,79759398,1,1,1.0765,0,0
100,M,GBP,USD,79759398,1,1,1.2731,0,0
100,M,EUR,USD,79759298,1,1,1.1081,0,0
100,M,GBP,USD,79759298,1,1,1.2771,0,0
100,M,EUR,USD,79759198,1,1,1.1103,0,0
100,M,GBP,USD,79759198,1,1,1.2746,0,0
100,M,EUR,USD,79759098,1,1,1.0993,0,0
100,M,GBP,USD,79759098,1,1,1.2427,0,0
100,M,EUR,USD,79758998,1,1,1.066,0,0
100,M,GBP,USD,79758998,1,1,1.2574,0,0
100,M,EUR,USD,79758898,1,1,1.0556,0,0
100,M,GBP,USD,79758898,1,1,1.254,0,0
100,M,EUR,USD,79758798,1,1,1.0571,0,0
100,M,GBP,USD,79758798,1,1,1.2567,0,0
