MANDT,VBELN,ERDAT,ERZET,ERNAM,ANGDT,BNDDT,AUDAT,VBTYP,AUART,AUGRU,NETWR,WAERK,VKORG,VTWEG,SPART,VKGRP,VKBUR,KNUMV,VDATU,KUNNR,LIFSK,FAKSK,BUKRS_VF,AEDAT,BSTNK,BSTDK,VSART,OBJNR,KKBER,VSBED
100,1000000000,2024-04-02,08:00:00,SALEUSER1,,,2024-04-02,C,OR,,56576.85,USD,1000,10,0,100,1000,5700000000,2024-05-01,C00008,,,1000,2024-04-02,CUST-PO-000000,2024-04-02,1,OR1000000000      ,2000,4.0
100,1000000001,2024-03-27,08:00:00,SALEUSER3,,,2024-03-27,C,OR,,92427.12,USD,1000,10,0,100,1000,5700000001,2024-04-13,C00001,,,1000,2024-03-27,CUST-PO-000001,2024-03-27,1,OR1000000001      ,3000,1.0
100,1000000002,2024-02-23,08:00:00,SALEUSER3,,,2024-02-23,C,OR,,403526.69,USD,1000,10,0,100,1000,5700000002,2024-03-08,C00008,2.0,,1000,2024-02-23,CUST-PO-000002,2024-02-23,1,OR1000000002      ,1000,4.0
100,1000000003,2024-06-20,08:00:00,SALEUSER2,,,2024-06-20,C,OR,,42316.55,USD,1000,10,0,100,1000,5700000003,2024-06-28,C00008,,,1000,2024-06-20,CUST-PO-000003,2024-06-20,1,OR1000000003      ,2000,2.0
100,1000000004,2024-02-22,08:00:00,SALEUSER3,,,2024-02-22,C,OR,,72091.8,USD,1000,10,0,100,1000,5700000004,2024-03-13,C00003,,,1000,2024-02-22,CUST-PO-000004,2024-02-22,1,OR1000000004      ,1000,4.0
100,1000000005,2024-05-03,08:00:00,SALEUSER1,,,2024-05-03,C,OR,,27132.0,USD,1000,10,0,100,1000,5700000005,2024-05-20,C00003,,8.0,1000,2024-05-03,CUST-PO-000005,2024-05-03,1,OR1000000005      ,3000,2.0
100,1000000006,2024-05-11,08:00:00,SALEUSER3,,,2024-05-11,C,OR,,77687.13,USD,1000,10,0,100,1000,5700000006,2024-05-23,C00004,,,1000,2024-05-11,CUST-PO-000006,2024-05-11,1,OR1000000006      ,2000,2.0
100,1000000007,2024-06-14,08:00:00,SALEUSER1,,,2024-06-14,C,OR,,186298.6,USD,1000,10,0,100,1000,5700000007,2024-06-27,C00008,,,1000,2024-06-14,CUST-PO-000007,2024-06-14,1,OR1000000007      ,2000,
100,1000000008,2024-02-14,08:00:00,SALEUSER2,,,2024-02-14,C,OR,,169624.8,USD,1000,10,0,100,1000,5700000008,2024-03-04,C00004,,,1000,2024-02-14,CUST-PO-000008,2024-02-14,1,OR1000000008      ,1000,4.0
100,1000000009,2024-08-15,08:00:00,SALEUSER2,,,2024-08-15,C,OR,,270718.0,USD,1000,10,0,100,1000,5700000009,2024-08-24,C00010,,,1000,2024-08-15,CUST-PO-000009,2024-08-15,1,OR1000000009      ,2000,2.0
100,1000000010,2024-02-26,08:00:00,SALEUSER1,,,2024-02-26,C,OR,,140895.01,USD,1000,10,0,100,1000,5700000010,2024-03-12,C00009,,,1000,2024-02-26,CUST-PO-000010,2024-02-26,1,OR1000000010      ,3000,1.0
100,1000000011,2024-02-28,08:00:00,SALEUSER3,,,2024-02-28,C,ZOR,,91515.06,USD,1000,10,0,100,1000,5700000011,2024-03-15,C00008,,,1000,2024-02-28,CUST-PO-000011,2024-02-28,1,OR1000000011      ,1000,1.0
100,1000000012,2024-04-25,08:00:00,SALEUSER2,,,2024-04-25,C,OR,,11578.41,USD,1000,10,0,100,1000,5700000012,2024-05-08,C00014,,,1000,2024-04-25,CUST-PO-000012,2024-04-25,1,OR1000000012      ,2000,1.0
100,1000000013,2024-06-08,08:00:00,SALEUSER2,,,2024-06-08,C,OR,,9836.48,USD,1000,10,0,100,1000,5700000013,2024-06-23,C00013,,,1000,2024-06-08,CUST-PO-000013,2024-06-08,1,OR1000000013      ,3000,2.0
100,1000000014,2024-05-13,08:00:00,SALEUSER2,,,2024-05-13,C,OR,,19870.62,USD,1000,10,0,100,1000,5700000014,2024-06-09,C00010,,,1000,2024-05-13,CUST-PO-000014,2024-05-13,1,OR1000000014      ,2000,2.0
100,1000000015,2024-02-16,08:00:00,SALEUSER2,,,2024-02-16,C,OR,,7748.1,USD,1000,10,0,100,1000,5700000015,2024-02-23,C00009,,,1000,2024-02-16,CUST-PO-000015,2024-02-16,1,OR1000000015      ,2000,1.0
100,1000000016,2024-03-02,08:00:00,SALEUSER2,,,2024-03-02,C,ZOR,,149340.4,USD,1000,10,0,100,1000,5700000016,2024-03-19,C00012,,,1000,2024-03-02,CUST-PO-000016,2024-03-02,1,OR1000000016      ,2000,1.0
100,1000000017,2024-09-04,08:00:00,SALEUSER3,,,2024-09-04,C,FO,,184397.59,USD,1000,10,0,100,1000,5700000017,2024-09-16,C00012,,,1000,2024-09-04,CUST-PO-000017,2024-09-04,1,OR1000000017      ,2000,
100,1000000018,2024-04-02,08:00:00,SALEUSER2,,,2024-04-02,C,FO,,174253.91,USD,1000,10,0,100,1000,5700000018,2024-04-26,C00003,,,1000,2024-04-02,CUST-PO-000018,2024-04-02,1,OR1000000018      ,3000,3.0
100,1000000019,2024-03-13,08:00:00,SALEUSER3,,,2024-03-13,C,OR,,48925.84,USD,1000,10,0,100,1000,5700000019,2024-03-22,C00006,,,1000,2024-03-13,CUST-PO-000019,2024-03-13,1,OR1000000019      ,1000,
100,1000000020,2024-03-14,08:00:00,SALEUSER3,,,2024-03-14,C,OR,,57262.8,USD,1000,10,0,100,1000,5700000020,2024-04-11,C00004,,,1000,2024-03-14,CUST-PO-000020,2024-03-14,1,OR1000000020      ,2000,3.0
100,1000000021,2024-04-30,08:00:00,SALEUSER2,,,2024-04-30,C,OR,,308600.76,USD,1000,10,0,100,1000,5700000021,2024-05-22,C00005,,,1000,2024-04-30,CUST-PO-000021,2024-04-30,1,OR1000000021      ,1000,2.0
100,1000000022,2024-01-12,08:00:00,SALEUSER2,,,2024-01-12,C,OR,,7123.43,USD,1000,10,0,100,1000,5700000022,2024-02-02,C00011,,,1000,2024-01-12,CUST-PO-000022,2024-01-12,1,OR1000000022      ,2000,4.0
100,1000000023,2024-01-21,08:00:00,SALEUSER1,,,2024-01-21,C,ZOR,,319518.4,USD,1000,10,0,100,1000,5700000023,2024-02-06,C00003,,,1000,2024-01-21,CUST-PO-000023,2024-01-21,1,OR1000000023      ,3000,3.0
100,1000000024,2024-08-04,08:00:00,SALEUSER1,,,2024-08-04,C,ZOR,,313626.95,USD,1000,10,0,100,1000,5700000024,2024-09-01,C00012,,8.0,1000,2024-08-04,CUST-PO-000024,2024-08-04,1,OR1000000024      ,2000,
100,1000000025,2024-04-02,08:00:00,SALEUSER1,,,2024-04-02,C,FO,,41336.04,USD,1000,10,0,100,1000,5700000025,2024-04-30,C00008,,,1000,2024-04-02,CUST-PO-000025,2024-04-02,1,OR1000000025      ,1000,2.0
100,1000000026,2024-09-07,08:00:00,SALEUSER1,,,2024-09-07,C,OR,,19884.42,USD,1000,10,0,100,1000,5700000026,2024-10-04,C00013,,,1000,2024-09-07,CUST-PO-000026,2024-09-07,1,OR1000000026      ,1000,2.0
100,1000000027,2024-04-24,08:00:00,SALEUSER3,,,2024-04-24,C,ZOR,,16855.36,USD,1000,10,0,100,1000,5700000027,2024-05-23,C00013,,,1000,2024-04-24,CUST-PO-000027,2024-04-24,1,OR1000000027      ,2000,2.0
100,1000000028,2024-05-18,08:00:00,SALEUSER1,,,2024-05-18,C,OR,,176290.12,USD,1000,10,0,100,1000,5700000028,2024-06-08,C00012,2.0,,1000,2024-05-18,CUST-PO-000028,2024-05-18,1,OR1000000028      ,1000,4.0
100,1000000029,2024-08-19,08:00:00,SALEUSER1,,,2024-08-19,C,FO,,291671.28,USD,1000,10,0,100,1000,5700000029,2024-09-09,C00010,,,1000,2024-08-19,CUST-PO-000029,2024-08-19,1,OR1000000029      ,2000,4.0
100,1000000030,2024-08-11,08:00:00,SALEUSER2,,,2024-08-11,C,OR,,13450.08,USD,1000,10,0,100,1000,5700000030,2024-09-04,C00007,,,1000,2024-08-11,CUST-PO-000030,2024-08-11,1,OR1000000030      ,2000,
