MANDT,VBELN,POSNR,MATNR,ARKTX,KWMENG,MEINS,NETWR,WAERK,WERKS,LGORT,ROUTE,PSTYV,ABGRU,LFSTA,FKSTA,GBSTA,NETPR,KPEIN,ERNAM,OBJNR,ERDAT,FAKSP,ERZET,VGTYP,VGBEL,VGPOS,FKREL,KDMAT,BRGEW,NTGEW,GEWEI,VRKME
100,1000000000,10,MAT00028,Material MAT00028,165.0,EA,56576.85,USD,P002,SL02,2,TAN,,C,A,B,342.89,1,SALEUSER1,OR1000000000000010,2024-04-02,,11:58:11,,8000000000.0,10.0,C,CUST-MAT-7202,29.18,36.39,KG,PC
100,1000000001,10,MAT00030,Material MAT00030,62.0,EA,92427.12,USD,P003,SL02,2,TAN,,C,A,B,1490.76,1,SALEUSER3,OR1000000001000010,2024-03-27,,16:42:10,B,8000000001.0,10.0,B,,52.7,41.88,KG,EA
100,1000000002,10,MAT00026,Material MAT00026,175.0,EA,272893.25,USD,P003,SL03,2,TAN,,C,C,C,1559.39,1,SALEUSER3,OR1000000002000010,2024-02-23,,15:07:04,,8000000002.0,10.0,B,CUST-MAT-4077,68.42,60.08,KG,PC
100,1000000002,20,MAT00029,Material MAT00029,168.0,EA,130633.44,USD,P003,SL03,1,TAN,,C,C,C,777.58,1,SALEUSER3,OR1000000002000020,2024-02-23,,14:35:13,,8000000002.0,20.0,D,CUST-MAT-4134,98.28,77.21,KG,KG
100,1000000003,10,MAT00023,Material MAT00023,31.0,EA,42316.55,USD,P001,SL01,5,TAN,,C,C,C,1365.05,1,SALEUSER2,OR1000000003000010,2024-06-20,,06:37:36,B,8000000003.0,10.0,D,CUST-MAT-5913,15.73,0.94,KG,EA
100,1000000004,10,MAT00028,Material MAT00028,180.0,EA,72091.8,USD,P002,SL01,1,TAN,,C,C,C,400.51,1,SALEUSER3,OR1000000004000010,2024-02-22,,08:55:59,,8000000004.0,10.0,B,,44.43,25.26,KG,ST
100,1000000005,10,MAT00026,Material MAT00026,75.0,EA,27132.0,USD,P003,SL01,5,TAN,,C,C,C,361.76,1,SALEUSER1,OR1000000005000010,2024-05-03,,06:50:51,,8000000005.0,10.0,A,,76.09,27.98,KG,L
100,1000000006,10,MAT00022,Material MAT00022,16.0,EA,7875.36,USD,P001,SL02,4,TAN,,C,C,C,492.21,1,SALEUSER3,OR1000000006000010,2024-05-11,,10:40:28,B,8000000006.0,10.0,B,CUST-MAT-4901,83.92,84.76,KG,PC
100,1000000006,20,MAT00023,Material MAT00023,49.0,EA,69811.77,USD,P001,SL02,1,TAN,,C,C,C,1424.73,1,SALEUSER3,OR1000000006000020,2024-05-11,,13:37:58,B,8000000006.0,20.0,B,CUST-MAT-8743,65.23,59.08,KG,KG
100,1000000007,10,MAT00032,Material MAT00032,116.0,EA,169951.6,USD,P001,SL03,1,TAN,,C,C,C,1465.1,1,SALEUSER1,OR1000000007000010,2024-06-14,,06:09:45,C,8000000007.0,10.0,C,,79.01,64.33,KG,L
