MANDT,VBELN,POSNR,ETENR,ETTYP,EDATU,LDDAT,WMENG,BMENG,OMENG,ROUTE,MEINS,MBDAT
100,1000000000,000010,0001,BE,2024-04-20,2024-04-20,165.0,165.0,165.0,R0002,EA,2024-04-18
100,1000000001,000010,0001,BE,2024-04-27,2024-04-27,62.0,62.0,62.0,R0002,EA,2024-04-26
100,1000000002,000010,0001,BE,2024-03-19,2024-03-19,175.0,175.0,175.0,R0004,EA,2024-03-18
100,1000000002,000020,0001,BE,2024-03-19,2024-03-19,168.0,168.0,168.0,R0004,EA,2024-03-16
100,1000000003,000010,0001,BE,2024-07-09,2024-07-09,31.0,31.0,31.0,R0003,EA,2024-07-08
100,1000000004,000010,0001,BE,2024-02-29,2024-02-29,180.0,180.0,180.0,R0003,EA,2024-02-27
100,1000000005,000010,0001,BE,2024-05-23,2024-05-23,75.0,75.0,75.0,R0001,EA,2024-05-22
100,1000000006,000010,0001,BE,2024-06-13,2024-06-13,16.0,16.0,16.0,R0002,EA,2024-06-10
100,1000000006,000020,0001,BE,2024-06-13,2024-06-13,49.0,49.0,49.0,R0002,EA,2024-06-10
100,1000000007,000010,0001,BE,2024-06-22,2024-06-22,116.0,116.0,116.0,R0004,EA,2024-06-19
100,1000000007,000020,0001,BE,2024-06-22,2024-06-22,60.0,60.0,60.0,R0004,EA,2024-06-21
100,1000000008,000010,0001,BE,2024-02-21,2024-02-21,108.0,108.0,108.0,R0002,EA,2024-02-20
100,1000000009,000010,0001,BE,2024-09-13,2024-09-13,175.0,175.0,175.0,R0001,EA,2024-09-12
100,1000000010,000010,0001,BE,2024-04-01,2024-04-01,89.0,89.0,89.0,R0003,EA,2024-03-29
100,1000000010,000020,0001,BE,2024-04-01,2024-04-01,89.0,89.0,89.0,R0003,EA,2024-03-30
100,1000000011,000010,0001,BE,2024-03-18,2024-03-18,91.0,91.0,91.0,R0002,EA,2024-03-16
100,1000000012,000010,0001,BE,2024-05-23,2024-05-23,37.0,37.0,37.0,R0001,EA,2024-05-20
100,1000000013,000010,0001,BE,2024-07-12,2024-07-12,8.0,8.0,8.0,R0003,EA,2024-07-09
100,1000000014,000010,0001,BE,2024-05-25,2024-05-25,66.0,66.0,66.0,R0003,EA,2024-05-22
100,1000000015,000010,0001,BE,2024-03-07,2024-03-07,18.0,18.0,18.0,R0004,EA,2024-03-04
100,1000000016,000010,0001,BE,2024-03-09,2024-03-09,10.0,10.0,10.0,R0002,EA,2024-03-07
100,1000000016,000020,0001,BE,2024-03-09,2024-03-09,130.0,130.0,130.0,R0002,EA,2024-03-08
100,1000000017,000010,0001,BE,2024-09-30,2024-09-30,169.0,169.0,169.0,R0004,EA,2024-09-29
100,1000000018,000010,0001,BE,2024-04-19,2024-04-19,85.0,85.0,85.0,R0003,EA,2024-04-17
100,1000000018,000020,0001,BE,2024-04-19,2024-04-19,128.0,128.0,128.0,R0003,EA,2024-04-18
100,1000000019,000010,0001,BE,2024-03-28,2024-03-28,74.0,0,74.0,R0002,EA,2024-03-26
100,1000000020,000010,0001,BE,2024-04-18,2024-04-18,102.0,102.0,102.0,R0004,EA,2024-04-17
100,1000000021,000010,0001,BE,2024-05-27,2024-05-27,156.0,156.0,156.0,R0001,EA,2024-05-25
100,1000000022,000010,0001,BE,2024-01-25,2024-01-25,127.0,127.0,127.0,R0001,EA,2024-01-24
100,1000000023,000010,0001,BE,2024-01-29,2024-01-29,170.0,170.0,170.0,R0001,EA,2024-01-26
100,1000000024,000010,0001,BE,2024-08-19,2024-08-19,78.0,78.0,78.0,R0002,EA,2024-08-16
100,1000000024,000020,0001,BE,2024-08-19,2024-08-19,83.0,83.0,83.0,R0002,EA,2024-08-18
100,1000000025,000010,0001,BE,2024-05-07,2024-05-07,61.0,61.0,61.0,R0003,EA,2024-05-05
100,1000000026,000010,0001,BE,2024-09-24,2024-09-24,138.0,138.0,138.0,R0003,EA,2024-09-23
100,1000000027,000010,0001,BE,2024-05-03,2024-05-03,32.0,32.0,32.0,R0003,EA,2024-05-02
100,1000000028,000010,0001,BE,2024-06-04,2024-06-04,199.0,199.0,199.0,R0002,EA,2024-06-01
100,1000000029,000010,0001,BE,2024-08-31,2024-08-31,108.0,108.0,108.0,R0002,EA,2024-08-29
100,1000000029,000020,0001,BE,2024-08-31,2024-08-31,123.0,123.0,123.0,R0002,EA,2024-08-28
100,1000000030,000010,0001,BE,2024-09-11,2024-09-11,28.0,28.0,28.0,R0001,EA,2024-09-10
100,1000000031,000010,0001,BE,2024-10-07,2024-10-07,166.0,166.0,166.0,R0002,EA,2024-10-04
100,1000000032,000010,0001,BE,2024-07-26,2024-07-26,130.0,130.0,130.0,R0003,EA,2024-07-24
100,1000000033,000010,0001,BE,2024-07-31,2024-07-31,184.0,184.0,184.0,R0001,EA,2024-07-30
100,1000000034,000010,0001,BE,2024-02-28,2024-02-28,195.0,195.0,195.0,R0004,EA,2024-02-27
100,1000000035,000010,0001,BE,2024-10-17,2024-10-17,132.0,132.0,132.0,R0004,EA,2024-10-14
