MANDT,VBELV,POSNV,VBELN,POSNN,VBTYP_N,VBTYP_V,RFMNG,RFWRT,WAERS,ERDAT,ERZET,VRKME
100,1000000000,000010,8000000000,000010,J,C,165.0,56576.85,USD,2024-04-28,100000,EA
100,1000000001,000010,8000000001,000010,J,C,62.0,92427.12,USD,2024-04-12,100000,EA
100,1000000002,000010,8000000002,000010,J,C,89.0,138785.71,USD,2024-03-10,100000,EA
100,1000000002,000020,8000000002,000020,J,C,148.0,115081.84,USD,2024-03-10,100000,EA
100,8000000002,000010,9000000002,000010,M,J,154.0,240146.06,USD,2024-03-15,110000,EA
100,8000000002,000020,9000000002,000020,M,J,143.0,111193.94,USD,2024-03-15,110000,EA
100,1000000003,000010,8000000003,000010,J,C,31.0,42316.55,USD,2024-07-22,100000,EA
100,8000000003,000010,9000000003,000010,M,J,31.0,42316.55,USD,2024-07-24,110000,EA
100,1000000004,000010,8000000004,000010,J,C,180.0,72091.8,USD,2024-03-10,100000,EA
100,8000000004,000010,9000000004,000010,M,J,180.0,72091.8,USD,2024-03-12,110000,EA
100,1000000005,000010,8000000005,000010,J,C,75.0,27132.0,USD,2024-05-20,100000,EA
100,1000000006,000010,8000000006,000010,J,C,16.0,7875.36,USD,2024-05-21,100000,EA
100,1000000006,000020,8000000006,000020,J,C,49.0,69811.77,USD,2024-05-21,100000,EA
100,8000000006,000010,9000000006,000010,M,J,16.0,7875.36,USD,2024-05-26,110000,EA
100,8000000006,000020,9000000006,000020,M,J,49.0,69811.77,USD,2024-05-26,110000,EA
100,1000000007,000010,8000000007,000010,J,C,116.0,169951.6,USD,2024-06-25,100000,EA
100,1000000007,000020,8000000007,000020,J,C,60.0,16347.0,USD,2024-06-25,100000,EA
100,8000000007,000010,9000000007,000010,M,J,116.0,169951.6,USD,2024-06-28,110000,EA
100,8000000007,000020,9000000007,000020,M,J,60.0,16347.0,USD,2024-06-28,110000,EA
100,1000000008,000010,8000000008,000010,J,C,108.0,169624.8,USD,2024-03-03,100000,EA
100,8000000008,000010,9000000008,000010,M,J,108.0,169624.8,USD,2024-03-07,110000,EA
100,1000000009,000010,8000000009,000010,J,C,175.0,270718.0,USD,2024-08-24,100000,EA
100,8000000009,000010,9000000009,000010,M,J,175.0,270718.0,USD,2024-08-28,110000,EA
100,1000000010,000010,8000000010,000010,J,C,89.0,7375.43,USD,2024-03-13,100000,EA
100,1000000010,000020,8000000010,000020,J,C,89.0,133519.58,USD,2024-03-13,100000,EA
100,8000000010,000010,9000000010,000010,M,J,89.0,7375.43,USD,2024-03-18,110000,EA
100,8000000010,000020,9000000010,000020,M,J,89.0,133519.58,USD,2024-03-18,110000,EA
100,1000000011,000010,8000000011,000010,J,C,91.0,91515.06,USD,2024-03-22,100000,EA
100,8000000011,000010,9000000011,000010,M,J,91.0,91515.06,USD,2024-03-27,110000,EA
100,1000000012,000010,8000000012,000010,J,C,37.0,11578.41,USD,2024-05-05,100000,EA
100,8000000012,000010,9000000012,000010,M,J,37.0,11578.41,USD,2024-05-09,110000,EA
100,1000000013,000010,8000000013,000010,J,C,8.0,9836.48,USD,2024-06-26,100000,EA
100,8000000013,000010,9000000013,000010,M,J,8.0,9836.48,USD,2024-06-29,110000,EA
100,1000000014,000010,8000000014,000010,J,C,66.0,19870.62,USD,2024-06-08,100000,EA
100,8000000014,000010,9000000014,000010,M,J,66.0,19870.62,USD,2024-06-10,110000,EA
100,1000000015,000010,8000000015,000010,J,C,18.0,7748.1,USD,2024-02-23,100000,EA
100,8000000015,000010,9000000015,000010,M,J,18.0,7748.1,USD,2024-02-27,110000,EA
100,1000000016,000010,8000000016,000010,J,C,10.0,5377.1,USD,2024-03-18,100000,EA
100,1000000016,000020,8000000016,000020,J,C,130.0,143963.3,USD,2024-03-18,100000,EA
100,8000000016,000010,9000000016,000010,M,J,10.0,5377.1,USD,2024-03-22,110000,EA
100,8000000016,000020,9000000016,000020,M,J,130.0,143963.3,USD,2024-03-22,110000,EA
100,1000000017,000010,8000000017,000010,J,C,169.0,184397.59,USD,2024-09-17,100000,EA
100,8000000017,000010,9000000017,000010,M,J,169.0,184397.59,USD,2024-09-19,110000,EA
100,1000000018,000010,8000000018,000010,J,C,85.0,10923.35,USD,2024-05-18,100000,EA
100,1000000018,000020,8000000018,000020,J,C,128.0,163330.56,USD,2024-05-18,100000,EA
100,8000000018,000010,9000000018,000010,M,J,85.0,10923.35,USD,2024-05-21,110000,EA
100,8000000018,000020,9000000018,000020,M,J,128.0,163330.56,USD,2024-05-21,110000,EA
100,1000000020,000010,8000000020,000010,J,C,102.0,57262.8,USD,2024-04-10,100000,EA
100,8000000020,000010,9000000020,000010,M,J,102.0,57262.8,USD,2024-04-11,110000,EA
100,1000000021,000010,8000000021,000010,J,C,156.0,308600.76,USD,2024-06-11,100000,EA
100,8000000021,000010,9000000021,000010,M,J,156.0,308600.76,USD,2024-06-14,110000,EA
100,1000000022,000010,8000000022,000010,J,C,127.0,7123.43,USD,2024-02-05,100000,EA
100,8000000022,000010,9000000022,000010,M,J,127.0,7123.43,USD,2024-02-09,110000,EA
100,1000000023,000010,8000000023,000010,J,C,170.0,319518.4,USD,2024-02-08,100000,EA
100,8000000023,000010,9000000023,000010,M,J,170.0,319518.4,USD,2024-02-10,110000,EA
100,1000000024,000010,8000000024,000010,J,C,78.0,154420.5,USD,2024-09-02,100000,EA
100,1000000024,000020,8000000024,000020,J,C,83.0,159206.45,USD,2024-09-02,100000,EA
100,1000000025,000010,8000000025,000010,J,C,61.0,41336.04,USD,2024-04-28,100000,EA
100,8000000025,000010,9000000025,000010,M,J,61.0,41336.04,USD,2024-05-03,110000,EA
100,1000000026,000010,8000000026,000010,J,C,138.0,19884.42,USD,2024-10-19,100000,EA
100,8000000026,000010,9000000026,000010,M,J,138.0,19884.42,USD,2024-10-24,110000,EA
100,1000000027,000010,8000000027,000010,J,C,32.0,16855.36,USD,2024-05-21,100000,EA
100,8000000027,000010,9000000027,000010,M,J,32.0,16855.36,USD,2024-05-23,110000,EA
100,1000000028,000010,8000000028,000010,J,C,199.0,176290.12,USD,2024-06-05,100000,EA
100,8000000028,000010,9000000028,000010,M,J,199.0,176290.12,USD,2024-06-07,110000,EA
100,1000000029,000010,8000000029,000010,J,C,108.0,169458.48,USD,2024-09-11,100000,EA
100,1000000029,000020,8000000029,000020,J,C,123.0,122212.8,USD,2024-09-11,100000,EA
100,8000000029,000010,9000000029,000010,M,J,108.0,169458.48,USD,2024-09-16,110000,EA
100,8000000029,000020,9000000029,000020,M,J,123.0,122212.8,USD,2024-09-16,110000,EA
100,1000000030,000010,8000000030,000010,J,C,28.0,13450.08,USD,2024-09-01,100000,EA
100,8000000030,000010,9000000030,000010,M,J,28.0,13450.08,USD,2024-09-03,110000,EA
100,1000000031,000010,8000000031,000010,J,C,166.0,120549.2,USD,2024-10-01,100000,EA
100,8000000031,000010,9000000031,000010,M,J,166.0,120549.2,USD,2024-10-05,110000,EA
100,1000000032,000010,8000000032,000010,J,C,130.0,10192.0,USD,2024-07-08,100000,EA
100,8000000032,000010,9000000032,000010,M,J,130.0,10192.0,USD,2024-07-11,110000,EA
100,1000000033,000010,8000000033,000010,J,C,184.0,329965.36,USD,2024-07-30,100000,EA
100,8000000033,000010,9000000033,000010,M,J,184.0,329965.36,USD,2024-08-02,110000,EA
100,1000000034,000010,8000000034,000010,J,C,195.0,336084.45,USD,2024-03-13,100000,EA
100,8000000034,000010,9000000034,000010,M,J,195.0,336084.45,USD,2024-03-17,110000,EA
100,1000000035,000010,8000000035,000010,J,C,91.0,32097.52,USD,2024-10-13,100000,EA
100,8000000035,000010,9000000035,000010,M,J,73.0,25748.56,USD,2024-10-18,110000,EA
100,1000000036,000010,8000000036,000010,J,C,98.0,195307.14,USD,2024-03-13,100000,EA
100,1000000036,000020,8000000036,000020,J,C,73.0,122958.28,USD,2024-03-13,100000,EA
100,8000000036,000010,9000000036,000010,M,J,98.0,195307.14,USD,2024-03-18,110000,EA
100,8000000036,000020,9000000036,000020,M,J,73.0,122958.28,USD,2024-03-18,110000,EA
100,1000000037,000010,8000000037,000010,J,C,36.0,71240.4,USD,2024-05-09,100000,EA
100,1000000038,000010,8000000038,000010,J,C,156.0,125040.24,USD,2024-02-25,100000,EA
100,1000000038,000020,8000000038,000020,J,C,36.0,5092.92,USD,2024-02-25,100000,EA
100,8000000038,000010,9000000038,000010,M,J,156.0,125040.24,USD,2024-02-26,110000,EA
100,8000000038,000020,9000000038,000020,M,J,36.0,5092.92,USD,2024-02-26,110000,EA
100,1000000039,000010,8000000039,000010,J,C,64.0,84549.76,USD,2024-02-19,100000,EA
100,8000000039,000010,9000000039,000010,M,J,64.0,84549.76,USD,2024-02-24,110000,EA
100,1000000040,000010,8000000040,000010,J,C,17.0,8876.72,USD,2024-05-01,100000,EA
100,8000000040,000010,9000000040,000010,M,J,17.0,8876.72,USD,2024-05-02,110000,EA
100,1000000041,000010,8000000041,000010,J,C,100.0,18327.0,USD,2024-08-11,100000,EA
100,8000000041,000010,9000000041,000010,M,J,150.0,27490.5,USD,2024-08-16,110000,EA
100,1000000042,000010,8000000042,000010,J,C,150.0,113163.0,USD,2024-08-26,100000,EA
100,8000000042,000010,9000000042,000010,M,J,150.0,113163.0,USD,2024-08-28,110000,EA
100,1000000043,000010,8000000043,000010,J,C,96.0,126110.4,USD,2024-05-20,100000,EA
100,8000000043,000010,9000000043,000010,M,J,96.0,126110.4,USD,2024-05-24,110000,EA
100,1000000044,000010,8000000044,000010,J,C,29.0,44496.15,USD,2024-08-09,100000,EA
100,8000000044,000010,9000000044,000010,M,J,29.0,44496.15,USD,2024-08-14,110000,EA
100,1000000045,000010,8000000045,000010,J,C,199.0,247585.85,USD,2024-10-29,100000,EA
