MANDT,VBELN,POSNR,ZTERM,ZBD1T,ZBD1P,INCO1,INCO2,KDGRP
100,1000000000,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000001,000000,N060,30,2.000,DAP,Destination,01
100,1000000002,000000,N030,30,2.000,DAP,Destination,01
100,1000000003,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000004,000000,N060,30,2.000,DAP,Destination,01
100,1000000005,000000,N014,30,2.000,DAP,Destination,01
100,1000000006,000000,N060,30,2.000,DAP,Destination,01
100,1000000007,000000,N030,30,2.000,DAP,Destination,01
100,1000000008,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000009,000000,N030,30,2.000,DAP,Destination,01
100,1000000010,000000,N060,30,2.000,DAP,Destination,01
100,1000000011,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000012,000000,N030,30,2.000,DAP,Destination,01
100,1000000013,000000,N030,30,2.000,DAP,Destination,01
100,1000000014,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000015,000000,N030,30,2.000,DAP,Destination,01
100,1000000016,000000,N060,30,2.000,DAP,Destination,01
100,1000000017,000000,N060,30,2.000,DAP,Destination,01
100,1000000018,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000019,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000020,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000021,000000,N030,30,2.000,DAP,Destination,01
100,1000000022,000000,N030,30,2.000,DAP,Destination,01
100,1000000023,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000024,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000025,000000,N030,30,2.000,DAP,Destination,01
100,1000000026,000000,N014,30,2.000,DAP,Destination,01
100,1000000027,000000,N014,30,2.000,DAP,Destination,01
100,1000000028,000000,N014,30,2.000,DAP,Destination,01
100,1000000029,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000030,000000,N060,30,2.000,DAP,Destination,01
100,1000000031,000000,N060,30,2.000,DAP,Destination,01
100,1000000032,000000,N060,30,2.000,DAP,Destination,01
100,1000000033,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000034,000000,N030,30,2.000,DAP,Destination,01
100,1000000035,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000036,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000037,000000,N060,30,2.000,DAP,Destination,01
100,1000000038,000000,N030,30,2.000,DAP,Destination,01
100,1000000039,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000040,000000,N060,30,2.000,DAP,Destination,01
100,1000000041,000000,N014,30,2.000,DAP,Destination,01
100,1000000042,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000043,000000,N060,30,2.000,DAP,Destination,01
100,1000000044,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000045,000000,N030,30,2.000,DAP,Destination,01
100,1000000046,000000,N030,30,2.000,DAP,Destination,01
100,1000000047,000000,N014,30,2.000,DAP,Destination,01
100,1000000048,000000,N030,30,2.000,DAP,Destination,01
100,1000000049,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000050,000000,N030,30,2.000,DAP,Destination,01
100,1000000051,000000,N014,30,2.000,DAP,Destination,01
100,1000000052,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000053,000000,N014,30,2.000,DAP,Destination,01
100,1000000054,000000,N060,30,2.000,DAP,Destination,01
100,1000000055,000000,N014,30,2.000,DAP,Destination,01
100,1000000056,000000,N030,30,2.000,DAP,Destination,01
100,1000000057,000000,N030,30,2.000,DAP,Destination,01
100,1000000058,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000059,000000,N014,30,2.000,DAP,Destination,01
100,1000000060,000000,N060,30,2.000,DAP,Destination,01
100,1000000061,000000,N060,30,2.000,DAP,Destination,01
100,1000000062,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000063,000000,N014,30,2.000,DAP,Destination,01
100,1000000064,000000,N060,30,2.000,DAP,Destination,01
100,1000000065,000000,N060,30,2.000,DAP,Destination,01
100,1000000066,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000067,000000,N060,30,2.000,DAP,Destination,01
100,1000000068,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000069,000000,N014,30,2.000,DAP,Destination,01
100,1000000070,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000071,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000072,000000,N060,30,2.000,DAP,Destination,01
100,1000000073,000000,N060,30,2.000,DAP,Destination,01
100,1000000074,000000,N030,30,2.000,DAP,Destination,01
100,1000000075,000000,N060,30,2.000,DAP,Destination,01
100,1000000076,000000,N014,30,2.000,DAP,Destination,01
100,1000000077,000000,N060,30,2.000,DAP,Destination,01
100,1000000078,000000,N060,30,2.000,DAP,Destination,01
100,1000000079,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000080,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000081,000000,N060,30,2.000,DAP,Destination,01
100,1000000082,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000083,000000,N060,30,2.000,DAP,Destination,01
100,1000000084,000000,N060,30,2.000,DAP,Destination,01
100,1000000085,000000,N030,30,2.000,DAP,Destination,01
100,1000000086,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000087,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000088,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000089,000000,N014,30,2.000,DAP,Destination,01
100,1000000090,000000,N014,30,2.000,DAP,Destination,01
100,1000000091,000000,N014,30,2.000,DAP,Destination,01
100,1000000092,000000,N060,30,2.000,DAP,Destination,01
100,1000000093,000000,N030,30,2.000,DAP,Destination,01
100,1000000094,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000095,000000,N060,30,2.000,DAP,Destination,01
100,1000000096,000000,N014,30,2.000,DAP,Destination,01
100,1000000097,000000,N060,30,2.000,DAP,Destination,01
100,1000000098,000000,N030,30,2.000,DAP,Destination,01
100,1000000099,000000,N014,30,2.000,DAP,Destination,01
100,1000000100,000000,N030,30,2.000,DAP,Destination,01
100,1000000101,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000102,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000103,000000,N060,30,2.000,DAP,Destination,01
100,1000000104,000000,N014,30,2.000,DAP,Destination,01
100,1000000105,000000,N014,30,2.000,DAP,Destination,01
100,1000000106,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000107,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000108,000000,N014,30,2.000,DAP,Destination,01
100,1000000109,000000,N060,30,2.000,DAP,Destination,01
100,1000000110,000000,N014,30,2.000,DAP,Destination,01
100,1000000111,000000,N030,30,2.000,DAP,Destination,01
100,1000000112,000000,N030,30,2.000,DAP,Destination,01
100,1000000113,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000114,000000,N014,30,2.000,DAP,Destination,01
100,1000000115,000000,N060,30,2.000,DAP,Destination,01
100,1000000116,000000,N030,30,2.000,DAP,Destination,01
100,1000000117,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000118,000000,N014,30,2.000,DAP,Destination,01
