MANDT,VBELN,ERDAT,ERZET,ERNAM,FKART,FKTYP,VBTYP,FKDAT,KNUMV,NETWR,WAERK,KUNAG,KUNRG,VKORG,BUKRS,BELNR,GJAHR,RFBSK
100,9000000002,2024-03-15,110000,FINANCE01,F2,L,M,2024-03-15,5800000002,403526.69,USD,C00008,C00008,1000,1000,6000000002,FY2024,C
100,9000000003,2024-07-24,110000,FINANCE02,F2,L,M,2024-07-24,5800000003,42316.55,USD,C00008,C00008,1000,1000,6000000003,FY2024,C
100,9000000004,2024-03-12,110000,FINANCE01,F2,L,M,2024-03-12,5800000004,72091.8,USD,C00003,C00003,1000,1000,6000000004,FY2024,C
100,9000000006,2024-05-26,110000,FINANCE01,F2,L,M,2024-05-26,5800000006,77687.13,USD,C00004,C00004,1000,1000,6000000006,FY2024,C
100,9000000007,2024-06-28,110000,FINANCE02,F2,L,M,2024-06-28,5800000007,186298.6,USD,C00008,C00008,1000,1000,6000000007,FY2024,C
100,9000000008,2024-03-07,110000,FINANCE01,F2,L,M,2024-03-07,5800000008,169624.8,USD,C00004,C00004,1000,1000,6000000008,FY2024,C
100,9000000009,2024-08-28,110000,FINANCE02,F2,L,M,2024-08-28,5800000009,270718.0,USD,C00010,C00010,1000,1000,6000000009,FY2024,C
100,9000000010,2024-03-18,110000,FINANCE02,F2,L,M,2024-03-18,5800000010,140895.01,USD,C00009,C00009,1000,1000,6000000010,FY2024,C
100,9000000011,2024-03-27,110000,FINANCE01,F2,L,M,2024-03-27,5800000011,91515.06,USD,C00008,C00008,1000,1000,6000000011,FY2024,C
100,9000000012,2024-05-09,110000,FINANCE01,F2,L,M,2024-05-09,5800000012,11578.41,USD,C00014,C00014,1000,1000,6000000012,FY2024,C
100,9000000013,2024-06-29,110000,FINANCE02,F2,L,M,2024-06-29,5800000013,9836.48,USD,C00013,C00013,1000,1000,6000000013,FY2024,C
100,9000000014,2024-06-10,110000,FINANCE02,F2,L,M,2024-06-10,5800000014,19870.62,USD,C00010,C00010,1000,1000,6000000014,FY2024,C
100,9000000015,2024-02-27,110000,FINANCE01,F2,L,M,2024-02-27,5800000015,7748.1,USD,C00009,C00009,1000,1000,6000000015,FY2024,C
100,9000000016,2024-03-22,110000,FINANCE01,F2,L,M,2024-03-22,5800000016,149340.4,USD,C00012,C00012,1000,1000,6000000016,FY2024,C
100,9000000017,2024-09-19,110000,FINANCE01,F2,L,M,2024-09-19,5800000017,184397.59,USD,C00012,C00012,1000,1000,6000000017,FY2024,C
100,9000000018,2024-05-21,110000,FINANCE02,F2,L,M,2024-05-21,5800000018,174253.91,USD,C00003,C00003,1000,1000,6000000018,FY2024,C
100,9000000020,2024-04-11,110000,FINANCE02,F2,L,M,2024-04-11,5800000020,57262.8,USD,C00004,C00004,1000,1000,6000000020,FY2024,C
100,9000000021,2024-06-14,110000,FINANCE02,F2,L,M,2024-06-14,5800000021,308600.76,USD,C00005,C00005,1000,1000,6000000021,FY2024,C
100,9000000022,2024-02-09,110000,FINANCE01,F2,L,M,2024-02-09,5800000022,7123.43,USD,C00011,C00011,1000,1000,6000000022,FY2024,C
100,9000000023,2024-02-10,110000,FINANCE01,F2,L,M,2024-02-10,5800000023,319518.4,USD,C00003,C00003,1000,1000,6000000023,FY2024,C
100,9000000025,2024-05-03,110000,FINANCE02,F2,L,M,2024-05-03,5800000025,41336.04,USD,C00008,C00008,1000,1000,6000000025,FY2024,C
100,9000000026,2024-10-24,110000,FINANCE01,F2,L,M,2024-10-24,5800000026,19884.42,USD,C00013,C00013,1000,1000,6000000026,FY2024,C
100,9000000027,2024-05-23,110000,FINANCE01,F2,L,M,2024-05-23,5800000027,16855.36,USD,C00013,C00013,1000,1000,6000000027,FY2024,C
100,9000000028,2024-06-07,110000,FINANCE02,F2,L,M,2024-06-07,5800000028,176290.12,USD,C00012,C00012,1000,1000,6000000028,FY2024,C
100,9000000029,2024-09-16,110000,FINANCE01,F2,L,M,2024-09-16,5800000029,291671.28,USD,C00010,C00010,1000,1000,6000000029,FY2024,C
100,9000000030,2024-09-03,110000,FINANCE01,F2,L,M,2024-09-03,5800000030,13450.08,USD,C00007,C00007,1000,1000,6000000030,FY2024,C
100,9000000031,2024-10-05,110000,FINANCE01,F2,L,M,2024-10-05,5800000031,120549.2,USD,C00001,C00001,1000,1000,6000000031,FY2024,C
100,9000000032,2024-07-11,110000,FINANCE02,F2,L,M,2024-07-11,5800000032,10192.0,USD,C00002,C00002,1000,1000,6000000032,FY2024,C
100,9000000033,2024-08-02,110000,FINANCE02,F2,L,M,2024-08-02,5800000033,329965.36,USD,C00002,C00002,1000,1000,6000000033,FY2024,C
100,9000000034,2024-03-17,110000,FINANCE01,F2,L,M,2024-03-17,5800000034,336084.45,USD,C00011,C00011,1000,1000,6000000034,FY2024,C
100,9000000035,2024-10-18,110000,FINANCE01,F2,L,M,2024-10-18,5800000035,46559.04,USD,C00003,C00003,1000,1000,6000000035,FY2024,C
