MANDT,VBELN,POSNR,FKIMG,MEINS,MATNR,NETWR,WAERK,VGBEL,VGPOS,AUBEL,AUPOS,WERKS,ERNAM,ERDAT,ERZET,VGTYP,VRKME
100,9000000002,10,154.0,EA,MAT00026,240146.06,USD,8000000002,10,1000000002,10,P003,FINANCE01,2024-03-15,13:30:50,J,PC
100,9000000002,20,143.0,EA,MAT00029,111193.94,USD,8000000002,20,1000000002,20,P003,FINANCE01,2024-03-15,13:23:53,J,KG
100,9000000003,10,31.0,EA,MAT00023,42316.55,USD,8000000003,10,1000000003,10,P001,FINANCE02,2024-07-24,13:26:39,M,EA
100,9000000004,10,180.0,EA,MAT00028,72091.8,USD,8000000004,10,1000000004,10,P002,FINANCE01,2024-03-12,09:21:38,J,ST
100,9000000006,10,16.0,EA,MAT00022,7875.36,USD,8000000006,10,1000000006,10,P001,FINANCE01,2024-05-26,11:53:22,J,EA
100,9000000006,20,49.0,EA,MAT00023,69811.77,USD,8000000006,20,1000000006,20,P001,FINANCE01,2024-05-26,12:03:33,J,KG
100,9000000007,10,116.0,EA,MAT00032,169951.6,USD,8000000007,10,1000000007,10,P001,FINANCE02,2024-06-28,13:08:04,M,KG
100,9000000007,20,60.0,EA,MAT00024,16347.0,USD,8000000007,20,1000000007,20,P001,FINANCE02,2024-06-28,11:10:56,J,ST
100,9000000008,10,108.0,EA,MAT00031,169624.8,USD,8000000008,10,1000000008,10,P001,FINANCE01,2024-03-07,11:34:54,M,EA
100,9000000009,10,175.0,EA,MAT00023,270718.0,USD,8000000009,10,1000000009,10,P001,FINANCE02,2024-08-28,15:48:18,J,EA
100,9000000010,10,89.0,EA,MAT00031,7375.43,USD,8000000010,10,1000000010,10,P001,FINANCE02,2024-03-18,11:13:15,M,KG
100,9000000010,20,89.0,EA,MAT00030,133519.58,USD,8000000010,20,1000000010,20,P001,FINANCE02,2024-03-18,15:59:03,M,KG
100,9000000011,10,91.0,EA,MAT00032,91515.06,USD,8000000011,10,1000000011,10,P002,FINANCE01,2024-03-27,14:13:00,J,KG
100,9000000012,10,37.0,EA,MAT00033,11578.41,USD,8000000012,10,1000000012,10,P001,FINANCE01,2024-05-09,15:42:13,M,ST
100,9000000013,10,8.0,EA,MAT00027,9836.48,USD,8000000013,10,1000000013,10,P002,FINANCE02,2024-06-29,11:52:59,J,ST
100,9000000014,10,66.0,EA,MAT00030,19870.62,USD,8000000014,10,1000000014,10,P001,FINANCE02,2024-06-10,12:28:35,M,PC
100,9000000015,10,18.0,EA,MAT00027,7748.1,USD,8000000015,10,1000000015,10,P001,FINANCE01,2024-02-27,12:23:53,M,KG
100,9000000016,10,10.0,EA,MAT00016,5377.1,USD,8000000016,10,1000000016,10,P003,FINANCE01,2024-03-22,13:39:47,J,ST
100,9000000016,20,130.0,EA,MAT00022,143963.3,USD,8000000016,20,1000000016,20,P003,FINANCE01,2024-03-22,11:25:54,M,EA
100,9000000017,10,169.0,EA,MAT00022,184397.59,USD,8000000017,10,1000000017,10,P003,FINANCE01,2024-09-19,16:43:21,M,PC
100,9000000018,10,85.0,EA,MAT00025,10923.35,USD,8000000018,10,1000000018,10,P001,FINANCE02,2024-05-21,07:08:11,J,PC
100,9000000018,20,128.0,EA,MAT00016,163330.56,USD,8000000018,20,1000000018,20,P001,FINANCE02,2024-05-21,17:01:30,J,PC
100,9000000020,10,102.0,EA,MAT00023,57262.8,USD,8000000020,10,1000000020,10,P001,FINANCE02,2024-04-11,10:57:44,M,ST
100,9000000021,10,156.0,EA,MAT00031,308600.76,USD,8000000021,10,1000000021,10,P003,FINANCE02,2024-06-14,14:46:10,M,ST
100,9000000022,10,127.0,EA,MAT00021,7123.43,USD,8000000022,10,1000000022,10,P003,FINANCE01,2024-02-09,07:24:54,M,KG
100,9000000023,10,170.0,EA,MAT00018,319518.4,USD,8000000023,10,1000000023,10,P003,FINANCE01,2024-02-10,08:39:06,J,KG
100,9000000025,10,61.0,EA,MAT00031,41336.04,USD,8000000025,10,1000000025,10,P003,FINANCE02,2024-05-03,16:19:16,J,EA
100,9000000026,10,138.0,EA,MAT00028,19884.42,USD,8000000026,10,1000000026,10,P001,FINANCE01,2024-10-24,08:33:24,J,ST
100,9000000027,10,32.0,EA,MAT00018,16855.36,USD,8000000027,10,1000000027,10,P002,FINANCE01,2024-05-23,16:38:09,M,KG
100,9000000028,10,199.0,EA,MAT00023,176290.12,USD,8000000028,10,1000000028,10,P001,FINANCE02,2024-06-07,09:26:46,J,KG
100,9000000029,10,108.0,EA,MAT00021,169458.48,USD,8000000029,10,1000000029,10,P002,FINANCE01,2024-09-16,11:14:19,J,KG
100,9000000029,20,123.0,EA,MAT00033,122212.8,USD,8000000029,20,1000000029,20,P002,FINANCE01,2024-09-16,08:43:40,J,EA
100,9000000030,10,28.0,EA,MAT00030,13450.08,USD,8000000030,10,1000000030,10,P002,FINANCE01,2024-09-03,09:53:33,M,EA
100,9000000031,10,166.0,EA,MAT00017,120549.2,USD,8000000031,10,1000000031,10,P001,FINANCE01,2024-10-05,07:12:42,M,KG
100,9000000032,10,130.0,EA,MAT00021,10192.0,USD,8000000032,10,1000000032,10,P003,FINANCE02,2024-07-11,17:44:25,J,ST
100,9000000033,10,184.0,EA,MAT00016,329965.36,USD,8000000033,10,1000000033,10,P002,FINANCE02,2024-08-02,07:26:24,J,EA
100,9000000034,10,195.0,EA,MAT00016,336084.45,USD,8000000034,10,1000000034,10,P003,FINANCE01,2024-03-17,10:27:05,M,PC
100,9000000035,10,73.0,EA,MAT00024,25748.56,USD,8000000035,10,1000000035,10,P001,FINANCE01,2024-10-18,15:54:29,J,PC
100,9000000036,10,98.0,EA,MAT00030,195307.14,USD,8000000036,10,1000000036,10,P001,FINANCE01,2024-03-18,08:57:44,J,ST
100,9000000036,20,73.0,EA,MAT00016,122958.28,USD,8000000036,20,1000000036,20,P001,FINANCE01,2024-03-18,07:55:37,J,ST
100,9000000038,10,156.0,EA,MAT00032,125040.24,USD,8000000038,10,1000000038,10,P001,FINANCE02,2024-02-26,15:31:20,J,PC
100,9000000038,20,36.0,EA,MAT00017,5092.92,USD,8000000038,20,1000000038,20,P001,FINANCE02,2024-02-26,07:29:58,J,PC
100,9000000039,10,64.0,EA,MAT00023,84549.76,USD,8000000039,10,1000000039,10,P002,FINANCE01,2024-02-24,17:43:25,M,KG
100,9000000040,10,17.0,EA,MAT00032,8876.72,USD,8000000040,10,1000000040,10,P001,FINANCE02,2024-05-02,15:16:31,J,PC
100,9000000041,10,150.0,EA,MAT00027,27490.5,USD,8000000041,10,1000000041,10,P002,FINANCE01,2024-08-16,09:26:31,M,ST
100,9000000042,10,150.0,EA,MAT00022,113163.0,USD,8000000042,10,1000000042,10,P002,FINANCE02,2024-08-28,11:59:03,J,ST
100,9000000043,10,96.0,EA,MAT00028,126110.4,USD,8000000043,10,1000000043,10,P002,FINANCE01,2024-05-24,10:37:28,J,EA
100,9000000044,10,29.0,EA,MAT00026,44496.15,USD,8000000044,10,1000000044,10,P003,FINANCE02,2024-08-14,17:07:19,J,ST
100,9000000045,10,199.0,EA,MAT00021,247585.85,USD,8000000045,10,1000000045,10,P001,FINANCE02,2024-11-04,15:20:08,M,EA
