MANDT,VBELN,GBSTK,LFSTK,FKSTK,ABSTK,WBSTK,LVSTK,BUCHK,CMGST,UVALL,UVFAK,UVALS,BESTK
100,1000000000,B,C,A,A,A,A,,A,,,,B
100,1000000001,B,C,A,A,A,A,,A,,,,A
100,1000000002,C,C,C,A,A,A,,A,,,,
100,1000000003,C,C,C,A,A,A,,A,,,,
100,1000000004,C,C,C,A,A,A,,A,,,,B
100,1000000005,C,C,C,A,A,A,,A,,,,C
100,1000000006,C,C,C,A,A,A,,A,,,,
100,1000000007,C,C,C,A,A,A,,A,,,,A
100,1000000008,C,C,C,A,A,A,,A,,,,A
100,1000000009,C,C,C,A,A,A,,A,,,,
100,1000000010,C,C,C,A,A,A,,A,,,,B
100,1000000011,C,C,C,A,A,A,,A,,,,B
100,1000000012,C,C,C,A,A,A,,A,,,,B
100,1000000013,C,C,C,A,A,A,,A,,,,C
100,1000000014,C,C,C,A,A,A,,A,,,,C
100,1000000015,C,C,C,A,A,A,,A,,,,C
100,1000000016,C,C,C,A,A,A,,A,,,,
100,1000000017,C,C,C,A,A,A,,A,,,,B
100,1000000018,C,C,C,A,A,A,,A,,,,C
100,1000000019,C,A,A,A,A,A,,A,,,,
100,1000000020,C,C,C,A,A,A,,A,,,,B
100,1000000021,C,C,C,A,A,A,,A,,,,B
100,1000000022,C,C,C,A,A,A,,A,,,,B
100,1000000023,C,C,C,A,A,A,,A,,,,
100,1000000024,C,C,C,A,A,A,,A,,,,
100,1000000025,C,C,C,A,A,A,,A,,,,A
100,1000000026,C,C,C,A,A,A,,A,,,,A
100,1000000027,C,C,C,A,A,A,,A,,,,C
100,1000000028,C,C,C,A,A,A,,A,,,,C
100,1000000029,C,C,C,A,A,A,,A,,,,B
100,1000000030,C,C,C,A,A,A,,A,,,,C
100,1000000031,C,C,C,A,A,A,,A,,,,C
100,1000000032,C,C,C,A,A,A,,A,,,,
100,1000000033,C,C,C,A,A,A,,A,,,,B
100,1000000034,C,C,C,A,A,A,,A,,,,A
100,1000000035,C,C,C,A,A,A,,A,,,,B
100,1000000036,C,C,C,A,A,A,,A,,,,
100,1000000037,C,C,C,A,A,A,,A,,,,B
100,1000000038,C,C,C,A,A,A,,A,,,,B
100,1000000039,C,C,C,A,A,A,,A,,,,B
100,1000000040,C,C,C,A,A,A,,A,,,,C
100,1000000041,C,C,C,A,A,A,,A,,,,
100,1000000042,C,C,C,A,A,A,,A,,,,A
100,1000000043,C,C,C,A,A,A,,A,,,,C
100,1000000044,C,C,C,A,A,A,,A,,,,B
100,1000000045,C,C,C,A,A,A,,A,,,,C
100,1000000046,C,C,C,A,A,A,,A,,,,A
100,1000000047,C,A,A,A,A,A,,A,,,,B
100,1000000048,C,C,C,A,A,A,,A,,,,C
100,1000000049,C,C,C,A,A,A,,A,,,,C
100,1000000050,C,C,C,A,A,A,,A,,,,C
100,1000000051,C,C,C,A,A,A,,A,,,,C
100,1000000052,C,C,C,A,A,A,,A,,,,
100,1000000053,C,C,C,A,A,A,,A,,,,B
100,1000000054,C,A,A,A,A,A,,A,,,,
100,1000000055,C,C,C,A,A,A,,A,,,,
100,1000000056,C,C,C,A,A,A,,A,,,,A
100,1000000057,B,C,A,A,A,A,,A,,,,C
100,1000000058,C,C,C,A,A,A,,A,,,,A
100,1000000059,C,C,C,A,A,A,,A,,,,A
100,1000000060,C,C,C,A,A,A,,A,,,,
100,1000000061,C,C,C,A,A,A,,A,,,,
100,1000000062,C,C,C,A,A,A,,A,,,,A
100,1000000063,C,C,C,A,A,A,,A,,,,C
100,1000000064,C,C,C,A,A,A,,A,,,,
100,1000000065,C,C,C,A,A,A,,A,,,,C
100,1000000066,C,C,C,A,A,A,,A,,,,
100,1000000067,C,C,C,A,A,A,,A,,,,
100,1000000068,C,C,C,A,A,A,,A,,,,B
100,1000000069,C,C,C,A,A,A,,A,,,,
100,1000000070,C,C,C,A,A,A,,A,,,,C
