MANDT,VBELN,POSNR,GBSTA,LFSTA,FKSTA,WBSTA,KOSTA
100,1000000000,000010,B,C,A,,
100,1000000001,000010,B,C,A,,
100,1000000002,000010,C,C,C,,
100,1000000002,000020,C,C,C,,
100,1000000003,000010,C,C,C,,
100,1000000004,000010,C,C,C,,
100,1000000005,000010,C,C,C,,
100,1000000006,000010,C,C,C,,
100,1000000006,000020,C,C,C,,
100,1000000007,000010,C,C,C,,
100,1000000007,000020,C,C,C,,
100,1000000008,000010,C,C,C,,
100,1000000009,000010,C,C,C,,
100,1000000010,000010,C,C,C,,
100,1000000010,000020,C,C,C,,
100,1000000011,000010,C,C,C,,
100,1000000012,000010,C,C,C,,
100,1000000013,000010,C,C,C,,
100,1000000014,000010,C,C,C,,
100,1000000015,000010,C,C,C,,
100,1000000016,000010,C,C,C,,
100,1000000016,000020,C,C,C,,
100,1000000017,000010,C,C,C,,
100,1000000018,000010,C,C,C,,
100,1000000018,000020,C,C,C,,
100,1000000019,000010,C,A,A,,
100,1000000020,000010,C,C,C,,
100,1000000021,000010,C,C,C,,
100,1000000022,000010,C,C,C,,
100,1000000023,000010,C,C,C,,
100,1000000024,000010,C,C,C,,
100,1000000024,000020,C,C,C,,
100,1000000025,000010,C,C,C,,
100,1000000026,000010,C,C,C,,
100,1000000027,000010,C,C,C,,
100,1000000028,000010,C,C,C,,
100,1000000029,000010,C,C,C,,
100,1000000029,000020,C,C,C,,
100,1000000030,000010,C,C,C,,
100,1000000031,000010,C,C,C,,
100,1000000032,000010,C,C,C,,
100,1000000033,000010,C,C,C,,
100,1000000034,000010,C,C,C,,
100,1000000035,000010,C,C,C,,
100,1000000036,000010,C,C,C,,
100,1000000036,000020,C,C,C,,
100,1000000037,000010,C,C,C,,
100,1000000038,000010,C,C,C,,
100,1000000038,000020,C,C,C,,
100,1000000039,000010,C,C,C,,
100,1000000040,000010,C,C,C,,
100,1000000041,000010,C,C,C,,
100,1000000042,000010,C,C,C,,
100,1000000043,000010,C,C,C,,
100,1000000044,000010,C,C,C,,
100,1000000045,000010,C,C,C,,
100,1000000046,000010,C,C,C,,
100,1000000047,000010,C,A,A,,
100,1000000048,000010,C,C,C,,
100,1000000049,000010,C,C,C,,
100,1000000050,000010,C,C,C,,
100,1000000051,000010,C,C,C,,
100,1000000051,000020,C,C,C,,
100,1000000052,000010,C,C,C,,
100,1000000053,000010,C,C,C,,
100,1000000053,000020,C,C,C,,
100,1000000054,000010,C,A,A,,
100,1000000055,000010,C,C,C,,
100,1000000056,000010,C,C,C,,
100,1000000057,000010,B,C,A,,
100,1000000058,000010,C,C,C,,
100,1000000058,000020,C,C,C,,
100,1000000059,000010,C,C,C,,
100,1000000059,000020,C,C,C,,
100,1000000060,000010,C,C,C,,
100,1000000061,000010,C,C,C,,
100,1000000062,000010,C,C,C,,
100,1000000063,000010,C,C,C,,
100,1000000064,000010,C,C,C,,
100,1000000065,000010,C,C,C,,
100,1000000065,000020,C,C,C,,
100,1000000066,000010,C,C,C,,
100,1000000066,000020,C,C,C,,
100,1000000067,000010,C,C,C,,
100,1000000068,000010,C,C,C,,
100,1000000069,000010,C,C,C,,
100,1000000069,000020,C,C,C,,
100,1000000070,000010,C,C,C,,
100,1000000071,000010,C,C,C,,
100,1000000072,000010,C,C,C,,
100,1000000073,000010,C,C,C,,
100,1000000074,000010,C,C,C,,
100,1000000075,000010,C,C,C,,
100,1000000076,000010,C,C,C,,
100,1000000077,000010,C,C,C,,
100,1000000078,000010,C,C,C,,
100,1000000079,000010,C,C,C,,
100,1000000080,000010,C,C,C,,
100,1000000081,000010,C,C,C,,
100,1000000081,000020,C,C,C,,
100,1000000082,000010,C,C,C,,
100,1000000083,000010,C,C,C,,
100,1000000084,000010,C,C,C,,
100,1000000084,000020,C,C,C,,
100,1000000085,000010,B,C,A,,
100,1000000086,000010,C,C,C,,
100,1000000086,000020,C,C,C,,
100,1000000087,000010,B,C,A,,
100,1000000088,000010,C,C,C,,
100,1000000088,000020,C,C,C,,
100,1000000089,000010,C,C,C,,
100,1000000090,000010,C,C,C,,
100,1000000091,000010,C,C,C,,
100,1000000091,000020,C,C,C,,
100,1000000092,000010,C,A,A,,
100,1000000093,000010,C,C,C,,
100,1000000094,000010,C,C,C,,
100,1000000094,000020,C,C,C,,
100,1000000095,000010,C,C,C,,
100,1000000096,000010,C,C,C,,
100,1000000096,000020,C,C,C,,
100,1000000097,000010,C,C,C,,
100,1000000098,000010,C,C,C,,
100,1000000099,000010,C,C,C,,
100,1000000099,000020,C,C,C,,
100,1000000100,000010,C,C,C,,
100,1000000101,000010,C,C,C,,
100,1000000102,000010,C,C,C,,
100,1000000102,000020,C,C,C,,
100,1000000103,000010,B,C,A,,
100,1000000104,000010,C,C,C,,
100,1000000105,000010,B,C,A,,
100,1000000106,000010,C,C,C,,
100,1000000106,000020,C,C,C,,
100,1000000107,000010,C,C,C,,
100,1000000108,000010,C,C,C,,
100,1000000109,000010,C,C,C,,
100,1000000110,000010,C,A,A,,
100,1000000111,000010,C,C,C,,
100,1000000112,000010,C,C,C,,
100,1000000113,000010,C,C,C,,
100,1000000114,000010,C,C,C,,
100,1000000115,000010,C,A,A,,
100,1000000116,000010,C,C,C,,
100,1000000117,000010,C,A,A,,
100,1000000117,000020,C,A,A,,
100,1000000118,000010,B,C,A,,
100,1000000119,000010,C,C,C,,
100,1000000120,000010,C,C,C,,
100,1000000121,000010,C,C,C,,
100,1000000122,000010,C,C,C,,
100,1000000122,000020,C,C,C,,
100,1000000123,000010,C,C,C,,
100,1000000124,000010,C,C,C,,
100,1000000125,000010,C,C,C,,
100,1000000126,000010,C,C,C,,
100,1000000127,000010,C,C,C,,
100,1000000128,000010,C,C,C,,
100,1000000128,000020,C,C,C,,
100,1000000129,000010,C,C,C,,
100,1000000130,000010,C,C,C,,
100,1000000131,000010,C,C,C,,
100,1000000132,000010,C,C,C,,
100,1000000133,000010,B,C,A,,
100,1000000133,000020,B,C,A,,
100,1000000134,000010,C,C,C,,
100,1000000135,000010,B,C,A,,
100,1000000135,000020,B,C,A,,
100,1000000136,000010,C,C,C,,
100,1000000137,000010,C,C,C,,
100,1000000138,000010,C,C,C,,
100,1000000139,000010,C,C,C,,
100,1000000140,000010,C,C,C,,
100,1000000140,000020,C,C,C,,
100,1000000141,000010,C,C,C,,
100,1000000142,000010,C,C,C,,
100,1000000143,000010,C,C,C,,
100,1000000144,000010,C,C,C,,
100,1000000145,000010,C,C,C,,
100,1000000146,000010,C,C,C,,
100,1000000147,000010,C,C,C,,
100,1000000147,000020,C,C,C,,
100,1000000148,000010,C,C,C,,
100,1000000149,000010,C,C,C,,
100,1000000149,000020,C,C,C,,
100,1000000150,000010,C,C,C,,
100,1000000151,000010,C,C,C,,
100,1000000151,000020,C,C,C,,
100,1000000152,000010,C,C,C,,
100,1000000153,000010,C,C,C,,
100,1000000153,000020,C,C,C,,
100,1000000154,000010,C,C,C,,
100,1000000155,000010,C,C,C,,
100,1000000156,000010,C,C,C,,
100,1000000157,000010,C,C,C,,
100,1000000157,000020,C,C,C,,
100,1000000158,000010,B,C,A,,
100,1000000159,000010,C,A,A,,
100,1000000160,000010,C,C,C,,
