MANDT,TKNUM,SHTYP,TPLST,VSTEL,ROUTE,SIGNI,ERDAT,ERNAM,ERZET,ABFTZ,ANZPK,NTGEW,GEWEI,VOLUM,VOLEH,LFART,INCO1,INCO2,TDLNR,TRAID,TRATY,DISTZ,MEDST,STAFO,VSBED,DAUER,TNSTA,DLSTA,PDSTA,LDSTA,TRSTA
100,5000000001,0001,TP01,SP01,R0001,5000000001,2024-01-25,WHOUSE02,065822,2024-01-25,1,4222.1,KG,37.61,M3,LF,DAP,Destination,CAR002,TRK-000001,01,668,KM,,,1,C,C,C,C,C
100,5000000002,0001,TP01,SP01,R0001,5000000002,2024-01-29,WHOUSE02,121804,2024-01-29,3,1659.4,KG,47.67,M3,LF,DAP,Destination,CAR005,TRK-000002,01,1144,KM,,,1,C,C,C,C,C
100,5000000003,0001,TP01,SP03,R0001,5000000003,2024-02-05,WHOUSE02,082450,2024-02-05,4,1235.5,KG,25.6,M3,LF,DAP,Destination,CAR001,TRK-000003,01,1579,KM,,,4,C,C,C,C,C
100,5000000004,0001,TP01,SP03,R0001,5000000004,2024-02-19,WHOUSE02,133402,2024-02-19,4,1621.6,KG,18.75,M3,LF,DAP,Destination,CAR001,TRK-000004,01,465,KM,,,2,C,C,C,C,C
100,5000000005,0001,TP02,SP02,R0001,5000000005,2024-03-02,WHOUSE02,100241,2024-03-02,2,1125.9,KG,32.18,M3,LF,DAP,Destination,CAR002,TRK-000005,01,1744,KM,,,4,C,C,C,C,C
100,5000000006,0001,TP02,SP02,R0001,5000000006,2024-03-04,WHOUSE02,073858,2024-03-04,4,1639.2,KG,7.15,M3,LF,DAP,Destination,CAR003,TRK-000006,01,1278,KM,,,4,C,C,C,C,C
100,5000000007,0001,TP01,SP03,R0001,5000000007,2024-03-13,WHOUSE01,150048,2024-03-13,3,1477.9,KG,20.22,M3,LF,DAP,Destination,CAR003,TRK-000007,01,916,KM,,,4,C,C,C,C,C
100,5000000008,0001,TP01,SP03,R0001,5000000008,2024-03-20,WHOUSE02,153124,2024-03-20,2,1682.5,KG,18.31,M3,LF,DAP,Destination,CAR003,TRK-000008,01,1896,KM,,,1,C,C,C,C,C
100,5000000009,0001,TP01,SP03,R0001,5000000009,2024-03-29,WHOUSE02,153858,2024-03-29,1,2701.0,KG,47.51,M3,LF,DAP,Destination,CAR003,TRK-000009,01,880,KM,,,3,C,C,C,C,C
100,5000000010,0001,TP01,SP03,R0001,5000000010,2024-04-02,WHOUSE01,140808,2024-04-02,2,3435.6,KG,35.25,M3,LF,DAP,Destination,CAR002,TRK-000010,01,962,KM,,,5,C,C,C,C,C
100,5000000011,0001,TP02,SP02,R0001,5000000011,2024-04-12,WHOUSE01,151323,2024-04-12,1,3016.0,KG,13.46,M3,LF,DAP,Destination,CAR005,TRK-000011,01,1033,KM,,,2,C,C,C,C,C
100,5000000012,0001,TP02,SP02,R0001,5000000012,2024-04-17,WHOUSE02,154232,2024-04-17,2,4381.3,KG,11.08,M3,LF,DAP,Destination,CAR002,TRK-000012,01,1103,KM,,,1,C,C,C,C,C
100,5000000013,0001,TP02,SP02,R0001,5000000013,2024-04-24,WHOUSE01,083009,2024-04-24,2,3941.4,KG,2.28,M3,LF,DAP,Destination,CAR004,TRK-000013,01,947,KM,,,3,C,C,C,C,C
100,5000000014,0001,TP02,SP02,R0001,5000000014,2024-05-01,WHOUSE01,103743,2024-05-01,4,2229.3,KG,2.23,M3,LF,DAP,Destination,CAR001,TRK-000014,01,1595,KM,,,5,C,C,C,C,C
100,5000000015,0001,TP01,SP03,R0001,5000000015,2024-05-02,WHOUSE01,135429,2024-05-02,1,2166.8,KG,37.01,M3,LF,DAP,Destination,CAR001,TRK-000015,01,1523,KM,,,1,C,C,C,C,C
100,5000000016,0001,TP01,SP03,R0001,5000000016,2024-05-09,WHOUSE02,080826,2024-05-09,2,3434.4,KG,1.68,M3,LF,DAP,Destination,CAR003,TRK-000016,01,887,KM,,,5,C,C,C,C,C
100,5000000017,0001,TP02,SP02,R0001,5000000017,2024-05-15,WHOUSE02,103135,2024-05-15,3,2742.8,KG,33.98,M3,LF,DAP,Destination,CAR005,TRK-000017,01,1075,KM,,,3,C,C,C,C,C
100,5000000018,0001,TP01,SP01,R0001,5000000018,2024-05-14,WHOUSE01,110126,2024-05-14,1,1659.9,KG,6.96,M3,LF,DAP,Destination,CAR005,TRK-000018,01,1280,KM,,,1,C,C,C,C,C
100,5000000019,0001,TP01,SP03,R0001,5000000019,2024-05-20,WHOUSE01,153832,2024-05-20,3,4343.6,KG,49.52,M3,LF,DAP,Destination,CAR002,TRK-000019,01,239,KM,,,4,C,C,C,C,C
100,5000000020,0001,TP01,SP03,R0001,5000000020,2024-05-29,WHOUSE01,103120,2024-05-29,1,4951.0,KG,19.7,M3,LF,DAP,Destination,CAR001,TRK-000020,01,1672,KM,,,5,C,C,C,C,C
100,5000000021,0001,TP01,SP03,R0001,5000000021,2024-06-06,WHOUSE01,125922,2024-06-06,2,2865.4,KG,41.11,M3,LF,DAP,Destination,CAR001,TRK-000021,01,1222,KM,,,1,C,C,C,C,C
100,5000000022,0001,TP02,SP02,R0001,5000000022,2024-06-05,WHOUSE02,071015,2024-06-05,4,3669.4,KG,43.01,M3,LF,DAP,Destination,CAR005,TRK-000022,01,338,KM,,,3,C,C,C,C,C
100,5000000023,0001,TP01,SP03,R0001,5000000023,2024-06-10,WHOUSE02,154444,2024-06-10,4,4642.2,KG,5.82,M3,LF,DAP,Destination,CAR005,TRK-000023,01,147,KM,,,5,C,C,C,C,C
100,5000000024,0001,TP02,SP02,R0001,5000000024,2024-06-18,WHOUSE02,120111,2024-06-18,3,3555.0,KG,49.32,M3,LF,DAP,Destination,CAR005,TRK-000024,01,1402,KM,,,3,C,C,C,C,C
100,5000000025,0001,TP01,SP01,R0001,5000000025,2024-06-27,WHOUSE01,115240,2024-06-27,2,2297.5,KG,26.64,M3,LF,DAP,Destination,CAR003,TRK-000025,01,401,KM,,,4,C,C,C,C,C
100,5000000026,0001,TP02,SP02,R0001,5000000026,2024-07-05,WHOUSE01,125103,2024-07-05,1,3358.9,KG,3.7,M3,LF,DAP,Destination,CAR005,TRK-000026,01,816,KM,,,1,C,C,C,C,C
100,5000000027,0001,TP02,SP02,R0001,5000000027,2024-07-09,WHOUSE01,143535,2024-07-09,3,1897.3,KG,27.88,M3,LF,DAP,Destination,CAR002,TRK-000027,01,1101,KM,,,3,C,C,C,C,C
100,5000000028,0001,TP01,SP01,R0001,5000000028,2024-07-10,WHOUSE01,082431,2024-07-10,1,135.9,KG,35.97,M3,LF,DAP,Destination,CAR004,TRK-000028,01,663,KM,,,3,C,C,C,C,C
100,5000000029,0001,TP01,SP01,R0001,5000000029,2024-07-15,WHOUSE01,155329,2024-07-15,2,1505.0,KG,47.91,M3,LF,DAP,Destination,CAR001,TRK-000029,01,652,KM,,,3,C,C,C,C,C
100,5000000030,0001,TP01,SP01,R0001,5000000030,2024-07-25,WHOUSE01,174910,2024-07-25,3,3796.6,KG,22.82,M3,LF,DAP,Destination,CAR003,TRK-000030,01,509,KM,,,4,C,C,C,C,C
100,5000000031,0001,TP01,SP03,R0001,5000000031,2024-07-25,WHOUSE02,085307,2024-07-25,2,288.0,KG,20.9,M3,LF,DAP,Destination,CAR004,TRK-000031,01,1800,KM,,,5,C,C,C,C,C
100,5000000032,0001,TP02,SP02,R0001,5000000032,2024-07-30,WHOUSE02,094336,2024-07-30,3,1554.8,KG,17.8,M3,LF,DAP,Destination,CAR002,TRK-000032,01,450,KM,,,3,C,C,C,C,C
100,5000000033,0001,TP02,SP02,R0001,5000000033,2024-07-29,WHOUSE01,133617,2024-07-29,2,1328.8,KG,41.59,M3,LF,DAP,Destination,CAR004,TRK-000033,01,1244,KM,,,3,C,C,C,C,C
100,5000000034,0001,TP01,SP03,R0001,5000000034,2024-08-06,WHOUSE02,145355,2024-08-06,1,2051.4,KG,15.19,M3,LF,DAP,Destination,CAR003,TRK-000034,01,1719,KM,,,5,C,C,C,C,C
100,5000000035,0001,TP02,SP02,R0001,5000000035,2024-08-15,WHOUSE02,111000,2024-08-15,5,4237.4,KG,23.19,M3,LF,DAP,Destination,CAR001,TRK-000035,01,1031,KM,,,5,C,C,C,C,C
100,5000000036,0001,TP01,SP03,R0001,5000000036,2024-08-13,WHOUSE01,124340,2024-08-13,1,931.8,KG,35.03,M3,LF,DAP,Destination,CAR001,TRK-000036,01,1669,KM,,,2,C,C,C,C,C
100,5000000037,0001,TP01,SP03,R0001,5000000037,2024-08-24,WHOUSE01,154602,2024-08-24,1,2932.5,KG,30.6,M3,LF,DAP,Destination,CAR005,TRK-000037,01,1114,KM,,,3,C,C,C,C,C
100,5000000038,0001,TP01,SP03,R0001,5000000038,2024-08-28,WHOUSE01,070348,2024-08-28,4,1314.9,KG,17.02,M3,LF,DAP,Destination,CAR003,TRK-000038,01,1844,KM,,,3,C,C,C,C,C
100,5000000039,0001,TP01,SP03,R0001,5000000039,2024-09-07,WHOUSE01,143602,2024-09-07,2,1082.9,KG,32.22,M3,LF,DAP,Destination,CAR004,TRK-000039,01,1356,KM,,,2,C,C,C,C,C
100,5000000040,0001,TP02,SP02,R0001,5000000040,2024-09-09,WHOUSE02,165044,2024-09-09,4,1607.8,KG,8.77,M3,LF,DAP,Destination,CAR002,TRK-000040,01,1085,KM,,,1,C,C,C,C,C
100,5000000041,0001,TP01,SP03,R0001,5000000041,2024-09-16,WHOUSE02,091538,2024-09-16,3,3490.5,KG,13.2,M3,LF,DAP,Destination,CAR004,TRK-000041,01,1173,KM,,,4,C,C,C,C,C
100,5000000042,0001,TP02,SP02,R0001,5000000042,2024-09-25,WHOUSE01,105652,2024-09-25,2,858.1,KG,14.56,M3,LF,DAP,Destination,CAR005,TRK-000042,01,429,KM,,,1,C,C,C,C,C
100,5000000043,0001,TP02,SP02,R0001,5000000043,2024-09-24,WHOUSE02,142620,2024-09-24,3,3036.8,KG,12.87,M3,LF,DAP,Destination,CAR001,TRK-000043,01,1634,KM,,,5,C,C,C,C,C
100,5000000044,0001,TP02,SP02,R0001,5000000044,2024-09-30,WHOUSE02,105544,2024-09-30,2,2431.0,KG,23.83,M3,LF,DAP,Destination,CAR005,TRK-000044,01,1051,KM,,,1,C,C,C,C,C
100,5000000045,0001,TP01,SP01,R0001,5000000045,2024-10-13,WHOUSE02,064410,2024-10-13,1,1820.5,KG,9.21,M3,LF,DAP,Destination,CAR001,TRK-000045,01,218,KM,,,2,C,C,C,C,C
100,5000000046,0001,TP02,SP02,R0001,5000000046,2024-10-15,WHOUSE01,171746,2024-10-15,4,4228.9,KG,5.39,M3,LF,DAP,Destination,CAR002,TRK-000046,01,1304,KM,,,5,C,C,C,C,C
100,5000000047,0001,TP01,SP01,R0002,5000000047,2024-01-16,WHOUSE01,151927,2024-01-16,1,1599.5,KG,40.48,M3,LF,DAP,Destination,CAR004,TRK-000047,01,930,KM,,,2,C,C,C,C,C
100,5000000048,0001,TP01,SP01,R0002,5000000048,2024-01-25,WHOUSE02,095133,2024-01-25,1,3791.7,KG,49.0,M3,LF,DAP,Destination,CAR001,TRK-000048,01,117,KM,,,5,C,C,C,C,C
100,5000000049,0001,TP01,SP03,R0002,5000000049,2024-01-29,WHOUSE02,061212,2024-01-29,4,1859.8,KG,4.23,M3,LF,DAP,Destination,CAR001,TRK-000049,01,1061,KM,,,1,C,C,C,C,C
100,5000000050,0001,TP01,SP01,R0002,5000000050,2024-01-30,WHOUSE01,070956,2024-01-30,2,3543.4,KG,42.83,M3,LF,DAP,Destination,CAR004,TRK-000050,01,826,KM,,,3,C,C,C,C,C
100,5000000051,0001,TP02,SP02,R0002,5000000051,2024-02-11,WHOUSE01,121746,2024-02-11,1,4273.6,KG,18.33,M3,LF,DAP,Destination,CAR004,TRK-000051,01,1141,KM,,,2,C,C,C,C,C
100,5000000052,0001,TP01,SP01,R0002,5000000052,2024-02-15,WHOUSE02,162138,2024-02-15,2,1604.2,KG,6.12,M3,LF,DAP,Destination,CAR004,TRK-000052,01,1876,KM,,,2,C,C,C,C,C
100,5000000053,0001,TP01,SP03,R0002,5000000053,2024-03-03,WHOUSE02,062231,2024-03-03,1,2190.4,KG,43.92,M3,LF,DAP,Destination,CAR001,TRK-000053,01,400,KM,,,3,C,C,C,C,C
100,5000000054,0001,TP02,SP02,R0002,5000000054,2024-03-05,WHOUSE01,060407,2024-03-05,3,1934.9,KG,1.97,M3,LF,DAP,Destination,CAR003,TRK-000054,01,1614,KM,,,4,C,C,C,C,C
