MANDT,TKNUM,TPNUM,VBELN,POSNR,VSTEL,ROUTE,DISTZ,MEDST,LFART,ERNAM,ERDAT,ERZET
100,5000000001,1,8000000397,0,SP01,R0001,190,KM,LF,WHOUSE02,2024-01-25,155647
100,5000000002,1,8000000068,0,SP01,R0001,333,KM,LF,WHOUSE02,2024-01-29,090906
100,5000000002,2,8000000141,0,SP01,R0001,141,KM,LF,WHOUSE02,2024-01-29,104800
100,5000000002,3,8000000210,0,SP01,R0001,31,KM,LF,WHOUSE02,2024-01-29,124839
100,5000000003,1,8000000434,0,SP03,R0001,109,KM,LF,WHOUSE02,2024-02-05,110209
100,5000000003,2,8000000022,0,SP03,R0001,126,KM,LF,WHOUSE02,2024-02-05,165543
100,5000000003,3,8000000269,0,SP03,R0001,401,KM,LF,WHOUSE02,2024-02-05,171941
100,5000000003,4,8000000023,0,SP03,R0001,115,KM,LF,WHOUSE02,2024-02-05,064608
100,5000000004,1,8000000336,0,SP03,R0001,249,KM,LF,WHOUSE02,2024-02-19,172217
100,5000000004,2,8000000052,0,SP03,R0001,99,KM,LF,WHOUSE02,2024-02-19,072801
100,5000000004,3,8000000038,0,SP03,R0001,441,KM,LF,WHOUSE02,2024-02-19,080038
100,5000000004,4,8000000451,0,SP03,R0001,94,KM,LF,WHOUSE02,2024-02-19,145906
100,5000000005,1,8000000344,0,SP02,R0001,432,KM,LF,WHOUSE02,2024-03-02,112342
100,5000000005,2,8000000287,0,SP02,R0001,250,KM,LF,WHOUSE02,2024-03-02,165733
100,5000000006,1,8000000237,0,SP02,R0001,414,KM,LF,WHOUSE02,2024-03-04,095157
100,5000000006,2,8000000481,0,SP02,R0001,241,KM,LF,WHOUSE02,2024-03-04,070606
100,5000000006,3,8000000105,0,SP02,R0001,264,KM,LF,WHOUSE02,2024-03-04,134806
100,5000000006,4,8000000085,0,SP02,R0001,259,KM,LF,WHOUSE02,2024-03-04,162111
100,5000000007,1,8000000448,0,SP03,R0001,312,KM,LF,WHOUSE01,2024-03-13,062754
100,5000000007,2,8000000153,0,SP03,R0001,99,KM,LF,WHOUSE01,2024-03-13,164844
